Problem Name	faded1	faded2	faded3	Problem1	Problem2	Problem3	Problem4	Problem5
%(percent4_hint1)%	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?
%(percent4_hint2)%	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.
%(percent4_hint3)%	Try entering '45' in the highlighted field.	Try entering '89' in the highlighted field.	Try entering '20' in the highlighted field.	Try entering '25' in the highlighted field.	Try entering '60' in the highlighted field.	Try entering '90' in the highlighted field.	Try entering '50' in the highlighted field.	Try entering '55' in the highlighted field.
%(decimal1_hint1)%	The ratio out of 100 is written as '9/100'. Please express this value as a decimal.	The ratio out of 100 is written as '20/100'. Please express this value as a decimal.	The ratio out of 100 is written as '25/100'. Please express this value as a decimal.	The ratio out of 100 is written as '40/100'. Please express this value as a decimal.	The ratio out of 100 is written as '50/100'. Please express this value as a decimal.	The ratio out of 100 is written as '60/100'. Please express this value as a decimal.	The ratio out of 100 is written as '35/100'. Please express this value as a decimal.	The ratio out of 100 is written as '5/100'. Please express this value as a decimal.
%(decimal1_hint2)%	To find the decimal, divide the numerator of 9/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 20/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 25/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 40/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 50/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 60/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 35/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 5/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.
%(decimal1_hint3)%	Try entering '0.09' in the highlighted field.	Try entering '0.2' in the highlighted field.	Try entering '0.25' in the highlighted field.	Try entering '0.4' in the highlighted field.	Try entering '0.5' in the highlighted field.	Try entering '0.6' in the highlighted field.	Try entering '0.35' in the highlighted field.	Try entering '0.05' in the highlighted field.
%(decimal2_hint1)%	The ratio out of 100 is written as '96/100'. Please express this value as a decimal.	The ratio out of 100 is written as '97/100'. Please express this value as a decimal.	The ratio out of 100 is written as '40/100'. Please express this value as a decimal.	The ratio out of 100 is written as '30/100'. Please express this value as a decimal.	The ratio out of 100 is written as '75/100'. Please express this value as a decimal.	The ratio out of 100 is written as '10/100'. Please express this value as a decimal.	The ratio out of 100 is written as '15/100'. Please express this value as a decimal.	The ratio out of 100 is written as '40/100'. Please express this value as a decimal.
%(decimal2_hint2)%	To find the decimal, divide the numerator of 96/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 97/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 40/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 30/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 75/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 10/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 15/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 40/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.
%(decimal2_hint3)%	Try entering '0.96' in the highlighted field.	Try entering '0.97' in the highlighted field.	Try entering '0.4' in the highlighted field.	Try entering '0.3' in the highlighted field.	Try entering '0.75' in the highlighted field.	Try entering '0.1' in the highlighted field.	Try entering '0.15' in the highlighted field.	Try entering '0.4' in the highlighted field.
%(decimal3_hint1)%	The ratio out of 100 is written as '72/100'. Please express this value as a decimal.	The ratio out of 100 is written as '65/100'. Please express this value as a decimal.	The ratio out of 100 is written as '85/100'. Please express this value as a decimal.	The ratio out of 100 is written as '80/100'. Please express this value as a decimal.	The ratio out of 100 is written as '15/100'. Please express this value as a decimal.	The ratio out of 100 is written as '50/100'. Please express this value as a decimal.	The ratio out of 100 is written as '5/100'. Please express this value as a decimal.	The ratio out of 100 is written as '70/100'. Please express this value as a decimal.
%(decimal3_hint2)%	To find the decimal, divide the numerator of 72/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 65/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 85/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 80/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 15/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 50/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 5/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 70/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.
%(decimal3_hint3)%	Try entering '0.72' in the highlighted field.	Try entering '0.65' in the highlighted field.	Try entering '0.85' in the highlighted field.	Try entering '0.8' in the highlighted field.	Try entering '0.15' in the highlighted field.	Try entering '0.5' in the highlighted field.	Try entering '0.05' in the highlighted field.	Try entering '0.7' in the highlighted field.
%(decimal4_hint1)%	The ratio out of 100 is written as '45/100'. Please express this value as a decimal.	The ratio out of 100 is written as '89/100'. Please express this value as a decimal.	The ratio out of 100 is written as '20/100'. Please express this value as a decimal.	The ratio out of 100 is written as '25/100'. Please express this value as a decimal.	The ratio out of 100 is written as '60/100'. Please express this value as a decimal.	The ratio out of 100 is written as '90/100'. Please express this value as a decimal.	The ratio out of 100 is written as '50/100'. Please express this value as a decimal.	The ratio out of 100 is written as '55/100'. Please express this value as a decimal.
%(decimal4_hint2)%	To find the decimal, divide the numerator of 45/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 89/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 20/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 25/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 60/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 90/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 50/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 55/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.
%(decimal4_hint3)%	Try entering '0.45' in the highlighted field.	Try entering '0.89' in the highlighted field.	Try entering '.2' in the highlighted field.	Try entering '0.25' in the highlighted field.	Try entering '0.6' in the highlighted field.	Try entering '0.9' in the highlighted field.	Try entering '.50' in the highlighted field.	Try entering '0.55' in the highlighted field.
%(reduced1_hint1)%	To make the unreduced ratio, '90/1000', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '40/200', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '125/500', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '320/800', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '1000/2000', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '240/400', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '525/1500', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '30/600', a reduced fraction, first find the greatest common factor of the numerator and the denominator.
%(reduced1_hint2)%	90 is the numerator and 1000 is the denominator. Divide 90 and 1000 by their greatest common factor.	40 is the numerator and 200 is the denominator. Divide 40 and 200 by their greatest common factor.	125 is the numerator and 500 is the denominator. Divide 125 and 500 by their greatest common factor.	320 is the numerator and 800 is the denominator. Divide 320 and 800 by their greatest common factor.	1000 is the numerator and 2000 is the denominator. Divide 1000 and 2000 by their greatest common factor.	240 is the numerator and 400 is the denominator. Divide 240 and 400 by their greatest common factor.	525 is the numerator and 1500 is the denominator. Divide 525 and 1500 by their greatest common factor.	30 is the numerator and 600 is the denominator. Divide 30 and 600 by their greatest common factor.
%(reduced1_hint3)%	The greatest common factor of 90 and 1000 is 10.	The greatest common factor of 40 and 200 is 40.	The greatest common factor of 125 and 500 is 125.	The greatest common factor of 320 and 800 is 160.	The greatest common factor of 1000 and 2000 is 1000.	The greatest common factor of 240 and 400 is 80.	The greatest common factor of 525 and 1500 is 75.	The greatest common factor of 30 and 600 is 30.
%(reduced1_hint4)%	Try entering '9/100' in the highlighted field.	Try entering '1/5' in the highlighted field.	Try entering '1/4' in the highlighted field.	Try entering '2/5' in the highlighted field.	Try entering '1/2' in the highlighted field.	Try entering '3/5' in the highlighted field.	Try entering '7/20' in the highlighted field.	Try entering '1/20' in the highlighted field.
%(reduced2_hint1)%	To make the unreduced ratio, '960/1000', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '194/200', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '200/500', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '240/800', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '1500/2000', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '40/400', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '225/1500', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '240/600', a reduced fraction, first find the greatest common factor of the numerator and the denominator.
%(reduced2_hint2)%	960 is the numerator and 1000 is the denominator. Divide 960 and 1000 by their greatest common factor.	194 is the numerator and 200 is the denominator. Divide 194 and 200 by their greatest common factor.	200 is the numerator and 500 is the denominator. Divide 200 and 500 by their greatest common factor.	240 is the numerator and 800 is the denominator. Divide 240 and 800 by their greatest common factor.	1500 is the numerator and 2000 is the denominator. Divide 1500 and 2000 by their greatest common factor.	40 is the numerator and 400 is the denominator. Divide 40 and 400 by their greatest common factor.	225 is the numerator and 1500 is the denominator. Divide 225 and 1500 by their greatest common factor.	240 is the numerator and 600 is the denominator. Divide 240 and 600 by their greatest common factor.
%(reduced2_hint3)%	The greatest common factor of '960' and '1000' is '40'.	The greatest common factor of '194' and '200' is '2'.	The greatest common factor of '200' and '500' is '100'.	The greatest common factor of '240' and '800' is '80'.	The greatest common factor of '1500' and '2000' is '500'.	The greatest common factor of '40' and '400' is '40'.	The greatest common factor of '225' and '1500' is '75'.	The greatest common factor of '240' and '600' is '60'.
%(reduced2_hint4)%	Try entering '24/25' in the highlighted field.	Try entering '97/100' in the highlighted field.	Try entering '2/5' in the highlighted field.	Try entering '3/10' in the highlighted field.	Try entering '3/4' in the highlighted field.	Try entering '1/10' in the highlighted field.	Try entering '3/20' in the highlighted field.	Try entering '2/5' in the highlighted field.
%(reduced3_hint1)%	To make the unreduced ratio, '720/1000', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '130/200', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '425/500', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '640/800', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '300/2000', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '200/400', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '75/1500', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '420/600', a reduced fraction, first find the greatest common factor of the numerator and the denominator.
%(reduced3_hint2)%	720 is the numerator and 1000 is the denominator. Divide 720 and 1000 by their greatest common factor.	130 is the numerator and 200 is the denominator. Divide 130 and 200 by their greatest common factor.	425 is the numerator and 500 is the denominator. Divide 425 and 500 by their greatest common factor.	640 is the numerator and 800 is the denominator. Divide 640 and 800 by their greatest common factor.	300 is the numerator and 2000 is the denominator. Divide 300 and 2000 by their greatest common factor.	200 is the numerator and 400 is the denominator. Divide 200 and 400 by their greatest common factor.	75 is the numerator and 1500 is the denominator. Divide 75 and 1500 by their greatest common factor.	420 is the numerator and 600 is the denominator. Divide 420 and 600 by their greatest common factor.
%(reduced3_hint3)%	The greatest common factor of '720' and '1000' is '40'.	The greatest common factor of '130' and '200' is '10'.	The greatest common factor of '425' and '500' is '25'.	The greatest common factor of '640' and '800' is '160'.	The greatest common factor of '300' and '2000' is '100'.	The greatest common factor of '200' and '400' is '200'.	The greatest common factor of '75' and '1500' is '75'.	The greatest common factor of '420' and '600' is '120'.
%(reduced3_hint4)%	Try entering '18/25' in the highlighted field.	Try entering '13/20' in the highlighted field.	Try entering '17/20' in the highlighted field.	Try entering '4/5' in the highlighted field.	Try entering '3/20' in the highlighted field.	Try entering '1/2' in the highlighted field.	Try entering '1/20' in the highlighted field.	Try entering '7/10' in the highlighted field.
%(reduced4_hint1)%	To make the unreduced ratio, '450/1000', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '178/200', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '100/500', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '200/800', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '1200/2000', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '360/400', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '750/1500', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '330/600', a reduced fraction, first find the greatest common factor of the numerator and the denominator.
%(reduced4_hint2)%	450 is the numerator and 1000 is the denominator. Divide 450 and 1000 by their greatest common factor.	178 is the numerator and 200 is the denominator. Divide 178 and 200 by their greatest common factor.	100 is the numerator and 500 is the denominator. Divide 100 and 500 by their greatest common factor.	200 is the numerator and 800 is the denominator. Divide 200 and 800 by their greatest common factor.	1200 is the numerator and 2000 is the denominator. Divide 1200 and 2000 by their greatest common factor.	360 is the numerator and 400 is the denominator. Divide 360 and 400 by their greatest common factor.	750 is the numerator and 1500 is the denominator. Divide 750 and 1500 by their greatest common factor.	330 is the numerator and 600 is the denominator. Divide 330 and 600 by their greatest common factor.
%(reduced4_hint3)%	The greatest common factor of '450' and '1000' is '50'.	The greatest common factor of '178' and '200' is '2'.	The greatest common factor of '100' and '500' is '100'.	The greatest common factor of '200' and '800' is '200'.	The greatest common factor of '1200' and '2000' is '200'.	The greatest common factor of '360' and '400' is '40'.	The greatest common factor of '750' and '1500' is '750'.	The greatest common factor of '330' and '600' is '30'.
%(reduced4_hint4)%	Try entering '9/20' in the highlighted field.	Try entering '89/100' in the highlighted field.	Try entering '1/5' in the highlighted field.	Try entering '1/4' in the highlighted field.	Try entering '3/5' in the highlighted field.	Try entering '9/10' in the highlighted field.	Try entering '1/2' in the highlighted field.	Try entering '11/20' in the highlighted field.
								
%(bug1)%								
%(bug2)%	40	6						
%(bug3)%			75	160				180
%(bug4)%	550	22				40		
								
%(error_message1)%								
%(error_message2)%	You have entered the number of fish sold that were Angelfish. This question is asking for how many total fish sold were NOT Angelfish. You can subtract the number of Angelfish from the total number of fish sold to find how many were not Angelfish.	You have entered the number of creatures that were bouncing ferns. This question is asking for how many total creatures were NOT bouncing ferns. You can subtract the number of bouncing ferns from the total number of creatures to find how many were not bouncing ferns.						
%(error_message3)%			You have entered the number of meals served that were pizza. This question is asking for how many total meals were NOT pizza. You can subtract the number of pizzas served from the total number of meals served to find how many were not pizza.	You have entered the number of students enrolled in Section 4. This question is asking for how many students were NOT enrolled in Section 4. You can subtract the number of students in Section 4 from the total number of students to find how many were not in Section 4.				You have entered the number of vehicles that were SUVs. This question is asking for how many total vehicles were NOT SUVs. You can subtract the number of SUVs from the total number of vehicles to find how many were not SUVs.
%(error_message4)%	You have entered the number of fish sold that were Oscar Fish. This question is asking for how many total fish sold were NOT Oscar Fish. You can subtract the number of Oscar Fish from the total number of fish sold to find how many were not Oscar Fish.	You have entered the number of creatures that were giants. This question is asking for how many total creatures were NOT giants. You can subtract the number of giants from the total number of creatures to find how many were not giants.				You have entered the number of balloons that were black. This question is asking for how many total balloons were NOT black. You can subtract the number of black balloons from the total number of balloons to find how many were not black.		
								
%(min1)%	0	0	0	0	0	0	0	0
%(max1)%	0	0	0	0	0	0	0	0
%(min2)%	0	0	0	0	0	0	0	0
%(max2)%	1	1	0	0	0	0	0	0
%(min3)%	0	0	0	0	0	0	0	0
%(max3)%	0	0	1	1	0	0	0	1
%(min4)%	0	0	0	0	0	0	0	0
%(max4)%	1	1	0	0	0	1	0	0 
%(7565146944932883601)%	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.
%(917399830692180717)%	Try entering '0.96' in the highlighted field.	Try entering '0.97' in the highlighted field.	Try entering '0.4' in the highlighted field.	Try entering '0.3' in the highlighted field.	Try entering '0.75' in the highlighted field.	Try entering '0.1' in the highlighted field.	Try entering '0.15' in the highlighted field.	Try entering '0.4' in the highlighted field.
%(-1833497593299982943)%			The number of meals that were eggplant parmigiana or pasta primavera is equal to the number of eggplant parmigiana meals added to the number of pasta primavera meals.	The number of students in either section 2 or section 5 is equal to the number of students in section 2 added to the number of students in section 5.	The money raised from selling candy or pizza is equal to the money raised from selling candy added to the money raised from selling pizza.			
%(-636783797046426605)%					The money raised from selling pizza, T-shirts, or sandwiches is equal to the money raised from selling pizza added to the money raised from selling T-shirts and the money raised from selling sandwiches.			The number of vehicles on the lot that are SUVs or trucks is equal to the number of SUVs added to the number of trucks.
%(1645221181899907971)%	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.
%(3002313564472979001)%	To find the decimal, divide the numerator of 72/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 65/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 85/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 80/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 15/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 50/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 5/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 70/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.
%(1888465201918485151)%	The greatest common factor of 90 and 1000 is %(gcf1)%.	The greatest common factor of 40 and 200 is %(gcf1)%.	The greatest common factor of 125 and 500 is %(gcf1)%.	The greatest common factor of 320 and 800 is %(gcf1)%.	The greatest common factor of 1000 and 2000 is %(gcf1)%.	The greatest common factor of 240 and 400 is %(gcf1)%.	The greatest common factor of 525 and 1500 is %(gcf1)%.	The greatest common factor of 30 and 600 is %(gcf1)%.
%(-1181257822923671979)%	You have entered the number of fish sold that were Oscar Fish. This question is asking for how many total fish sold were NOT Oscar Fish. You can subtract the number of Oscar Fish from the total number of fish sold to find how many were not Oscar Fish.	You have entered the number of creatures that were giants. This question is asking for how many total creatures were NOT giants. You can subtract the number of giants from the total number of creatures to find how many were not giants.				You have entered the number of balloons that were black. This question is asking for how many total balloons were NOT black. You can subtract the number of black balloons from the total number of balloons to find how many were not black.		
%(-1181262822935671972)%								
%(5198795231079414010)%	Try entering '0.09' in the highlighted field.	Try entering '0.2' in the highlighted field.	Try entering '0.25' in the highlighted field.	Try entering '0.4' in the highlighted field.	Try entering '0.5' in the highlighted field.	Try entering '0.6' in the highlighted field.	Try entering '0.35' in the highlighted field.	Try entering '0.05' in the highlighted field.
%(7969913978189485225)%	The greatest common factor of '720' and '1000' is '%(gcf3)%'.	The greatest common factor of '130' and '200' is '%(gcf3)%'.	The greatest common factor of '425' and '500' is '%(gcf3)%'.	The greatest common factor of '640' and '800' is '%(gcf3)%'.	The greatest common factor of '300' and '2000' is '%(gcf3)%'.	The greatest common factor of '200' and '400' is '%(gcf3)%'.	The greatest common factor of '75' and '1500' is '%(gcf3)%'.	The greatest common factor of '420' and '600' is '%(gcf3)%'.
%(7565145944944883708)%	Try entering '90/1000' in the highlighted field.	Try entering '40/200' in the highlighted field.	Try entering '125/500' in the highlighted field.	Try entering '320/800' in the highlighted field.	Try entering '1000/2000' in the highlighted field.	Try entering '240/400' in the highlighted field.	Try entering '525/1500' in the highlighted field.	Try entering '30/600' in the highlighted field.
%(3002314564480978986)%	The ratio out of 100 is written as '72/100'. Please express this value as a decimal.	The ratio out of 100 is written as '65/100'. Please express this value as a decimal.	The ratio out of 100 is written as '85/100'. Please express this value as a decimal.	The ratio out of 100 is written as '80/100'. Please express this value as a decimal.	The ratio out of 100 is written as '15/100'. Please express this value as a decimal.	The ratio out of 100 is written as '50/100'. Please express this value as a decimal.	The ratio out of 100 is written as '5/100'. Please express this value as a decimal.	The ratio out of 100 is written as '70/100'. Please express this value as a decimal.
%(-3119633469235552708)%	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '720/1000' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '130/200' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '425/500' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '640/800' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '300/2000' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '200/400' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '75/1500' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '420/600' to 100.
%(-8714893952752715067)%	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '960/1000' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '194/200' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '200/500' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '240/800' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '1500/2000' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '40/400' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '225/1500' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '240/600' to 100.
%(6736889133846231615)%	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '450/1000' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '178/200' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '100/500' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '200/800' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '1200/2000' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '360/400' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '750/1500' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '330/600' to 100.
%(3077956359363269943)%	450 is the numerator and 1000 is the denominator. Divide 450 and 1000 by their greatest common factor.	178 is the numerator and 200 is the denominator. Divide 178 and 200 by their greatest common factor.	100 is the numerator and 500 is the denominator. Divide 100 and 500 by their greatest common factor.	200 is the numerator and 800 is the denominator. Divide 200 and 800 by their greatest common factor.	1200 is the numerator and 2000 is the denominator. Divide 1200 and 2000 by their greatest common factor.	360 is the numerator and 400 is the denominator. Divide 360 and 400 by their greatest common factor.	750 is the numerator and 1500 is the denominator. Divide 750 and 1500 by their greatest common factor.	330 is the numerator and 600 is the denominator. Divide 330 and 600 by their greatest common factor.
%(1888463201890485073)%	To make the unreduced ratio, '90/1000', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '40/200', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '125/500', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '320/800', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '1000/2000', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '240/400', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '525/1500', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '30/600', a reduced fraction, first find the greatest common factor of the numerator and the denominator.
%(3077953359363269932)%	To make the unreduced ratio, '450/1000', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '178/200', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '100/500', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '200/800', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '1200/2000', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '360/400', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '750/1500', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '330/600', a reduced fraction, first find the greatest common factor of the numerator and the denominator.
