Problem Name	00intro2	13ABDE	14FIRE	15LEAF	16ROFL	17JKLM	18ABC	19SPIN	20LAND	21SKW	22EVO	23NEAT	24MILK	25FROG	26GHI	27SALT	28RHOM
%(Ans1a_hint4)%	-	-	-	-	-	"%(Ans1_a)% is a side of the parallelogram, with a perpendicular segment, %(Ans1_b)%, as a friend. Try %(Ans1_a)% as the base."	-	-	Enter either %(Ans1_a)% or %(Base1_alt)% into the highlighted field.	-	"%(Ans1_a)% is the base because it is a side of the triangle, and it is perpendicular to the height. Enter %(Ans1_a)% into the highlighted area."	-	"%(Ans1_a)% is a side of the parallelogram, with a perpendicular segment, %(Ans1_b)%, as a friend. Try %(Ans1_a)% as the base."	-	"%(Ans1_a)% is a side of the triangle, with a height perpendicular to it. Try %(Ans1_a)% as a base."	"%(Ans1_a)% is a side of the parallelogram, with a perpendicular segment, %(Ans1_b)%, as a friend. Try %(Ans1_a)% as the base."	-
%(Ans1b_hint1)%	-	-	-	-	-	Keep in mind that the altitude (or height) of a parallelogram is always perpendicular to the base. You can start by finding a perpendicular pair of segments. 	-	-	"There are two possible heights in this problem. Your partner only measured %(Ans1_a)%, so you should find the height that is perpendicular to %(Ans1_a)%."	Keep in mind that the altitude (or height) of a triangle is always perpendicular to the base. You can start by finding a perpendicular pair of segments. 	Keep in mind that the altitude (or height) of a triangle is always perpendicular to the base. You can start by finding a perpendicular pair of segments. 	-	Keep in mind that the altitude (or height) of a parallelogram is always perpendicular to the base. You can start by finding a perpendicular pair of segments. 	The base #1 (%(Ans1_a)%) is already labeled for you! All you have to do is find the height that is perpendicular to the base #1 (%(Ans1_a)%).	Keep in mind that the altitude (or height) of a triangle is always perpendicular to the base. You can start by finding a perpendicular pair of segments. 	Keep in mind that the altitude (or height) of a parallelogram is always perpendicular to the base. You can start by finding a perpendicular pair of segments. 	-
%(Ans1b_hint2)%	-	-	-	-	-	"Notice a tiny square on the point where %(Ans1_a)% and %(Ans1_b)% meet. This means they are perpendicular to each other. Now, which one is the height?"	-	-	You can find perpendicular segments by looking for the right angle symbol; it looks like tiny squares. But the segment %(Ans1_a)% is nowhere near them. Does this mean %(Ans1_a)% is not perpendicular to anything?	"Notice a tiny square on the point where %(Ans1_a)% and %(Ans1_b)% meet. This means they are perpendicular to each other. Now, which one is the height?"	"Notice a tiny square on the point where %(Ans1_a)% and %(Ans1_b)% meet. This means they are perpendicular to each other. Now, which one is the height?"	-	"Notice a tiny square on the point where %(Ans1_a)% and %(Ans1_b)% meet. This means they are perpendicular to each other. Now, which one is the height?"	"Having trouble finding the height perpendicular to base #1 (%(Ans1_a)%)? Sometimes, heights are displayed outside of the parallelogram, and can be confusing. When this happens, a dotted line is used to get the height to be connected with a base."	"Notice a tiny square on the point where %(Ans1_a)% and %(Ans1_b)% meet. This means they are perpendicular to each other. Now, which one is the height?"	"Notice a tiny square on the point where %(Ans1_a)% and %(Ans1_b)% meet. This means they are perpendicular to each other. Now, which one is the height?"	-
%(Ans1b_hint3)%	-	-	-	-	-	"<%=ifThen(hasValue(col1.Question0a),concat(""You already entered "",col1.Question0a,"" as your base. That only leaves which of the perpendicular pair ("",col1.Question0a,"" and %(Ans1_b)%) as the height?""),""Think about what is the base first. Only one of the 4 sides of a parallelogram can be a 'base'. That means %(Ans1_a)% must be the base. That only leaves which of the perpendicular pair (%(Ans1_a)% and %(Ans1_b)%) as the height? "")%>"	-	-	"A parallel segment pair on a parallelograms is always perpendicular to the same height! Since %(Ans1_a)% is parallel to %(Base1_alt)%, both of them are perpendicular to the height in between them!"	"<%=ifThen(hasValue(col1.Question0a),concat(""Base is already labeled as "",col1.Question0a,"". That only leaves which of the perpendicular pair ("",col1.Question0a,"" and %(Ans1_b)%) as the height?""),""Think about what is the base first. Only one of the 3 sides of a triangle can be a 'base'. That means %(Ans1_a)% must be the base. That only leaves which of the perpendicular pair (%(Ans1_a)% and %(Ans1_b)%) as the height? "")%>"	"<%=ifThen(hasValue(col1.Question0a),concat(""You already entered "",col1.Question0a,"" as your base. That only leaves which of the perpendicular pair ("",col1.Question0a,"" and %(Ans1_b)%) as the height?""),""Think about what is the base first. Only one of the 3 sides of a triangle can be a 'base'. That means %(Ans1_a)% must be the base. That only leaves which of the perpendicular pair (%(Ans1_a)% and %(Ans1_b)%) as the height? "")%>"	-	"<%=ifThen(hasValue(col1.Question0a),concat(""You already entered "",col1.Question0a,"" as your base. That only leaves which of the perpendicular pair ("",col1.Question0a,"" and %(Ans1_b)%) as the height?""),""Think about what is the base first. Only one of the 4 sides of a parallelogram can be a 'base'. That means %(Ans1_a)% must be the base. That only leaves which of the perpendicular pair (%(Ans1_a)% and %(Ans1_b)%) as the height? "")%>"	"There is a dotted line extending out of %(Ans1_a)%, creating a longer segment, RA. Notice a tiny square where RA and %(Ans1_b)% meets. This means they are perpendicular to each other. "	"<%=ifThen(hasValue(col1.Question0a),concat(""You already entered "",col1.Question0a,"" as your base. That only leaves which of the perpendicular pair ("",col1.Question0a,"" and %(Ans1_b)%) as the height?""),""Think about what is the base first. Only one of the 3 sides of a triangle can be a 'base'. That means %(Ans1_a)% must be the base. That only leaves which of the perpendicular pair (%(Ans1_a)% and %(Ans1_b)%) as the height? "")%>"	"<%=ifThen(hasValue(col1.Question0a),concat(""You already entered "",col1.Question0a,"" as your base. That only leaves which of the perpendicular pair ("",col1.Question0a,"" and %(Ans1_b)%) as the height?""),""Think about what is the base first. Only one of the 4 sides of a parallelogram can be a 'base'. That means %(Ans1_a)% must be the base. That only leaves which of the perpendicular pair (%(Ans1_a)% and %(Ans1_b)%) as the height? "")%>"	-
%(Ans1b_hint4)%	-	-	-	-	-	%(Ans1_b)% is the height because it is perpendicular to the base. Enter %(Ans1_b)% into the highlighted area.	-	-	%(Ans1_b)% is the height between %(Ans1_a)% and %(Base1_alt)%; it is perpendicular to both %(Ans1_a)% and %(Base1_alt)%. Enter %(Ans1_b)% into the highlighted area.	%(Ans1_b)% is the height because it is perpendicular to the base. Enter %(Ans1_b)% into the highlighted area.	%(Ans1_b)% is the height because it is perpendicular to the base. Enter %(Ans1_b)% into the highlighted area.	-	%(Ans1_b)% is the height because it is perpendicular to the base. Enter %(Ans1_b)% into the highlighted area.	%(Ans1_b)% is height #1 because it is perpendicular to the base #1. Enter %(Ans1_b)% into the input box.	%(Ans1_b)% is the height because it is perpendicular to the base. Enter %(Ans1_b)% into the highlighted area.	%(Ans1_b)% is the height because it is perpendicular to the base. Enter %(Ans1_b)% into the highlighted area.	-
%(Ans1c_hint1)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Ans1c_hint2)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Ans1c_hint3)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Ans1c_hint4)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Ans1d_hint1)%	-	-	-	-	-	-	-	-	-	-	-	-	-	The base #2 (%(Ans1_c)%) is already labeled for you! All you have to do is find the height that is perpendicular to the base #2 (%(Ans1_c)%).	-	-	-
%(Ans1d_hint2)%	-	-	-	-	-	-	-	-	-	-	-	-	-	"Having trouble finding the height perpendicular to base #2 (%(Ans1_c)%)? Sometimes, heights are displayed outside of the parallelogram, and can be confusing. When this happens, a dotted line is used to get the height to be connected with a base."	-	-	-
%(Ans1d_hint3)%	-	-	-	-	-	-	-	-	-	-	-	-	-	"There is a dotted line extending out of %(Ans1_c)%, creating a longer segment, RB. Notice a tiny square where RB and %(Ans1_d)% meets. This means they are perpendicular to each other. "	-	-	-
%(Ans1d_hint4)%	-	-	-	-	-	-	-	-	-	-	-	-	-	%(Ans1_d)% is height #2 because it is perpendicular to the base #2. Enter %(Ans1_d)% into the input box.	-	-	-
								 									
%(Ans2a_hint1)%	-	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?	"<%=ifThen(hasValue(col1.Question0a),""Enter the length of the parallelogram's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram's base here."")%>"	Enter the length of the triangle's base here. Not sure which segment is the base? What is the label of the base segment?	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?	"<%=ifThen(hasValue(col1.Question0a),""Enter the length of the parallelogram's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram's base here."")%>"	Enter the length of the triangle's base here. Not sure which segment is the base? What is the label of the base segment?	"<%=ifThen(hasValue(col1.Question0a),""Enter the length of the triangle's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the triangle's base here."")%>"	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?	"<%=ifThen(hasValue(col1.Question0a),""Enter the length of the parallelogram MILK's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram MILK's base here."")%>"	Enter the length of the parallelogram's base #1 here. Not sure which segment is base #1? What is the label of base #1?	"<%=ifThen(hasValue(col1.Question0a),""Enter the length of the triangle's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the triangle's base here."")%>"	"<%=ifThen(hasValue(col1.Question0a),""Enter the length of the parallelogram's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram's base here."")%>"	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?
%(Ans2a_hint2)%	-	"Take a look at the diagram label of this column, or under ""%(heading1)%"". The base segment label is displayed as %(Ans1_a)%. Enter the length of %(Ans1_a)%."	"Take a look at the diagram label of this column, or under ""%(heading1)%"". The base segment label is displayed as %(Ans1_a)%. Enter the length of %(Ans1_a)%."	"Take a look at the diagram label of this column, or under ""%(heading1)%"". The base segment label is displayed as %(Ans1_a)%. Enter the length of %(Ans1_a)%."	"Take a look at the diagram label of this column, or under ""%(heading1)%"". The base segment label is displayed as %(Ans1_a)%. Enter the length of %(Ans1_a)%."	"<%=ifThen(hasValue(col1.Question0a),concat(""The base you chose is "",col1.Question0a,"". How long is this? Is the length given in the question statement?""),""You have not entered the label for your base yet. If you don't know which segment is the base, try asking for the hints while in the 'Diagram Labels' column to get help finding the base."")%>"	"Take a look at the diagram label of this column, or under ""%(heading1)%"". What is the name or label of the segment that represents the base?"	"Take a look at the diagram label of this column, or under ""%(heading1)%"". The base segment label is displayed as %(Ans1_a)%. Enter the length of %(Ans1_a)%."	"<%=ifThen(hasValue(col1.Question0a),concat(""The base you chose is "",col1.Question0a,"". How long is this? Is the length given in the question statement?""),""You have not entered the label for your base yet. If you don't know which segment is the base, try asking for the hints while in the  '%(rowLabel2)%' row to get help finding the base."")%>"	"Take a look at the diagram label of this column, or under ""%(heading1)%"". What is the name or label of the segment that represents the base?"	"<%=ifThen(hasValue(col1.Question0a),concat(""The base you chose is "",col1.Question0a,"". How long is this? Is the length given in the question statement?""),""You have not entered the label for your base yet. If you don't know which segment is the base, try asking for the hints while in the 'Diagram Labels' column to get help finding the base."")%>"	"Take a look at the diagram label of this column, or under ""%(heading1)%"". The base segment label is displayed as %(Ans1_a)%. Enter the length of %(Ans1_a)%."	"<%=ifThen(hasValue(col1.Question0a),concat(""The base you chose is "",col1.Question0a,"". How long is this? Is the length given in the question statement?""),""You have not entered the label for your base yet. If you don't know which segment is the base, try asking for the hints while in the 'Diagram Labels' column to get help finding the base."")%>"	"Take a look at the diagram label of this column, or under ""%(heading1)%"". The base #1 segment label is displayed as %(Ans1_a)%. Enter the length of %(Ans1_a)%."	"<%=ifThen(hasValue(col1.Question0a),concat(""The base you chose is "",col1.Question0a,"". How long is this? Is the length given in the question statement?""),""You have not entered the label for your base yet. If you don't know which segment is the base, try asking for the hints while in the 'Diagram Labels' column to get help finding the base."")%>"	"<%=ifThen(hasValue(col1.Question0a),concat(""The base you chose is "",col1.Question0a,"". How long is this? Is the length given in the question statement?""),""You have not entered the label for your base yet. If you don't know which segment is the base, try asking for the hints while in the 'Diagram Labels' column to get help finding the base."")%>"	"The diagram label under %(heading1)% is %(Ans1_a)%. Unfortunately, the length of %(Ans1_a)% is not given in the question statement. But you can figure it out! Remember that RHOM is a rhombus. "
%(Ans2a_hint3)%	-	"Re-read the question statement to find how long %(Ans1_a)% is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"Re-read the question statement to find how long %(Ans1_a)% is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"Re-read the question statement to find how long %(Ans1_a)% is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"Re-read the question statement to find how long %(Ans1_a)% is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"<%=ifThen(hasValue(col1.Question0a),ifThen(regExMatch(""%(trgtExpBase1)%"",col1.Question0a),concat(""The length of "",col1.Question0a,"" is given in the question statement. Read it carefully to find out.""),concat(""The length of "",col1.Question0a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram has the SAME length! Here is a hint: "",col1.Question0a,"" is parallel to %(trgtBase1)%."")),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the base?"")%>"	"The label under ""%(heading1)%"" is %(Ans1_a)%. Do you remember how long the segment %(Ans1_a)% is? Read the problem statement again if you are not sure. "	"Re-read the question statement to find how long %(Ans1_a)% is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"<%=ifThen(hasValue(col1.Question0a),ifThen(regExMatch(""%(trgtExpBase1)%"",col1.Question0a),concat(""The length of "",col1.Question0a,"" is given in the question statement. Read it carefully to find out.""),concat(""The length of "",col1.Question0a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram has the SAME length! Here is a hint: "",col1.Question0a,"" is parallel to %(trgtBase1)%."")),""Your lazy partner measured only one side. This means, for your base, you will have to  use that side, or the side parallel to it. Which side is the one your partner measured?"")%>"	"The label under ""%(heading1)%"" is %(Ans1_a)%. Do you remember how long the segment %(Ans1_a)% is? Read the problem statement again if you are not sure. "	"<%=ifThen(hasValue(col1.Question0a),""In Question1, the following is given: %(Ans1_a)% = %(Ans2_a)% %(unt1)%!"",""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the base?"")%>"	"Re-read the question statement to find how long %(Ans1_a)% is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"<%=ifThen(hasValue(col1.Question0a),ifThen(regExMatch(""%(trgtExpBase1)%"",col1.Question0a),concat(""The length of "",col1.Question0a,"" is given in the question statement. Read it carefully to find out.""),concat(""The length of "",col1.Question0a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram has the SAME length! Here is a hint: "",col1.Question0a,"" is parallel to %(trgtBase1)%."")),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the base?"")%>"	"Re-read the question statement to find how long %(Ans1_a)% is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"<%=ifThen(hasValue(col1.Question0a),""In Question1, the following is given: %(Ans1_a)% = %(Ans2_a)% %(unt1)%!"",""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the base?"")%>"	"<%=ifThen(hasValue(col1.Question0a),ifThen(regExMatch(""%(trgtExpBase1)%"",col1.Question0a),concat(""The length of "",col1.Question0a,"" is given in the question statement. Read it carefully to find out.""),concat(""The length of "",col1.Question0a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram has the SAME length! Here is a hint: "",col1.Question0a,"" is parallel to %(trgtBase1)%."")),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the base?"")%>"	"Rhombus is a special parallelogram where all 4 of the sides have the same length. This means, if you know the length of 1 side, you will know the lengths of all 4 sides! "
%(Ans2a_hint4)%	-	"<%=ifThen(regExMatch(""%(trgtExpBase1)%"",col1.Question0a),""The base (%(Ans1_a)%) is %(Ans2_a)% %(unit1word)% long. Enter %(Ans2_a)% into the highlighted area."",concat(""Question1 has given you %(trgtBase1)% = %(Ans2_a)%. Since "",col1.Question0a,"" is parallel to %(trgtBase1)%, "",col1.Question0a,"" = %(Ans2_a)% as well.""))%>"	"<%=ifThen(regExMatch(""%(trgtExpBase1)%"",col1.Question0a),""The base (%(Ans1_a)%) is %(Ans2_a)% %(unit1word)% long. Enter %(Ans2_a)% into the highlighted area."",concat(""Question1 has given you %(trgtBase1)% = %(Ans2_a)%. Since "",col1.Question0a,"" is parallel to %(trgtBase1)%, "",col1.Question0a,"" = %(Ans2_a)% as well.""))%>"	"<%=ifThen(regExMatch(""%(trgtExpBase1)%"",col1.Question0a),""The base (%(Ans1_a)%) is %(Ans2_a)% %(unit1word)% long. Enter %(Ans2_a)% into the highlighted area."",concat(""Question1 has given you %(trgtBase1)% = %(Ans2_a)%. Since "",col1.Question0a,"" is parallel to %(trgtBase1)%, "",col1.Question0a,"" = %(Ans2_a)% as well.""))%>"	"<%=ifThen(regExMatch(""%(trgtExpBase1)%"",col1.Question0a),""The base (%(Ans1_a)%) is %(Ans2_a)% %(unit1word)% long. Enter %(Ans2_a)% into the highlighted area."",concat(""Question1 has given you %(trgtBase1)% = %(Ans2_a)%. Since "",col1.Question0a,"" is parallel to %(trgtBase1)%, "",col1.Question0a,"" = %(Ans2_a)% as well.""))%>"	"<%=ifThen(hasValue(col1.Question0a),ifThen(regExMatch(""%(trgtExpBase1)%"",col1.Question0a),""Question1 has given you %(trgtBase1)% = %(Ans2_a)%. Enter %(Ans2_a)% into the highlighted area."",concat(""Question1 has given you %(trgtBase1)% = %(Ans2_a)%. Since "",col1.Question0a,"" is parallel to %(trgtBase1)%, "",col1.Question0a,"" = %(Ans2_a)% as well."")),""Base must be a side of a parallelogram. Therefore, %(Ans1_a)% is the base. Enter its length into the highlighted area."")%>"	The base (%(Ans1_a)%) is %(Ans2_a)% %(unit1word)% long.	"<%=ifThen(regExMatch(""%(trgtExpBase1)%"",col1.Question0a),""The base (%(Ans1_a)%) is %(Ans2_a)% %(unit1word)% long. Enter %(Ans2_a)% into the highlighted area."",concat(""Question1 has given you %(trgtBase1)% = %(Ans2_a)%. Since "",col1.Question0a,"" is parallel to %(trgtBase1)%, "",col1.Question0a,"" = %(Ans2_a)% as well.""))%>"	"<%=ifThen(hasValue(col1.Question0a),ifThen(regExMatch(""%(trgtExpBase1)%"",col1.Question0a),""Question1 has given you %(Ans1_a)% = %(Ans2_a)%. Enter %(Ans2_a)% in the highlighted field."",""Question1 has given you %(Ans1_a)% = %(Ans2_a)%. Since %(Base1_alt)% is parallel to %(trgtBase1)%, %(Base1_alt)% = %(Ans2_a)% as well.""),""Your partner only measured %(Ans1_a)%. Enter its length into the highlighted area."")%>"	The base (%(Ans1_a)%) is %(Ans2_a)% %(unit1word)% long.	"<%=ifThen(hasValue(col1.Question0a),""Enter %(Ans2_a)% into the highlighted area."",""Only one of the 3 sides of a triangle can be a 'base'. Therefore, %(Ans1_a)% is the base. Enter its length into the highlighted area."")%>"	"<%=ifThen(regExMatch(""%(trgtExpBase1)%"",col1.Question0a),""The base (%(Ans1_a)%) is %(Ans2_a)% %(unit1word)% long. Enter %(Ans2_a)% into the highlighted area."",concat(""Question1 has given you %(trgtBase1)% = %(Ans2_a)%. Since "",col1.Question0a,"" is parallel to %(trgtBase1)%, "",col1.Question0a,"" = %(Ans2_a)% as well.""))%>"	"<%=ifThen(hasValue(col1.Question0a),ifThen(regExMatch(""%(trgtExpBase1)%"",col1.Question0a),""Question1 has given you %(trgtBase1)% = %(Ans2_a)%. Enter %(Ans2_a)% into the highlighted area."",concat(""Question1 has given you %(trgtBase1)% = %(Ans2_a)%. Since "",col1.Question0a,"" is parallel to %(trgtBase1)%, "",col1.Question0a,"" = %(Ans2_a)% as well."")),""Base must be a side of a parallelogram. Therefore, %(Ans1_a)% is the base. Enter its length into the highlighted area."")%>"	Base #1 (%(Ans1_a)%) is %(Ans2_a)% %(unit1word)% long. Enter %(Ans2_a)% into the highlighted area.	"<%=ifThen(hasValue(col1.Question0a),""Enter %(Ans2_a)% into the highlighted area."",""Only one of the 3 sides of a triangle can be a 'base'. Therefore, %(Ans1_a)% is the base. Enter its length into the highlighted area."")%>"	"<%=ifThen(hasValue(col1.Question0a),ifThen(regExMatch(""%(trgtExpBase1)%"",col1.Question0a),""Question1 has given you %(trgtBase1)% = %(Ans2_a)%. Enter %(Ans2_a)% into the highlighted area."",concat(""Question1 has given you %(trgtBase1)% = %(Ans2_a)%. Since "",col1.Question0a,"" is parallel to %(trgtBase1)%, "",col1.Question0a,"" = %(Ans2_a)% as well."")),""Base must be a side of a parallelogram. Therefore, %(Ans1_a)% is the base. Enter its length into the highlighted area."")%>"	"Since RH = %(Ans2_a)% %(unt1)%, rest of the sides of RHOM are also %(Ans2_a)% %(unit1word)% long. Enter %(Ans2_a)% into the highlighted area."
%(Ans2b_hint1)%	-	Enter the length of the segment that is adjacent to the base. Not sure which segment this is? What is the label of the segment you are looking for?	Enter the length of the segment that is adjacent to the base. Not sure which segment this is? What is the label of the segment you are looking for?	Enter the length of the parallelogram's height here. Not sure which segment that is? What is the label of the height segment?	Enter the length of the parallelogram's height here. Not sure which segment that is? What is the label of the height segment?	"<%=ifThen(hasValue(col2.Question0b),""Enter the length of the parallelogram's height here. You entered the correct label for the height, so enter that segment's length here."",""Enter the length of the parallelogram's height here."")%>"	Enter the length of the triangle's height here. Not sure which segment that is? What is the label of the height segment?	Enter the length of the parallelogram's height here. Not sure which segment that is? What is the label of the height segment?	"<%=ifThen(hasValue(col2.Question0b),""Enter the length of the parallelogram's height here. You entered the correct label for the height, so enter that segment's length here."",""Enter the length of the parallelogram's height here."")%>"	"<%=ifThen(hasValue(col2.Question0b),""Enter the length of the triangle's height here. You entered the correct label for the height, so enter that segment's length here."",""Enter the length of the triangle's height here."")%>"	"<%=ifThen(hasValue(col2.Question0b),""Enter the length of the triangle's height here. You entered the correct label for the height, so enter that segment's length here."",""Enter the length of the triangle's height here."")%>"	Enter the length of the segment that is adjacent to the base. Not sure which segment this is? What is the label of the segment you are looking for?	"<%=ifThen(hasValue(col2.Question0b),""Enter the length of MILK's height here. You entered the correct label for the height, so enter that segment's length here."",""Enter the length of MILK's height here."")%>"	"<%=ifThen(hasValue(col2.Question0b),""Enter the length of the parallelogram's height #1 here. You entered the correct label for the height #1, so enter that segment's length here."",""Enter the length of the parallelogram's height #1 here."")%>"	"<%=ifThen(hasValue(col2.Question0b),""Enter the length of the triangle's height here. You entered the correct label for the height, so enter that segment's length here."",""Enter the length of the triangle's height here."")%>"	"<%=ifThen(hasValue(col2.Question0b),""Enter the length of the parallelogram's height here. You entered the correct label for the height, so enter that segment's length here."",""Enter the length of the parallelogram's height here."")%>"	Enter the length of the parallelogram's height here. Not sure which segment that is? What is the label of the height segment?
%(Ans2b_hint2)%	-	"Take a look at the diagram label of this column, or under ""%(heading2)%"". The label for the segment adjacent to the base is displayed as %(Ans1_b)%. Enter the length of %(Ans1_b)%."	"Take a look at the diagram label of this column, or under ""%(heading2)%"". The label for the segment adjacent to the base is displayed as %(Ans1_b)%. Enter the length of %(Ans1_b)%."	"Take a look at the diagram label of this column, or under ""%(heading2)%"". What is the name or the label of the segment that represents the height?"	"Take a look at the diagram label of this column, or under ""%(heading2)%"". What is the name or the label of the segment that represents the height?"	"<%=ifThen(hasValue(col2.Question0b),""What is the label of the height segment you entered right under '%(heading2)%'?"",""You have not entered the label for your height yet. If you don't know which segment is the height, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	"Take a look at the diagram label of this column, or under ""%(heading2)%"". What is the name or label of the segment that represents the height?"	"Take a look at the diagram label of this column, or under ""%(heading2)%"". What is the name or the label of the segment that represents the height?"	"<%=ifThen(hasValue(col2.Question0b),""What is the label of the height segment you entered right under '%(heading2)%'?"",""You have not entered the label for your height yet. Remember that, in this problem, you have two heights! Which height is perpendicular to the base with a known length?"")%>"	"<%=ifThen(hasValue(col2.Question0b),""What is the label of the height segment you entered right under '%(heading2)%'?"",""You have not entered the label for your height yet. If you don't know which segment is the height, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	"<%=ifThen(hasValue(col2.Question0b),""What is the label of the height segment you entered right under '%(heading2)%'?"",""You have not entered the label for your height yet. If you don't know which segment is the height, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	"Take a look at the diagram label of this column, or under ""%(heading2)%"". The label for the segment adjacent to the base is displayed as %(Ans1_b)%. Enter the length of %(Ans1_b)%."	"<%=ifThen(hasValue(col2.Question0b),""What is the label of MILK's height segment you entered right under '%(heading2)%'?"",""You have not entered the label for MILK's height yet. If you don't know which segment is the height, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	"<%=ifThen(hasValue(col2.Question0b),""What is the label of the height segment you entered right under '%(heading2)%'?"",""You have not entered the label for your height #1 yet. If you don't know which segment is the height #1, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	"<%=ifThen(hasValue(col2.Question0b),""What is the label of the height segment you entered right under '%(heading2)%'?"",""You have not entered the label for your height yet. If you don't know which segment is the height, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	"<%=ifThen(hasValue(col2.Question0b),""What is the label of the height segment you entered right under '%(heading2)%'?"",""You have not entered the label for your height yet. If you don't know which segment is the height, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	"Take a look at the diagram label of this column, or under ""%(heading2)%"". What is the name or the label of the segment that represents the height?"
