Problem Name	GCF-16_24	GCF-6_28	GCF-8_44	GCF-9_21	GCF-13_26	GCF-15_45	GCF-18_24	GCF-20_30	GCF-25_75	GCF-27_45	GCF-30_56	GCF-36_39
%(Fac34-ErrOrder)%	1|24|2|%(Fac24)%|%(Fac33)%|%(Fac43)%|%(Fac44)%	1|28|2|%(Fac24)%|%(Fac33)%	1|44|2|%(Fac24)%|%(Fac33)%			1|45|3|%(Fac24)%|%(Fac33)%	1|24|2|%(Fac24)%|%(Fac33)%|%(Fac43)%|%(Fac44)%	1|30|2|%(Fac24)%|%(Fac33)%|%(Fac43)%|%(Fac44)%	1|75|3|%(Fac24)%|%(Fac33)%	1|45|3|%(Fac24)%|%(Fac33)%	1|56|2|%(Fac24)%|%(Fac33)%|%(Fac43)%|%(Fac44)%	
%(Fac43)%	4						4	5			7	
%(Hint43-1)%	Since you already decided that this number is even, divide the number by 2, then divide that result by 2.  Did you get a whole number?  Then this number is divisible by 4.						Since you already decided that this number is even, divide the number by 2, then divide that result by 2.  Did you get a whole number?  Then this number is divisible by 4.	If a number ends in 5 or a 0, it is divisible by 5. Does 30 end in 5 or 0?			Does 56 appear in the 5 times table? What about the 6 times table? 	
%(Hint43-2)%								Since 30 ends in 0, what is a possible factor?			Does 56 appear in the 7 times table?	
%(Hint43-3)%												
%(Hint43-4)%	Please enter '4' in the highlighted field.						Please enter '4' in the highlighted field.	Please enter '5' in the highlighted field.			Please enter '7' in the highlighted field.	
%(R4C3-TRAVERSAL)%	1	0	0	0	0	0	1	1	0	0	1	0
%(Fac43-ErrOrder)%	1|24|2|%(Fac24)%|%(Fac34)%|%(Fac33)%|%(Fac44)%						1|24|2|%(Fac24)%|%(Fac33)%|%(Fac34)%|%(Fac44)%	1|30|2|%(Fac24)%|%(Fac33)%|%(Fac34)%|%(Fac44)%			1|56|2|%(Fac24)%|%(Fac33)%|%(Fac34)%|%(Fac44)%	
%(Fac44)%	6						6	6			8	
%(Hint44-1)%	Use your previous entry to figure out what this factor will be.						Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.			Use your previous entry to figure out what this factor will be.	
%(Hint44-2)%												
%(Hint44-3)%	What number multiplied by 4 gives you 24?						What number multiplied by 4 gives you 24?	What number multiplied by 5 gives you 30?			What number multiplied by 7 gives you 56?	
%(Hint44-4)%	Please enter '6' in the highlighted field.						Please enter '6' in the highlighted field.	Please enter '6' in the highlighted field.			Please enter '8' in the highlighted field.	
%(R4C4-TRAVERSAL)%	1	0	0	0	0	0	1	1	0	0	1	0
%(Fac44-ErrOrder)%	1|24|2|%(Fac24)%|%(Fac33)%|%(Fac34)%|%(Fac43)%|						1|24|2|%(Fac24)%|%(Fac33)%|%(Fac34)%|%(Fac43)%	1|30|2|%(Fac24)%|%(Fac33)%|%(Fac34)%|%(Fac43)%			1|56|2|%(Fac24)%|%(Fac33)%|%(Fac34)%|%(Fac43)%	
%(Fac53)%												
%(Hint53-1)%												
%(Hint53-2)%												
%(Hint53-3)%												
%(Hint53-4)%												
%(R5C3-TRAVERSAL)%	0	0	0	0	0	0	0	0	0	0	0	0
%(Fac53-ErrOrder)%												
%(Fac54)%												
%(Hint54-1)%												
%(Hint54-2)%												
%(Hint54-3)%												
%(Hint54-4)%												
%(R5C4-TRAVERSAL)%	0	0	0	0	0	0	0	0	0	0	0	0
%(Fac54-ErrOrder)%												
%(CF1)%	1	1	1	1	1	1	1	1	1	1	1	1
%(HintCF1-1)%	Look at all of your factor pairs. What factors do the two numbers, 16 and 24 have in common?	Look at all of your factor pairs. What factors do the two numbers, 6 and 28 have in common?	Look at all of your factor pairs. What factors do the two numbers, 8 and 44 have in common?	Look at all of your factor pairs. What factors do the two numbers, 9 and 21 have in common?	Look at all of your factor pairs. What factors do the two numbers, 13 and 26 have in common?	Look at all of your factor pairs. What factors do the two numbers, 15 and 45 have in common?	Look at all of your factor pairs. What factors do the two numbers, 18 and 24 have in common?	Look at all of your factor pairs. What factors do the two numbers, 20 and 30 have in common?	Look at all of your factor pairs. What factors do the two numbers, 25 and 75 have in common?	Look at all of your factor pairs. What factors do the two numbers, 27 and 45 have in common?	Look at all of your factor pairs. What factors do the two numbers, 30 and 56 have in common?	Look at all of your factor pairs. What factors do the two numbers, 36 and 39 have in common?
%(HintCF1-2)%	What is the smallest common factor?	What is the smallest common factor?	What is the smallest common factor?	What is the smallest common factor?	What is the smallest common factor?	What is the smallest common factor?	What is the smallest common factor?	What is the smallest common factor?	What is the smallest common factor?	What is the smallest common factor?	What is the smallest common factor?	What is the smallest common factor?
%(HintCF1-3)%	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.
%(HintCF1-4)%	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.
%(CF1-TRAVERSAL)%	1	1	1	1	1	1	1	1	1	1	1	1
%(CF1-ErrOrder)%	2|4|8	2	2|4	3	13	3|5|15	2|3|6	2|5|10	5|25	3|9	2	3
%(CF2)%	2	2	2	3	13	3	2	2	5	3	2	3
%(HintCF2-1)%	Look at all of your factor pairs. What other factors do the two numbers, 16 and 24 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 6 and 28 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 8 and 44 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 9 and 21 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 13 and 26 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 15 and 45 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 18 and 24 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 20 and 30 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 25 and 75 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 27 and 45 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 30 and 56 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 36 and 39 have in common?
%(HintCF2-2)%	What is the second largest common factor?	What is the second largest common factor?	What is the second largest common factor?	What is the second largest common factor?	What is the second largest common factor?	What is the second largest common factor?	What is the second largest common factor?	What is the second largest common factor?	What is the second largest common factor?	What is the second largest common factor?	What is the second largest common factor?	What is the second largest common factor?
%(HintCF2-3)%	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.
%(HintCF2-4)%	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '13' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.
%(CF2-TRAVERSAL)%	1	1	1	1	1	1	1	1	1	1	1	1
%(CF2-ErrOrder)%	1|4|8	1	4	1	1	1|5|15	1|3|6	1|5|10	1|25	1|9	1	1
%(CF3)%	4		4			5	3	5	25	9		
%(HintCF3-1)%	Look at all of your factor pairs. What other factors do the two numbers, 16 and 24 have in common?		Look at all of your factor pairs. What other factors do the two numbers, 8 and 44 have in common?			Look at all of your factor pairs. What other factors do the two numbers, 15 and 45 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 18 and 24 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 20 and 30 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 25 and 75 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 27 and 45 have in common?		
%(HintCF3-2)%	What is the third largest common factor?		What is the third largest common factor?			What is the third largest common factor?	What is the third largest common factor?	What is the third largest common factor?	What is the third largest common factor?	What is the third largest common factor?		
%(HintCF3-3)%	List the common factors in order from smallest to largest.		List the common factors in order from smallest to largest.			List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.		
%(HintCF3-4)%	Please enter '4' in the highlighted field.		Please enter '4' in the highlighted field.			Please enter '5' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '25' in the highlighted field.	Please enter '9' in the highlighted field.		
%(CF3-TRAVERSAL)%	1	0	1	0	0	1	1	1	1	1	0	0
%(CF3-ErrOrder)%	1|2|8		1|2			1|3|15	1|2|6	1|2|10	1|5	1|3		
%(CF4)%	8					15	6	10				
%(HintCF4-1)%	Look at all of your factor pairs. What other factors do the two numbers, 16 and 24 have in common?					Look at all of your factor pairs. What other factors do the two numbers, 15 and 45 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 18 and 24 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 20 and 30 have in common?				
%(HintCF4-2)%	What is the fourth largest common factor?					What is the fourth largest common factor?	What is the fourth largest common factor?	What is the fourth largest common factor?				
%(HintCF4-3)%	List the common factors in order from smallest to largest.					List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.				
%(HintCF4-4)%	Please enter '8' in the highlighted field.					Please enter '15' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '10' in the highlighted field.				
%(CF4-TRAVERSAL)%	1	0	0	0	0	1	1	1	0	0	0	0
%(CF4-ErrOrder)%	1|2|4					1|3|5	1|2|3	1|2|5				
%(A)%	8	2	4	3	13	15	6	10	25	9	2	3
%(HintA-1)%	Look at the common factors you have found. Now what is the greatest common factor of 16 and 24?	Look at the common factors you have found. Now what is the greatest common factor of 6 and 28?	Look at the common factors you have found. Now what is the greatest common factor of 8 and 44?	Look at the common factors you have found. Now what is the greatest common factor of 9 and 21?	Look at the common factors you have found. Now what is the greatest common factor of 13 and 26?	Look at the common factors you have found. Now what is the greatest common factor of 15 and 45?	Look at the common factors you have found. Now what is the greatest common factor of 18 and 24?	Look at the common factors you have found. Now what is the greatest common factor of 20 and 30?	Look at the common factors you have found. Now what is the greatest common factor of 25 and 75?	Look at the common factors you have found. Now what is the greatest common factor of 27 and 45?	Look at the common factors you have found. Now what is the greatest common factor of 30 and 56?	Look at the common factors you have found. Now what is the greatest common factor of 36 and 39?
%(HintA-2)%	What is the greatest common factor? 1? 2? 4? 8?	What is the greatest common factor? 1? 2?	What is the greatest common factor? 1? 2? 4?	What is the greatest common factor? 1? 3?	What is the greatest common factor? 1? 13?	What is the greatest common factor? 1? 3? 5? 15?	What is the greatest common factor? 1? 2? 3? 6?	What is the greatest common factor? 1? 2? 5?	What is the greatest common factor? 1? 5? 25?	What is the greatest common factor? 1? 3? 9?	What is the greatest common factor? 1? 2?	What is the greatest common factor? 1? 3?
%(HintA-3)%	Enter '8' in the highlighted field.	Enter '2' in the highlighted field.	Enter '4' in the highlighted field.	Enter '3' in the highlighted field.	Enter '13' in the highlighted field.	Enter '15' in the highlighted field.	Enter '6' in the highlighted field.	Enter '10' in the highlighted field.	Enter '25' in the highlighted field.	Enter '9' in the highlighted field.	Enter '2' in the highlighted field.	Enter '3' in the highlighted field.
%(CF-ErrNotCommon)%	[^(1|2|4|8)]	[^(1|2)]	[^(1|2|4)]	[^(1|3)]	[^(1|13)]	[^(1|3|5|15)]	[^(1|2|3|6)]	[^(1|2|5|10)]	[^(1|5|25)]	[^(1|3|9)]	[^(1|2)]	[^(1|3)]
%(GCF-Err)%	1|2|4	1	1|2	1	1	1|3|5	1|2|3	1|2|5	1|5	1|3	1	1 
%(254303365388049584)%												
%(-5977137150935564445)%	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.
%(-7537965487687806191)%	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.
%(-1958610125961082412)%	What number multiplied by 1 gives you 24?	What number multiplied by 1 gives you 28?	What number multiplied by 1 gives you 44?	What number multiplied by 1 gives you 21?	What number multiplied by 1 gives you 26?	What number multiplied by 1 gives you 45?	What number multiplied by 1 gives you 24?	What number multiplied by 1 gives you 30?	What number multiplied by 1 gives you 75?	What number multiplied by 1 gives you 45?	What number multiplied by 1 gives you 56?	What number multiplied by 1 gives you 39?
%(4258066570658946414)%	Please enter '4' in the highlighted field.						Please enter '4' in the highlighted field.	Please enter '5' in the highlighted field.			Please enter '7' in the highlighted field.	
%(-4868200884791373883)%												
%(-3307382548147132355)%												Use your previous entry to figure out what this factor will be.
%(3135564320319522621)%												
%(-4868201884795373888)%												
%(-1934125337180675039)%	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.
%(3349241659411110558)%	Look at all of your factor pairs. What other factors do the two numbers, 16 and 24 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 6 and 28 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 8 and 44 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 9 and 21 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 13 and 26 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 15 and 45 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 18 and 24 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 20 and 30 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 25 and 75 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 27 and 45 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 30 and 56 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 36 and 39 have in common?
%(-1321319791251777704)%	Use your previous entry to figure out what this factor will be.						Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.			Use your previous entry to figure out what this factor will be.	
%(-1321321791279777786)%	What number multiplied by 4 gives you 24?						What number multiplied by 4 gives you 24?	What number multiplied by 5 gives you 30?			What number multiplied by 7 gives you 56?	
%(-8673086570870268165)%	What is the fourth largest common factor?					What is the fourth largest common factor?	What is the fourth largest common factor?	What is the fourth largest common factor?				
%(3349244659511110895)%	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '13' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.
%(9128231315816371920)%	Enter '8' in the highlighted field.	Enter '2' in the highlighted field.	Enter '4' in the highlighted field.	Enter '3' in the highlighted field.	Enter '13' in the highlighted field.	Enter '15' in the highlighted field.	Enter '6' in the highlighted field.	Enter '10' in the highlighted field.	Enter '25' in the highlighted field.	Enter '9' in the highlighted field.	Enter '2' in the highlighted field.	Enter '3' in the highlighted field.
%(-5977140151031564692)%												
%(-7537964487679806098)%												
%(-4630892098344058834)%	Since the 24 is even, what is a possible factor?	Since the 28 is even, what is a possible factor?	Since the 44 is even, what is a possible factor?	Since the digits add up to a multiple of 3, what is a possible factor?	Since the 26 is even, what is a possible factor?	Since the digits add up to a multiple of 3, what is a possible factor?	Since the 24 is even, what is a possible factor?	Since the 30 is even, what is a possible factor?	Since the digits add up to a multiple of 3, what is a possible factor?	Since the digits add up to a multiple of 3, what is a possible factor?	Since the 56 is even, what is a possible factor?	Since the digits add up to a multiple of 3, what is a possible factor?
%(-5091951687139455837)%	Use your previous entry to figure out what this factor will be.						Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.			Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.
%(-4630894098436059092)%	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.
%(7376638312065734454)%	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.		Please enter '3' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.
%(3358107287083252305)%												
%(-7108511028899129805)%	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.
%(3349242659419110637)%	What is the second largest common factor?	What is the second largest common factor?	What is the second largest common factor?	What is the second largest common factor?	What is the second largest common factor?	What is the second largest common factor?	What is the second largest common factor?	What is the second largest common factor?	What is the second largest common factor?	What is the second largest common factor?	What is the second largest common factor?	What is the second largest common factor?
%(-7537962487683806208)%	Enter a factor of 24. Start with the smallest one.	Enter a factor of 28. Start with the smallest one.	Enter a factor of 44. Start with the smallest one.	Enter a factor of 21. Start with the smallest one.	Enter a factor of 26. Start with the smallest one.	Enter a factor of 45. Start with the smallest one.	Enter a factor of 24. Start with the smallest one.	Enter a factor of 30. Start with the smallest one.	Enter a factor of 75. Start with the smallest one.	Enter a factor of 45. Start with the smallest one.	Enter a factor of 56. Start with the smallest one.	Enter a factor of 39. Start with the smallest one.
%(-4868202884787373789)%												
%(-1958609125973082375)%												
%(5804110087503602308)%											Please enter '5' in the highlighted field.	Please enter '4' in the highlighted field.
%(7287509800339955155)%	Yes, this is a common factor but is it the greatest common factor?	Yes, this is a common factor but is it the greatest common factor?	Yes, this is a common factor but is it the greatest common factor?	Yes, this is a common factor but is it the greatest common factor?	Yes, this is a common factor but is it the greatest common factor?	Yes, this is a common factor but is it the greatest common factor?	Yes, this is a common factor but is it the greatest common factor?	Yes, this is a common factor but is it the greatest common factor?	Yes, this is a common factor but is it the greatest common factor?	Yes, this is a common factor but is it the greatest common factor?	Yes, this is a common factor but is it the greatest common factor?	Yes, this is a common factor but is it the greatest common factor?
%(254301365392049566)%											Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.
%(-8857199270322685297)%												Please enter '6' in the highlighted field.
%(-5166532556208710060)%	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.
%(7376637312057734457)%												
%(-7538229578606087202)%	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.
%(-5091949687143455931)%												
%(-9095745892578352942)%	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	Since you already decided that this number is even, divide the number by 2, then divide that result by 2.  Did you get a whole number?  Then this number is divisible by 4.	Since you already decided that this number is even, divide the number by 2, then divide that result by 2.  Did you get a whole number?  Then this number is divisible by 4.			If a number ends in 5, it is divisible by 5. Does 45 end in 5?	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	If a number ends in 5, it is divisible by 5. Does 75 end in 5?	If a number ends in 5, it is divisible by 5. Does 45 end in 5?	Since you already decided that this number is even, divide the number by 2, then divide that result by 2.  Did you get a whole number?  Then this number is divisible by 4.	
%(-9095743892566352860)%												
%(3448326454585640764)%	Seems like you are done!	Seems like you are done!	Seems like you are done!	Seems like you are done!	Seems like you are done!	Seems like you are done!	Seems like you are done!	Seems like you are done!	Seems like you are done!	Seems like you are done!	Seems like you are done!	Seems like you are done!
%(-1958611125969082425)%	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.
%(4258064570566946156)%								Since 30 ends in 0, what is a possible factor?			Does 56 appear in the 7 times table?	
%(-7537963487675806109)%	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?
%(254304365392049589)%											What number multiplied by 5 gives you 30?	What number multiplied by 4 gives you 36?
%(6847577044345073627)%	Yes this is a factor but it is out of order. Start with the smallest factors first and work your way up in ascending order. Try asking for a hint.	Yes this is a factor but it is out of order. Start with the smallest factors first and work your way up in ascending order. Try asking for a hint.	Yes this is a factor but it is out of order. Start with the smallest factors first and work your way up in ascending order. Try asking for a hint.	Yes this is a factor but it is out of order. Start with the smallest factors first and work your way up in ascending order. Try asking for a hint.	Yes this is a factor but it is out of order. Start with the smallest factors first and work your way up in ascending order. Try asking for a hint.	Yes this is a factor but it is out of order. Start with the smallest factors first and work your way up in ascending order. Try asking for a hint.	Yes this is a factor but it is out of order. Start with the smallest factors first and work your way up in ascending order. Try asking for a hint.	Yes this is a factor but it is out of order. Start with the smallest factors first and work your way up in ascending order. Try asking for a hint.	Yes this is a factor but it is out of order. Start with the smallest factors first and work your way up in ascending order. Try asking for a hint.	Yes this is a factor but it is out of order. Start with the smallest factors first and work your way up in ascending order. Try asking for a hint.	Yes this is a factor but it is out of order. Start with the smallest factors first and work your way up in ascending order. Try asking for a hint.	Yes this is a factor but it is out of order. Start with the smallest factors first and work your way up in ascending order. Try asking for a hint.
%(-7108510028895129802)%	What is the smallest common factor?	What is the smallest common factor?	What is the smallest common factor?	What is the smallest common factor?	What is the smallest common factor?	What is the smallest common factor?	What is the smallest common factor?	What is the smallest common factor?	What is the smallest common factor?	What is the smallest common factor?	What is the smallest common factor?	What is the smallest common factor?
%(3358104286987252058)%	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.
%(-3307387548175132476)%												Please enter '6' in the highlighted field.
%(-5977142151043564774)%	Enter a factor of 16. Start with the smallest one.	Enter a factor of 6. Start with the smallest one.	Enter a factor of 8. Start with the smallest one.	Enter a factor of 9. Start with the smallest one.	Enter a factor of 13. Start with the smallest one.	Enter a factor of 15. Start with the smallest one.	Enter a factor of 18. Start with the smallest one.	Enter a factor of 20. Start with the smallest one.	Enter a factor of 25. Start with the smallest one.	Enter a factor of 27. Start with the smallest one.	Enter a factor of 30. Start with the smallest one.	Enter a factor of 36. Start with the smallest one.
%(5804112087499602342)%											Since 30 ends in 5, what is a possible factor?	
%(1812052770030595884)%	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.		Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.
%(-8673085570866268162)%	List the common factors in order from smallest to largest.					List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.				
%(-5360709932947166162)%	Yes this is a factor but it is out of order. Try asking for a hint.	Yes this is a factor but it is out of order. Try asking for a hint.	Yes this is a factor but it is out of order. Try asking for a hint.	Yes this is a factor but it is out of order. Try asking for a hint.	Yes this is a factor but it is out of order. Try asking for a hint.	Yes this is a factor but it is out of order. Try asking for a hint.	Yes this is a factor but it is out of order. Try asking for a hint.	Yes this is a factor but it is out of order. Try asking for a hint.	Yes this is a factor but it is out of order. Try asking for a hint.	Yes this is a factor but it is out of order. Try asking for a hint.	Yes this is a factor but it is out of order. Try asking for a hint.	Yes this is a factor but it is out of order. Try asking for a hint.
%(-4630889098344058939)%	Is the 24 an even number?	Is the 28 an even number?	Is the 44 an even number?	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	Is the 26 an even number?	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	Is the 24 an even number?	Is the 30 an even number?	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	Is the 56 an even number?	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.
%(-3531133350527214469)%	What number multiplied by 3 gives you 24?	What number multiplied by 4 gives you 28?	What number multiplied by 4 gives you 44?			What number multiplied by 5 gives you 45?	What number multiplied by 3 gives you 24?	What number multiplied by 3 gives you 30?	What number multiplied by 5 gives you 75?	What number multiplied by 5 gives you 45?	What number multiplied by 4 gives you 56?	
%(-8857196270286685218)%												Since this number is divisible by 2 and 3, then what could be another possible factor?
