Problem Name	Favorite1	Favorite2	Find1	Find2	Find3	Find4	Fishing	Track	Cookout	Pizza	Money	Fade1	Fade2	Fade3
%(5190565645675013149)%	Please enter '12' in the highlighted field.	Please enter '48' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '24' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '36' in the highlighted field.	Please enter '60' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '32' in the highlighted field.	Please enter '24' in the highlighted field.	Please enter '100' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '16' in the highlighted field.	Please enter '32' in the highlighted field.
%(-5567114210255305546)%	What is the first positive multiple of 6?	What is the first positive multiple of 15?	What is the first positive multiple of 5?	What is the first positive multiple of 12?	What is the first positive multiple of 7?	What is the first positive multiple of 12?	What is the first positive multiple of 6?	What is the first positive multiple of 4?	What is the first positive multiple of 10?	What is the first positive multiple of 8?	What is the first positive multiple of 10?	What is the first positive multiple of 3?	What is the first positive multiple of 5?	What is the first positive multiple of 14?
%(-6046860127580923437)%	What is the eighth positive multiple of 6?	What is the eighth positive multiple of 15?	What is the eighth positive multiple of 5?	What is the eighth positive multiple of 12?	What is the eighth positive multiple of 7?	What is the eighth positive multiple of 12?	What is the eighth positive multiple of 6?	What is the eighth positive multiple of 4?	What is the eighth positive multiple of 10?	What is the eighth positive multiple of 8?	What is the eighth positive multiple of 10?	What is the eighth positive multiple of 3?	What is the eighth positive multiple of 5?	What is the eighth positive multiple of 14?
%(3633718030597862636)%	Please enter '21' in the highlighted field.	Please enter '84' in the highlighted field.	Please enter '14' in the highlighted field.	Please enter '42' in the highlighted field.	Please enter '14' in the highlighted field.	Please enter '63' in the highlighted field.	Please enter '105' in the highlighted field.	Please enter '21' in the highlighted field.	Please enter '56' in the highlighted field.	Please enter '42' in the highlighted field.	Please enter '175' in the highlighted field.	Please enter '14' in the highlighted field.	Please enter '28' in the highlighted field.	Please enter '56' in the highlighted field.
%(2643667926179071799)%	6 X 7 = 42	15 X 7 = 105	5 X 7 = 35	12 X 7 = 84	7 X 7 = 49	12 X 7 = 84	6 X 7 = 42	4 X 7 = 28	10 X 7 = 70	8 X 7 = 56	10 X 7 = 70	3 X 7 = 21	5 X 7 = 35	14 X 7 = 98
%(2497401288456619635)%	3 X 10 = 30	12 X 10 = 120	2 X 10 = 20	6 X 10 = 60	2 X 10 = 20	9 X 10 = 90	15 X 10 = 150	3 X 10 = 30	8 X 10 = 80	6 X 10 = 60	25 X 10 = 250	2 X 10 = 20	4 X 10 = 40	8 X 10 = 80
%(-2925222454108439996)%	6 X 4 = 24	15 X 4 = 60	5 X 4 = 20	12 X 4 = 48	7 X 4 = 28	12 X 4 = 48	6 X 4 = 24	4 X 4 = 16	10 X 4 = 40	8 X 4 = 32	10 X 4 = 40	3 X 4 = 12	5 X 4 = 20	14 X 4 = 56
%(-8688786883855789110)%	What is the fifth positive multiple of 6?	What is the fifth positive multiple of 15?	What is the fifth positive multiple of 5?	What is the fifth positive multiple of 12?	What is the fifth positive multiple of 7?	What is the fifth positive multiple of 12?	What is the fifth positive multiple of 6?	What is the fifth positive multiple of 4?	What is the fifth positive multiple of 10?	What is the fifth positive multiple of 8?	What is the fifth positive multiple of 10?	What is the fifth positive multiple of 3?	What is the fifth positive multiple of 5?	What is the fifth positive multiple of 14?
%(-5404636729289892855)%	What is the ninth positive multiple of 3?	What is the ninth positive multiple of 12?	What is the ninth positive multiple of 2?	What is the ninth positive multiple of 6?	What is the ninth positive multiple of 2?	What is the ninth positive multiple of 9?	What is the ninth positive multiple of 15?	What is the ninth positive multiple of 3?	What is the ninth positive multiple of 8?	What is the ninth positive multiple of 6?	What is the ninth positive multiple of 25?	What is the ninth positive multiple of 2?	What is the ninth positive multiple of 4?	What is the ninth positive multiple of 8?
%(6574599616447333272)%	Please enter '24' in the highlighted field.	Please enter '60' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '48' in the highlighted field.	Please enter '28' in the highlighted field.	Please enter '48' in the highlighted field.	Please enter '24' in the highlighted field.	Please enter '16' in the highlighted field.	Please enter '40' in the highlighted field.	Please enter '32' in the highlighted field.	Please enter '40' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '56' in the highlighted field.
%(7748615247777142065)%	Looking at the multiples you've entered, find one that is the same in both columns. This number, divisible by both numbers, is a common multiple. Click the checkbox to the right of that multiple in both columns.	Looking at the multiples you've entered, find one that is the same in both columns. This number, divisible by both numbers, is a common multiple. Click the checkbox to the right of that multiple in both columns.	Looking at the multiples you've entered, find one that is the same in both columns. This number, divisible by both numbers, is a common multiple. Click the checkbox to the right of that multiple in both columns.	Looking at the multiples you've entered, find one that is the same in both columns. This number, divisible by both numbers, is a common multiple. Click the checkbox to the right of that multiple in both columns.	Looking at the multiples you've entered, find one that is the same in both columns. This number, divisible by both numbers, is a common multiple. Click the checkbox to the right of that multiple in both columns.	Looking at the multiples you've entered, find one that is the same in both columns. This number, divisible by both numbers, is a common multiple. Click the checkbox to the right of that multiple in both columns.	Looking at the multiples you've entered, find one that is the same in both columns. This number, divisible by both numbers, is a common multiple. Click the checkbox to the right of that multiple in both columns.	Looking at the multiples you've entered, find one that is the same in both columns. This number, divisible by both numbers, is a common multiple. Click the checkbox to the right of that multiple in both columns.	Looking at the multiples you've entered, find one that is the same in both columns. This number, divisible by both numbers, is a common multiple. Click the checkbox to the right of that multiple in both columns.	Looking at the multiples you've entered, find one that is the same in both columns. This number, divisible by both numbers, is a common multiple. Click the checkbox to the right of that multiple in both columns.	Looking at the multiples you've entered, find one that is the same in both columns. This number, divisible by both numbers, is a common multiple. Click the checkbox to the right of that multiple in both columns.	Looking at the multiples you've entered, find one that is the same in both columns. This number, divisible by both numbers, is a common multiple. Click the checkbox to the right of that multiple in both columns.	Looking at the multiples you've entered, find one that is the same in both columns. This number, divisible by both numbers, is a common multiple. Click the checkbox to the right of that multiple in both columns.	Looking at the multiples you've entered, find one that is the same in both columns. This number, divisible by both numbers, is a common multiple. Click the checkbox to the right of that multiple in both columns.
%(-6595567400128970648)%	The least common multiple is 6.	The least common multiple is 60.	The least common multiple is 10.	The least common multiple is 12.	The least common multiple is 14.	The least common multiple is 36.	The least common multiple is 30.	The least common multiple is 12.	The least common multiple is 40.	The least common multiple is 24.	The least common multiple is 50.	The least common multiple is 6.	The least common multiple is 20.	The least common multiple is 56.
%(-8608854479146580976)%	Please enter '9' in the highlighted field.	Please enter '36' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '18' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '27' in the highlighted field.	Please enter '45' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '24' in the highlighted field.	Please enter '18' in the highlighted field.	Please enter '75' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '24' in the highlighted field.
%(872201453592453496)%	What is the third positive multiple of 6?	What is the third positive multiple of 15?	What is the third positive multiple of 5?	What is the third positive multiple of 12?	What is the third positive multiple of 7?	What is the third positive multiple of 12?	What is the third positive multiple of 6?	What is the third positive multiple of 4?	What is the third positive multiple of 10?	What is the third positive multiple of 8?	What is the third positive multiple of 10?	What is the third positive multiple of 3?	What is the third positive multiple of 5?	What is the third positive multiple of 14?
%(-2253425416234238658)%	3 X 5 = 15	12 X 5 = 60	2 X 5 = 10	6 X 5 = 30	2 X 5 = 10	9 X 5 = 45	15 X 5 = 75	3 X 5 = 15	8 X 5 = 40	6 X 5 = 30	25 X 5 = 125	2 X 5 = 10	4 X 5 = 20	8 X 5 = 40
%(-7822407797093751357)%	3 X 4 = 12	12 X 4 = 48	2 X 4 = 8	6 X 4 = 24	2 X 4 = 8	9 X 4 = 36	15 X 4 = 60	3 X 4 = 12	8 X 4 = 32	6 X 4 = 24	25 X 4 = 100	2 X 4 = 8	4 X 4 = 16	8 X 4 = 32
%(-1507575047217537189)%	Please enter '30' in the highlighted field.	Please enter '120' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '60' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '90' in the highlighted field.	Please enter '150' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '80' in the highlighted field.	Please enter '60' in the highlighted field.	Please enter '250' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '40' in the highlighted field.	Please enter '80' in the highlighted field.
%(4185017612640040934)%	What is the sixth positive multiple of 3?	What is the sixth positive multiple of 12?	What is the sixth positive multiple of 2?	What is the sixth positive multiple of 6?	What is the sixth positive multiple of 2?	What is the sixth positive multiple of 9?	What is the sixth positive multiple of 15?	What is the sixth positive multiple of 3?	What is the sixth positive multiple of 8?	What is the sixth positive multiple of 6?	What is the sixth positive multiple of 25?	What is the sixth positive multiple of 2?	What is the sixth positive multiple of 4?	What is the sixth positive multiple of 8?
%(2643664926211071932)%	What is the seventh positive multiple of 6?	What is the seventh positive multiple of 15?	What is the seventh positive multiple of 5?	What is the seventh positive multiple of 12?	What is the seventh positive multiple of 7?	What is the seventh positive multiple of 12?	What is the seventh positive multiple of 6?	What is the seventh positive multiple of 4?	What is the seventh positive multiple of 10?	What is the seventh positive multiple of 8?	What is the seventh positive multiple of 10?	What is the seventh positive multiple of 3?	What is the seventh positive multiple of 5?	What is the seventh positive multiple of 14?
%(6040549806284765911)%	Please enter '6' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '7' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '14' in the highlighted field.
%(-8721540085359690156)%	What is the eighth positive multiple of 3?	What is the eighth positive multiple of 12?	What is the eighth positive multiple of 2?	What is the eighth positive multiple of 6?	What is the eighth positive multiple of 2?	What is the eighth positive multiple of 9?	What is the eighth positive multiple of 15?	What is the eighth positive multiple of 3?	What is the eighth positive multiple of 8?	What is the eighth positive multiple of 6?	What is the eighth positive multiple of 25?	What is the eighth positive multiple of 2?	What is the eighth positive multiple of 4?	What is the eighth positive multiple of 8?
%(-2253426416258238723)%	What is the fifth positive multiple of 3?	What is the fifth positive multiple of 12?	What is the fifth positive multiple of 2?	What is the fifth positive multiple of 6?	What is the fifth positive multiple of 2?	What is the fifth positive multiple of 9?	What is the fifth positive multiple of 15?	What is the fifth positive multiple of 3?	What is the fifth positive multiple of 8?	What is the fifth positive multiple of 6?	What is the fifth positive multiple of 25?	What is the fifth positive multiple of 2?	What is the fifth positive multiple of 4?	What is the fifth positive multiple of 8?
%(-2925219454108439937)%	What is the fourth positive multiple of 6?	What is the fourth positive multiple of 15?	What is the fourth positive multiple of 5?	What is the fourth positive multiple of 12?	What is the fourth positive multiple of 7?	What is the fourth positive multiple of 12?	What is the fourth positive multiple of 6?	What is the fourth positive multiple of 4?	What is the fourth positive multiple of 10?	What is the fourth positive multiple of 8?	What is the fourth positive multiple of 10?	What is the fourth positive multiple of 3?	What is the fourth positive multiple of 5?	What is the fourth positive multiple of 14?
%(-3430455634644512321)%	Please enter '54' in the highlighted field.	Please enter '135' in the highlighted field.	Please enter '45' in the highlighted field.	Please enter '108' in the highlighted field.	Please enter '63' in the highlighted field.	Please enter '108' in the highlighted field.	Please enter '54' in the highlighted field.	Please enter '36' in the highlighted field.	Please enter '90' in the highlighted field.	Please enter '72' in the highlighted field.	Please enter '90' in the highlighted field.	Please enter '27' in the highlighted field.	Please enter '45' in the highlighted field.	Please enter '126' in the highlighted field.
%(2419312089131767505)%	This is not a common multiple.	This is not a common multiple.	This is not a common multiple.	This is not a common multiple.	This is not a common multiple.	This is not a common multiple.	This is not a common multiple.	This is not a common multiple.	This is not a common multiple.	This is not a common multiple.	This is not a common multiple.	This is not a common multiple.	This is not a common multiple.	This is not a common multiple.
%(2497400288448619616)%	What is the tenth positive multiple of 3?	What is the tenth positive multiple of 12?	What is the tenth positive multiple of 2?	What is the tenth positive multiple of 6?	What is the tenth positive multiple of 2?	What is the tenth positive multiple of 9?	What is the tenth positive multiple of 15?	What is the tenth positive multiple of 3?	What is the tenth positive multiple of 8?	What is the tenth positive multiple of 6?	What is the tenth positive multiple of 25?	What is the tenth positive multiple of 2?	What is the tenth positive multiple of 4?	What is the tenth positive multiple of 8?
%(-8692745080105997824)%	3 X 7 = 21	12 X 7 = 84	2 X 7 = 14	6 X 7 = 42	2 X 7 = 14	9 X 7 = 63	15 X 7 = 105	3 X 7 = 21	8 X 7 = 56	6 X 7 = 42	25 X 7 = 175	2 X 7 = 14	4 X 7 = 28	8 X 7 = 56
%(-5166532556208710060)%	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.
%(1063472939807558586)%	What is the second positive multiple of 3?	What is the second positive multiple of 12?	What is the second positive multiple of 2?	What is the second positive multiple of 6?	What is the second positive multiple of 2?	What is the second positive multiple of 9?	What is the second positive multiple of 15?	What is the second positive multiple of 3?	What is the second positive multiple of 8?	What is the second positive multiple of 6?	What is the second positive multiple of 25?	What is the second positive multiple of 2?	What is the second positive multiple of 4?	What is the second positive multiple of 8?
%(4189072809534250637)%	What is the second positive multiple of 6?	What is the second positive multiple of 15?	What is the second positive multiple of 5?	What is the second positive multiple of 12?	What is the second positive multiple of 7?	What is the second positive multiple of 12?	What is the second positive multiple of 6?	What is the second positive multiple of 4?	What is the second positive multiple of 10?	What is the second positive multiple of 8?	What is the second positive multiple of 10?	What is the second positive multiple of 3?	What is the second positive multiple of 5?	What is the second positive multiple of 14?
%(-2764434429304168465)%	Please enter '18' in the highlighted field.	Please enter '72' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '36' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '54' in the highlighted field.	Please enter '90' in the highlighted field.	Please enter '18' in the highlighted field.	Please enter '48' in the highlighted field.	Please enter '36' in the highlighted field.	Please enter '150' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '24' in the highlighted field.	Please enter '48' in the highlighted field.
%(-481833942831619118)%	3 X 1 = 3	12 X 1 = 12	2 X 1 = 2	6 X 1 = 6	2 X 1 = 2	9 X 1 = 9	15 X 1 = 15	3 X 1 = 3	8 X 1 = 8	6 X 1 = 6	25 X 1 = 25	2 X 1 = 2	4 X 1 = 4	8 X 1 = 8
%(-6369792832942002860)%	<%=input%> is a correct multiple. However, you should fill in multiples in order, starting with the smallest positive multiple.	<%=input%> is a correct multiple. However, you should fill in multiples in order, starting with the smallest positive multiple.	<%=input%> is a correct multiple. However, you should fill in multiples in order, starting with the smallest positive multiple.	<%=input%> is a correct multiple. However, you should fill in multiples in order, starting with the smallest positive multiple.	<%=input%> is a correct multiple. However, you should fill in multiples in order, starting with the smallest positive multiple.	<%=input%> is a correct multiple. However, you should fill in multiples in order, starting with the smallest positive multiple.	<%=input%> is a correct multiple. However, you should fill in multiples in order, starting with the smallest positive multiple.	<%=input%> is a correct multiple. However, you should fill in multiples in order, starting with the smallest positive multiple.	<%=input%> is a correct multiple. However, you should fill in multiples in order, starting with the smallest positive multiple.	<%=input%> is a correct multiple. However, you should fill in multiples in order, starting with the smallest positive multiple.	<%=input%> is a correct multiple. However, you should fill in multiples in order, starting with the smallest positive multiple.	<%=input%> is a correct multiple. However, you should fill in multiples in order, starting with the smallest positive multiple.	<%=input%> is a correct multiple. However, you should fill in multiples in order, starting with the smallest positive multiple.	<%=input%> is a correct multiple. However, you should fill in multiples in order, starting with the smallest positive multiple.
%(5960536282120868945)%	What is the sixth positive multiple of 6?	What is the sixth positive multiple of 15?	What is the sixth positive multiple of 5?	What is the sixth positive multiple of 12?	What is the sixth positive multiple of 7?	What is the sixth positive multiple of 12?	What is the sixth positive multiple of 6?	What is the sixth positive multiple of 4?	What is the sixth positive multiple of 10?	What is the sixth positive multiple of 8?	What is the sixth positive multiple of 10?	What is the sixth positive multiple of 3?	What is the sixth positive multiple of 5?	What is the sixth positive multiple of 14?
%(4189073809494250510)%	6 X 2 = 12	15 X 2 = 30	5 X 2 = 10	12 X 2 = 24	7 X 2 = 14	12 X 2 = 24	6 X 2 = 12	4 X 2 = 8	10 X 2 = 20	8 X 2 = 16	10 X 2 = 20	3 X 2 = 6	5 X 2 = 10	14 X 2 = 28
%(6486415649370846821)%	Please enter '18' in the highlighted field.	Please enter '45' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '36' in the highlighted field.	Please enter '21' in the highlighted field.	Please enter '36' in the highlighted field.	Please enter '18' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '24' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '42' in the highlighted field.
%(-8357763188845826770)%	Please enter '3' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '25' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '8' in the highlighted field.
%(-8692742080073997733)%	What is the seventh positive multiple of 3?	What is the seventh positive multiple of 12?	What is the seventh positive multiple of 2?	What is the seventh positive multiple of 6?	What is the seventh positive multiple of 2?	What is the seventh positive multiple of 9?	What is the seventh positive multiple of 15?	What is the seventh positive multiple of 3?	What is the seventh positive multiple of 8?	What is the seventh positive multiple of 6?	What is the seventh positive multiple of 25?	What is the seventh positive multiple of 2?	What is the seventh positive multiple of 4?	What is the seventh positive multiple of 8?
%(-3961424242376247973)%	Please enter '30' in the highlighted field.	Please enter '75' in the highlighted field.	Please enter '25' in the highlighted field.	Please enter '60' in the highlighted field.	Please enter '35' in the highlighted field.	Please enter '60' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '50' in the highlighted field.	Please enter '40' in the highlighted field.	Please enter '50' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '25' in the highlighted field.	Please enter '70' in the highlighted field.
%(-6886918287740366974)%	6 X 10 = 60	15 X 10 = 150	5 X 10 = 50	12 X 10 = 120	7 X 10 = 70	12 X 10 = 120	6 X 10 = 60	4 X 10 = 40	10 X 10 = 100	8 X 10 = 80	10 X 10 = 100	3 X 10 = 30	5 X 10 = 50	14 X 10 = 140
%(9079025393808622255)%	What is the third positive multiple of 3?	What is the third positive multiple of 12?	What is the third positive multiple of 2?	What is the third positive multiple of 6?	What is the third positive multiple of 2?	What is the third positive multiple of 9?	What is the third positive multiple of 15?	What is the third positive multiple of 3?	What is the third positive multiple of 8?	What is the third positive multiple of 6?	What is the third positive multiple of 25?	What is the third positive multiple of 2?	What is the third positive multiple of 4?	What is the third positive multiple of 8?
%(-1045020863142855341)%	Please enter '6' in the highlighted field.	Please enter '24' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '18' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '16' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '50' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '16' in the highlighted field.
%(-7822410797093751256)%	What is the fourth positive multiple of 3?	What is the fourth positive multiple of 12?	What is the fourth positive multiple of 2?	What is the fourth positive multiple of 6?	What is the fourth positive multiple of 2?	What is the fourth positive multiple of 9?	What is the fourth positive multiple of 15?	What is the fourth positive multiple of 3?	What is the fourth positive multiple of 8?	What is the fourth positive multiple of 6?	What is the fourth positive multiple of 25?	What is the fourth positive multiple of 2?	What is the fourth positive multiple of 4?	What is the fourth positive multiple of 8?
%(-6875270572415528778)%	Please enter '36' in the highlighted field.	Please enter '90' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '72' in the highlighted field.	Please enter '42' in the highlighted field.	Please enter '72' in the highlighted field.	Please enter '36' in the highlighted field.	Please enter '24' in the highlighted field.	Please enter '60' in the highlighted field.	Please enter '48' in the highlighted field.	Please enter '60' in the highlighted field.	Please enter '18' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '84' in the highlighted field.
%(-5567115210247305579)%	6 X 1 = 6	15 X 1 = 15	5 X 1 = 5	12 X 1 = 12	7 X 1 = 7	12 X 1 = 12	6 X 1 = 6	4 X 1 = 4	10 X 1 = 10	8 X 1 = 8	10 X 1 = 10	3 X 1 = 3	5 X 1 = 5	14 X 1 = 14
%(9079022393808622260)%	3 X 3 = 9	12 X 3 = 36	2 X 3 = 6	6 X 3 = 18	2 X 3 = 6	9 X 3 = 27	15 X 3 = 45	3 X 3 = 9	8 X 3 = 24	6 X 3 = 18	25 X 3 = 75	2 X 3 = 6	4 X 3 = 12	8 X 3 = 24
%(-6046863127580923336)%	6 X 8 = 48	15 X 8 = 120	5 X 8 = 40	12 X 8 = 96	7 X 8 = 56	12 X 8 = 96	6 X 8 = 48	4 X 8 = 32	10 X 8 = 80	8 X 8 = 64	10 X 8 = 80	3 X 8 = 24	5 X 8 = 40	14 X 8 = 112
%(-481834942839619135)%	What is the first positive multiple of 3?	What is the first positive multiple of 12?	What is the first positive multiple of 2?	What is the first positive multiple of 6?	What is the first positive multiple of 2?	What is the first positive multiple of 9?	What is the first positive multiple of 15?	What is the first positive multiple of 3?	What is the first positive multiple of 8?	What is the first positive multiple of 6?	What is the first positive multiple of 25?	What is the first positive multiple of 2?	What is the first positive multiple of 4?	What is the first positive multiple of 8?
%(-6595570400224970989)%	Look at the common multiples you've identified above. Which is the least (lowest)?	Look at the common multiples you've identified above. Which is the least (lowest)?	Look at the common multiples you've identified above. Which is the least (lowest)?	Look at the common multiples you've identified above. Which is the least (lowest)?	Look at the common multiples you've identified above. Which is the least (lowest)?	Look at the common multiples you've identified above. Which is the least (lowest)?	Look at the common multiples you've identified above. Which is the least (lowest)?	Look at the common multiples you've identified above. Which is the least (lowest)?	Look at the common multiples you've identified above. Which is the least (lowest)?	Look at the common multiples you've identified above. Which is the least (lowest)?	Look at the common multiples you've identified above. Which is the least (lowest)?	Look at the common multiples you've identified above. Which is the least (lowest)?	Look at the common multiples you've identified above. Which is the least (lowest)?	Look at the common multiples you've identified above. Which is the least (lowest)?
%(-7538229578606087202)%	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.
%(7238185704494950204)%	Please enter '48' in the highlighted field.	Please enter '120' in the highlighted field.	Please enter '40' in the highlighted field.	Please enter '96' in the highlighted field.	Please enter '56' in the highlighted field.	Please enter '96' in the highlighted field.	Please enter '48' in the highlighted field.	Please enter '32' in the highlighted field.	Please enter '80' in the highlighted field.	Please enter '64' in the highlighted field.	Please enter '80' in the highlighted field.	Please enter '24' in the highlighted field.	Please enter '40' in the highlighted field.	Please enter '112' in the highlighted field.
%(4185016612648040901)%	3 X 6 = 18	12 X 6 = 72	2 X 6 = 12	6 X 6 = 36	2 X 6 = 12	9 X 6 = 54	15 X 6 = 90	3 X 6 = 18	8 X 6 = 48	6 X 6 = 36	25 X 6 = 150	2 X 6 = 12	4 X 6 = 24	8 X 6 = 48
%(-3618507124265449726)%	Please enter '12' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '24' in the highlighted field.	Please enter '14' in the highlighted field.	Please enter '24' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '16' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '28' in the highlighted field.
%(1063471939799558569)%	3 X 2 = 6	12 X 2 = 24	2 X 2 = 4	6 X 2 = 12	2 X 2 = 4	9 X 2 = 18	15 X 2 = 30	3 X 2 = 6	8 X 2 = 16	6 X 2 = 12	25 X 2 = 50	2 X 2 = 4	4 X 2 = 8	8 X 2 = 16
%(9082980590058830974)%	What is the ninth positive multiple of 6?	What is the ninth positive multiple of 15?	What is the ninth positive multiple of 5?	What is the ninth positive multiple of 12?	What is the ninth positive multiple of 7?	What is the ninth positive multiple of 12?	What is the ninth positive multiple of 6?	What is the ninth positive multiple of 4?	What is the ninth positive multiple of 10?	What is the ninth positive multiple of 8?	What is the ninth positive multiple of 10?	What is the ninth positive multiple of 3?	What is the ninth positive multiple of 5?	What is the ninth positive multiple of 14?
%(-6162132101019789914)%	Please enter '27' in the highlighted field.	Please enter '108' in the highlighted field.	Please enter '18' in the highlighted field.	Please enter '54' in the highlighted field.	Please enter '18' in the highlighted field.	Please enter '81' in the highlighted field.	Please enter '135' in the highlighted field.	Please enter '27' in the highlighted field.	Please enter '72' in the highlighted field.	Please enter '54' in the highlighted field.	Please enter '225' in the highlighted field.	Please enter '18' in the highlighted field.	Please enter '36' in the highlighted field.	Please enter '72' in the highlighted field.
%(-5404635729281892838)%	3 X 9 = 27	12 X 9 = 108	2 X 9 = 18	6 X 9 = 54	2 X 9 = 18	9 X 9 = 81	15 X 9 = 135	3 X 9 = 27	8 X 9 = 72	6 X 9 = 54	25 X 9 = 225	2 X 9 = 18	4 X 9 = 36	8 X 9 = 72
%(-6886921287740366871)%	What is the tenth positive multiple of 6?	What is the tenth positive multiple of 15?	What is the tenth positive multiple of 5?	What is the tenth positive multiple of 12?	What is the tenth positive multiple of 7?	What is the tenth positive multiple of 12?	What is the tenth positive multiple of 6?	What is the tenth positive multiple of 4?	What is the tenth positive multiple of 10?	What is the tenth positive multiple of 8?	What is the tenth positive multiple of 10?	What is the tenth positive multiple of 3?	What is the tenth positive multiple of 5?	What is the tenth positive multiple of 14?
%(-2279164764110960148)%	Please enter '60' in the highlighted field.	Please enter '150' in the highlighted field.	Please enter '50' in the highlighted field.	Please enter '120' in the highlighted field.	Please enter '70' in the highlighted field.	Please enter '120' in the highlighted field.	Please enter '60' in the highlighted field.	Please enter '40' in the highlighted field.	Please enter '100' in the highlighted field.	Please enter '80' in the highlighted field.	Please enter '100' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '50' in the highlighted field.	Please enter '140' in the highlighted field.
%(-8721537085359690161)%	3 X 8 = 24	12 X 8 = 96	2 X 8 = 16	6 X 8 = 48	2 X 8 = 16	9 X 8 = 72	15 X 8 = 120	3 X 8 = 24	8 X 8 = 64	6 X 8 = 48	25 X 8 = 200	2 X 8 = 16	4 X 8 = 32	8 X 8 = 64
%(-8688787883863789063)%	6 X 5 = 30	15 X 5 = 75	5 X 5 = 25	12 X 5 = 60	7 X 5 = 35	12 X 5 = 60	6 X 5 = 30	4 X 5 = 20	10 X 5 =50	8 X 5 = 40	10 X 5 = 50	3 X 5 = 15	5 X 5 = 25	14 X 5 = 70
%(-4070528169021580855)%	Please enter '24' in the highlighted field.	Please enter '96' in the highlighted field.	Please enter '16' in the highlighted field.	Please enter '48' in the highlighted field.	Please enter '16' in the highlighted field.	Please enter '72' in the highlighted field.	Please enter '120' in the highlighted field.	Please enter '24' in the highlighted field.	Please enter '64' in the highlighted field.	Please enter '48' in the highlighted field.	Please enter '200' in the highlighted field.	Please enter '16' in the highlighted field.	Please enter '32' in the highlighted field.	Please enter '64' in the highlighted field.
