Problem Name	introt1	fadedt2	fadedt3	fadedt4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20	t21	t22	t23	t24	t25	t26	t27	t28	t29	t30	t31	t32
%(solveSide2_value_h2)%	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide3)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide3)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide3)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide3)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide3)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide3)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide2)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide3)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT2)%, divide %(largeSide3)% by %(sf)% to solve for the corresponding side in %(labelT1)%."	"Since you are given the measurement of a side of %(labelT2)%, divide %(largeSide3)% by %(sf)% to solve for the corresponding side in %(labelT1)%."	"Since you are given the measurement of a side of %(labelT2)%, divide %(largeSide3)% by %(sf)% to solve for the corresponding side in %(labelT1)%."	"Since you are given the measurement of a side of %(labelT2)%, divide %(largeSide3)% by %(sf)% to solve for the corresponding side in %(labelT1)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide3)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide3)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide3)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide3)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT2)%, divide %(largeSide2)% by %(sf)% to solve for the corresponding side in %(labelT1)%."	"Since you are given the measurement of a side of %(labelT2)%, divide %(largeSide2)% by %(sf)% to solve for the corresponding side in %(labelT1)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide2)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide2)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT2)%, divide %(givenSide3_value)% by %(sf)% to solve for the corresponding side in %(labelT1)%."	"Since you are given the measurement of a side of %(labelT2)%, divide %(largeSide3)% by %(sf)% to solve for the corresponding side in %(labelT1)%."	"Since you are given the measurement of a side of %(labelT2)%, divide %(largeSide3)% by %(sf)% to solve for the corresponding side in %(labelT1)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(givenSide4_value)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide3)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide3)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide3)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide3)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide3)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide3)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide3)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide3)% by %(sf)% to solve for the corresponding side in %(labelT2)%."
%(solveSide2_value_h3)%	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.	Please enter '%(solveSide2_value)%' in the highlighted field.
																																
%(solveSide1_name_h1)%	"What side on %(labelT2)% corresponds to the given side, %(givenSide2_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide2_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide1_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide2_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide2_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide2_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide1_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide2_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide2_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide2_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide2_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide2_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide1_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide1_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide2_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide1_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide1_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide1_name)%, on %(labelT1)%?"	"What side on %(labelT1)% corresponds to the given side, %(givenSide3_name)%, on %(labelT2)%?"	"What side on %(labelT1)% corresponds to the given side, %(givenSide3_name)%, on %(labelT2)%?"	"What side on %(labelT1)% corresponds to the given side, %(givenSide1_name)%, on %(labelT2)%?"	"What side on %(labelT1)% corresponds to the given side, %(givenSide2_name)%, on %(labelT2)%?"	"What side on %(labelT1)% corresponds to the given side, %(givenSide2_name)%, on %(labelT2)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide2_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide1_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide2_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide2_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide2_name)%, on %(labelT1)%?"	"What side on %(labelT1)% corresponds to the given side, %(givenSide3_name)%, on %(labelT2)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide1_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide1_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide1_name)%, on %(labelT1)%?"
%(solveSide1_name_h2)%	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.
%(solveSide1_name_h3)%	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.	Please enter '%(solveSide1_name)%' in the highlighted field.
																																
%(solveSide2_name_h1)%	"What side on %(labelT2)% corresponds to the given side, %(givenSide3_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide3_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide3_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide3_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide3_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide3_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide2_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide3_name)%, on %(labelT1)%?"	"What side on %(labelT1)% corresponds to the given side, %(givenSide4_name)%, on %(labelT2)%?"	"What side on %(labelT1)% corresponds to the given side, %(givenSide4_name)%, on %(labelT2)%?"	"What side on %(labelT1)% corresponds to the given side, %(givenSide4_name)%, on %(labelT2)%?"	"What side on %(labelT1)% corresponds to the given side, %(givenSide4_name)%, on %(labelT2)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide3_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide3_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide3_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide3_name)%, on %(labelT1)%?"	"What side on %(labelT1)% corresponds to the given side, %(givenSide3_name)%, on %(labelT2)%?"	"What side on %(labelT1)% corresponds to the given side, %(givenSide3_name)%, on %(labelT2)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide1_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide1_name)%, on %(labelT1)%?"	"What side on %(labelT1)% corresponds to the given side, %(givenSide3_name)%, on %(labelT2)%?"	"What side on %(labelT1)% corresponds to the given side, %(givenSide4_name)%, on %(labelT2)%?"	"What side on %(labelT1)% corresponds to the given side, %(givenSide4_name)%, on %(labelT2)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide4_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide3_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide3_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide3_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide3_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide2_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide3_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide3_name)%, on %(labelT1)%?"	"What side on %(labelT2)% corresponds to the given side, %(givenSide3_name)%, on %(labelT1)%?"
%(solveSide2_name_h2)%	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.	Order is important. Be sure to enter the points in the same order as its corresponding side.
%(solveSide2_name_h3)%	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.	Please enter '%(solveSide2_name)%' in the highlighted field.
																																
%(sf_skill)%	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor	Identify_scale_factor
%(sf_skill_label)%	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor	Identify Scale Factor
%(solveSide1_value_skill)%	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_div	Apply_scale_factor_div	Apply_scale_factor_mult	Apply_scale_factor_div	Apply_scale_factor_div	Apply_scale_factor_div	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_div	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult
%(solveSide1_value_skill_label)%	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Division	Apply Scale Factor Division	Apply Scale Factor Multiplication	Apply Scale Factor Division	Apply Scale Factor Division	Apply Scale Factor Division	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Division	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication
%(solveSide2_value_skill)%	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_div	Apply_scale_factor_div	Apply_scale_factor_div	Apply_scale_factor_div	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_div	Apply_scale_factor_div	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_div	Apply_scale_factor_div	Apply_scale_factor_div	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult	Apply_scale_factor_mult
%(solveSide2_value_skill_label)%	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Division	Apply Scale Factor Division	Apply Scale Factor Division	Apply Scale Factor Division	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Division	Apply Scale Factor Division	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Division	Apply Scale Factor Division	Apply Scale Factor Division	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication	Apply Scale Factor Multiplication
%(solveSide1_name_skill)%	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side	Identify_similar_side
%(solveSide1_name_skill_label)%	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side	Identify Similar Side
																																
%(lowerCaseBug)%	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."	"You labeled the side with the correct letters and in the correct order, but you need to use capital letters."
