Problem Name	00bubble1	00bubble2	01_1	02_2	03_1	04_2	05_1	06_1	07_2	08_2	09_1	10_2	11_1	12_1	13_2	14_2	15_1	16_1	17_2	18_2	19_1	20_2
%(733549838913112269)%	The fraction is 2 part(s) to the right. That is its numerator. Enter 2 in the highlighted area.	The fraction is 2 part(s) to the right. That is its numerator. Enter 2 in the highlighted area.	The fraction is 2 part(s) to the right. That is its numerator. Enter 2 in the highlighted area.	The fraction is 4 part(s) to the right. That is its numerator. Enter 4 in the highlighted area.	The fraction is 1 part(s) to the right. That is its numerator. Enter 1 in the highlighted area.	The fraction is 3 part(s) to the right. That is its numerator. Enter 3 in the highlighted area.	The fraction is 5 part(s) to the right. That is its numerator. Enter 5 in the highlighted area.	The fraction is 2 part(s) to the right. That is its numerator. Enter 2 in the highlighted area.	The fraction is 4 part(s) to the right. That is its numerator. Enter 4 in the highlighted area.	The fraction is 4 part(s) to the right. That is its numerator. Enter 4 in the highlighted area.	The fraction is 4 part(s) to the right. That is its numerator. Enter 4 in the highlighted area.	The fraction is 2 part(s) to the right. That is its numerator. Enter 2 in the highlighted area.	The fraction is 14 part(s) to the right. That is its numerator. Enter 14 in the highlighted area.	The fraction is 9 part(s) to the right. That is its numerator. Enter 9 in the highlighted area.	The fraction is 12 part(s) to the right. That is its numerator. Enter 12 in the highlighted area.	The fraction is 7 part(s) to the right. That is its numerator. Enter 7 in the highlighted area.	The fraction is 4 part(s) to the right. That is its numerator. Enter 4 in the highlighted area.	The fraction is 12 part(s) to the right. That is its numerator. Enter 12 in the highlighted area.	The fraction is 3 part(s) to the right. That is its numerator. Enter 3 in the highlighted area.	The fraction is 21 part(s) to the right. That is its numerator. Enter 21 in the highlighted area.	The fraction is 6 part(s) to the right. That is its numerator. Enter 6 in the highlighted area.	The fraction is 10 part(s) to the right. That is its numerator. Enter 10 in the highlighted area.
%(3592043350650797284)%	-	-	-	"1/3 and 4/12 do line up on the lines! This means they are equivalent. Choose ""="" from the drop-down menu."	"4/6 and 1/3 do NOT line up on the lines! This means they are NOT equivalent. Choose ""≠"" from the drop-down menu."	-	-	-	"4/12 and 4/9 do NOT line up on the lines! This means they are NOT equivalent. Choose ""≠"" from the drop-down menu."	"6/10 and 4/5 do NOT line up on the lines! This means they are NOT equivalent. Choose ""≠"" from the drop-down menu."	-	"3/9 and 2/6 do line up in the lines! This means they are equivalent. Choose ""="" from the drop-down menu."	-	-	"3/4 and 12/16 do line up on the lines! This means they are equivalent. Choose ""="" from the drop-down menu."	"13/8 and 7/4 do NOT line up on the lines! This means they are NOT equivalent. Choose ""≠"" from the drop-down menu."	-	-	"12/8 and 3/2 do line up on the lines! This means they are equivalent. Choose ""="" from the drop-down menu."	"7/4 and 21/12 do line up on the lines! This means they are equivalent. Choose ""="" from the drop-down menu."	-	"12/9 and 10/6 do NOT line up on the lines! This means they are NOT equivalent. Choose ""≠"" from the drop-down menu."
%(8629631505213963384)%	Are the two fractions equivalent? Choose your answer from the drop-down menu.	Are the two fractions equivalent? Choose your answer from the drop-down menu.	Are the two fractions equivalent? Choose your answer from the drop-down menu.	Are the two fractions equivalent? Choose your answer from the drop-down menu.	Are the two fractions equivalent? Choose your answer from the drop-down menu.	Are the two fractions equivalent? Choose your answer from the drop-down menu.	Are the two fractions equivalent? Choose your answer from the drop-down menu.	Are the two fractions equivalent? Choose your answer from the drop-down menu.	Are the two fractions equivalent? Choose your answer from the drop-down menu.	Are the two fractions equivalent? Choose your answer from the drop-down menu.	Are the two fractions equivalent? Choose your answer from the drop-down menu.	Are the two fractions equivalent? Choose your answer from the drop-down menu.	Are the two fractions equivalent? Choose your answer from the drop-down menu.	Are the two fractions equivalent? Choose your answer from the drop-down menu.	Are the two fractions equivalent? Choose your answer from the drop-down menu.	Are the two fractions equivalent? Choose your answer from the drop-down menu.	Are the two fractions equivalent? Choose your answer from the drop-down menu.	Are the two fractions equivalent? Choose your answer from the drop-down menu.	Are the two fractions equivalent? Choose your answer from the drop-down menu.	Are the two fractions equivalent? Choose your answer from the drop-down menu.	Are the two fractions equivalent? Choose your answer from the drop-down menu.	Are the two fractions equivalent? Choose your answer from the drop-down menu.
%(3188970535566860697)%	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.	Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.
%(2584388777158216830)%	You are done! Please click on the done button.	You are done! Please click on the done button.	You are done! Please click on the done button.	You are done! Please click on the done button.	You are done! Please click on the done button.	You are done! Please click on the done button.	You are done! Please click on the done button.	You are done! Please click on the done button.	You are done! Please click on the done button.	You are done! Please click on the done button.	You are done! Please click on the done button.	You are done! Please click on the done button.	You are done! Please click on the done button.	You are done! Please click on the done button.	You are done! Please click on the done button.	You are done! Please click on the done button.	You are done! Please click on the done button.	You are done! Please click on the done button.	You are done! Please click on the done button.	You are done! Please click on the done button.	You are done! Please click on the done button.	You are done! Please click on the done button.
%(6525678820025757098)%	"Fraction on Line 2 should be in ""-"". That means its denominator would be what number?"	"Fraction on Line 2 should be in ""-"". That means its denominator would be what number?"	"Fraction on Line 2 should be in ""eighths"". That means its denominator would be what number?"	"Fraction on Line 2 should be in ""-"". That means its denominator would be what number?"	"Fraction on Line 2 should be in ""-"". That means its denominator would be what number?"	"Fraction on Line 2 should be in ""sixths"". That means its denominator would be what number?"	"Fraction on Line 2 should be in ""fifths"". That means its denominator would be what number?"	"Fraction on Line 2 should be in ""fourths"". That means its denominator would be what number?"	"Fraction on Line 2 should be in ""-"". That means its denominator would be what number?"	"Fraction on Line 2 should be in ""-"". That means its denominator would be what number?"	"Fraction on Line 2 should be in ""twelfths"". That means its denominator would be what number?"	"Fraction on Line 2 should be in ""-"". That means its denominator would be what number?"	"Fraction on Line 2 should be in ""sevenths"". That means its denominator would be what number?"	"Fraction on Line 2 should be in ""sixths"". That means its denominator would be what number?"	"Fraction on Line 2 should be in ""-"". That means its denominator would be what number?"	"Fraction on Line 2 should be in ""-"". That means its denominator would be what number?"	"Fraction on Line 2 should be in ""thirds"". That means its denominator would be what number?"	"Fraction on Line 2 should be in ""ninths"". That means its denominator would be what number?"	"Fraction on Line 2 should be in ""-"". That means its denominator would be what number?"	"Fraction on Line 2 should be in ""-"". That means its denominator would be what number?"	"Fraction on Line 2 should be in ""fourths"". That means its denominator would be what number?"	"Fraction on Line 2 should be in ""-"". That means its denominator would be what number?"
%(-6686870747356419394)%	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?	Look where the second fraction lines up in Line 2. How many part(s) does the fraction count up to?
%(7274706736137509348)%	"Fractions in ""-"" have denominator of 6. Enter 6 and press OK."	"Fractions in ""-"" have denominator of 6. Enter 6 and press OK."	"Fractions in ""eighths"" have denominator of 8. Enter 8 and press OK."	"Fractions in ""-"" have denominator of 12. Enter 12 and press OK."	"Fractions in ""-"" have denominator of 3. Enter 3 and press OK."	"Fractions in ""sixths"" have denominator of 6. Enter 6 and press OK."	"Fractions in ""fifths"" have denominator of 5. Enter 5 and press OK."	"Fractions in ""fourths"" have denominator of 4. Enter 4 and press OK."	"Fractions in ""-"" have denominator of 9. Enter 9 and press OK."	"Fractions in ""-"" have denominator of 5. Enter 5 and press OK."	"Fractions in ""twelfths"" have denominator of 12. Enter 12 and press OK."	"Fractions in ""-"" have denominator of 6. Enter 6 and press OK."	"Fractions in ""sevenths"" have denominator of 7. Enter 7 and press OK."	"Fractions in ""sixths"" have denominator of 6. Enter 6 and press OK."	"Fractions in ""-"" have denominator of 16. Enter 16 and press OK."	"Fractions in ""-"" have denominator of 4. Enter 4 and press OK."	"Fractions in ""thirds"" have denominator of 3. Enter 3 and press OK."	"Fractions in ""ninths"" have denominator of 9. Enter 9 and press OK."	"Fractions in ""-"" have denominator of 2. Enter 2 and press OK."	"Fractions in ""-"" have denominator of 12. Enter 12 and press OK."	"Fractions in ""fourths"" have denominator of 4. Enter 4 and press OK."	"Fractions in ""-"" have denominator of 6. Enter 6 and press OK."
%(-4311334955040331285)%	Enter 3 and press OK.	Enter 3 and press OK.	Enter 4 and press OK.	Enter 3 and press OK.	Enter 6 and press OK.	Enter 2 and press OK.	Enter 8 and press OK.	Enter 10 and press OK.	Enter 12 and press OK.	Enter 10 and press OK.	Enter 18 and press OK.	Enter 9 and press OK.	Enter 10 and press OK.	Enter 2 and press OK.	Enter 4 and press OK.	Enter 8 and press OK.	Enter 6 and press OK.	Enter 6 and press OK.	Enter 8 and press OK.	Enter 4 and press OK.	Enter 6 and press OK.	Enter 9 and press OK.
%(3191996661540588386)%	Press OK to check to see if you divided your line correctly!	Press OK to check to see if you divided your line correctly!	Press OK to check to see if you divided your line correctly!	Press OK to check to see if you divided your line correctly!	Press OK to check to see if you divided your line correctly!	Press OK to check to see if you divided your line correctly!	Press OK to check to see if you divided your line correctly!	Press OK to check to see if you divided your line correctly!	Press OK to check to see if you divided your line correctly!	Press OK to check to see if you divided your line correctly!	Press OK to check to see if you divided your line correctly!	Press OK to check to see if you divided your line correctly!	Press OK to check to see if you divided your line correctly!	Press OK to check to see if you divided your line correctly!	Press OK to check to see if you divided your line correctly!	Press OK to check to see if you divided your line correctly!	Press OK to check to see if you divided your line correctly!	Press OK to check to see if you divided your line correctly!	Press OK to check to see if you divided your line correctly!	Press OK to check to see if you divided your line correctly!	Press OK to check to see if you divided your line correctly!	Press OK to check to see if you divided your line correctly!
%(-616342407574774483)%	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractons you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"
%(-8778471774394392660)%	Complete the equation by entering second fraction's numerator.	Complete the equation by entering second fraction's numerator.	Complete the equation by entering second fraction's numerator.	Complete the equation by entering second fraction's numerator.	Complete the equation by entering second fraction's numerator.	Complete the equation by entering second fraction's numerator.	Complete the equation by entering second fraction's numerator.	Complete the equation by entering second fraction's numerator.	Complete the equation by entering second fraction's numerator.	Complete the equation by entering second fraction's numerator.	Complete the equation by entering second fraction's numerator.	Complete the equation by entering second fraction's numerator.	Complete the equation by entering second fraction's numerator.	Complete the equation by entering second fraction's numerator.	Complete the equation by entering second fraction's numerator.	Complete the equation by entering second fraction's numerator.	Complete the equation by entering second fraction's numerator.	Complete the equation by entering second fraction's numerator.	Complete the equation by entering second fraction's numerator.	Complete the equation by entering second fraction's numerator.	Complete the equation by entering second fraction's numerator.	Complete the equation by entering second fraction's numerator.
%(2511636986059963144)%	Enter 6 and press OK.	Enter 6 and press OK.	Enter 8 and press OK.	Enter 12 and press OK.	Enter 3 and press OK.	Enter 6 and press OK.	Enter 5 and press OK.	Enter 4 and press OK.	Enter 9 and press OK.	Enter 5 and press OK.	Enter 12 and press OK.	Enter 6 and press OK.	Enter 7 and press OK.	Enter 6 and press OK.	Enter 16 and press OK.	Enter 4 and press OK.	Enter 3 and press OK.	Enter 9 and press OK.	Enter 2 and press OK.	Enter 12 and press OK.	Enter 4 and press OK.	Enter 6 and press OK.
%(6591268457555507519)%	Place the second fraction so that it lines up with the fraction above!	Place the second fraction so that it lines up with the fraction above!	Place the second fraction so that it lines up with the fraction above!	Place the second fraction so that it lines up with the fraction above!	Place the second fraction so that it lines up with the fraction above!	Place the second fraction so that it lines up with the fraction above!	Place the second fraction so that it lines up with the fraction above!	Place the second fraction so that it lines up with the fraction above!	Place the second fraction so that it lines up with the fraction above!	Place the second fraction so that it lines up with the fraction above!	Place the second fraction so that it lines up with the fraction above!	Place the second fraction so that it lines up with the fraction above!	Place the second fraction so that it lines up with the fraction above!	Place the second fraction so that it lines up with the fraction above!	Place the second fraction so that it lines up with the fraction above!	Place the second fraction so that it lines up with the fraction above!	Place the second fraction so that it lines up with the fraction above!	Place the second fraction so that it lines up with the fraction above!	Place the second fraction so that it lines up with the fraction above!	Place the second fraction so that it lines up with the fraction above!	Place the second fraction so that it lines up with the fraction above!	Place the second fraction so that it lines up with the fraction above!
%(2652022977838046506)%	The numerator of 2/6 is 2. Count 2 part(s) to the right and click on that spot.	The numerator of 1/6 is 2. Count 2 part(s) to the right and click on that spot.	The numerator of 2/8 is 2. Count 2 part(s) to the right and click on that spot.	The numerator of 4/12 is 4. Count 4 part(s) to the right and click on that spot.	The numerator of 1/3 is 1. Count 1 part(s) to the right and click on that spot.	The numerator of 3/6 is 3. Count 3 part(s) to the right and click on that spot.	The numerator of 5/5 is 5. Count 5 part(s) to the right and click on that spot.	The numerator of 2/4 is 2. Count 2 part(s) to the right and click on that spot.	The numerator of 4/9 is 4. Count 4 part(s) to the right and click on that spot.	The numerator of 4/5 is 4. Count 4 part(s) to the right and click on that spot.	The numerator of 4/12 is 4. Count 4 part(s) to the right and click on that spot.	The numerator of 2/6 is 2. Count 2 part(s) to the right and click on that spot.	The numerator of 14/7 is 14. Count 14 part(s) to the right and click on that spot.	The numerator of 9/6 is 9. Count 9 part(s) to the right and click on that spot.	The numerator of 12/16 is 12. Count 12 part(s) to the right and click on that spot.	The numerator of 7/4 is 7. Count 7 part(s) to the right and click on that spot.	The numerator of 4/3 is 4. Count 4 part(s) to the right and click on that spot.	The numerator of 12/9 is 12. Count 12 part(s) to the right and click on that spot.	The numerator of 3/2 is 3. Count 3 part(s) to the right and click on that spot.	The numerator of 21/12 is 21. Count 21 part(s) to the right and click on that spot.	The numerator of 6/4 is 6. Count 6 part(s) to the right and click on that spot.	The numerator of 10/6 is 10. Count 10 part(s) to the right and click on that spot.
%(-2305734160291273724)%	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?	Numerator of the fraction shows how many part(s) the fraction consists of. What is the fraction's numerator?
%(4765528932172590569)%	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"	"Look at the fractions you displayed on Line 1 and Line 2. If they are equivalent, they should line up!"
%(-6686121347230324625)%	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!	Wrong. Place the dot so that it is equivalent to the fraction in Line 1!
