Problem Name	00intro	01shirt	02cd	03apartment	06carpet	08surfboard	04internet	05resort	07tennis	09pizza	10butterfly
%(input3_hint4)%	"Try choosing ""%(defAns3)%"" from the list of definitions."	"Try choosing ""%(defAns3)%"" from the list of definitions."	"Try choosing ""%(defAns3)%"" from the list of definitions."	"Try choosing ""%(defAns3)%"" from the list of definitions."	"Try choosing ""%(defAns3)%"" from the list of definitions."	"Try choosing ""%(defAns3)%"" from the list of definitions."	Try entering '%(expression3)%' in the blank.	Try entering '%(expression3)%' in the blank.	Try entering '%(expression3)%' in the blank.	Try entering '%(expression3)%' in the blank.	Try entering '%(expression3)%' in the blank.
											
%(input4_hint1)%	"%(expression4)% is a variable, and a variable represents a quantity whose value is NOT given because you don't know it yet. Find something that %(expression4)% can represent in the problem statement.  "	"%(expression4)% is a variable, and a variable represents a quantity whose value is NOT given because you don't know it yet. Find something that %(expression4)% can represent in the problem statement.  "	"%(expression4)% is a variable, and a variable represents a quantity whose value is NOT given because you don't know it yet. Find something that %(expression4)% can represent in the problem statement.  "	"%(expression4)% is a variable, and a variable represents a quantity whose value is NOT given because you don't know it yet. Find something that %(expression4)% can represent in the problem statement.  "	"%(expression4)% is a variable, and a variable represents a quantity whose value is NOT given because you don't know it yet. Find something that %(expression4)% can represent in the problem statement.  "	"%(expression4)% is a variable, and a variable represents a quantity whose value is NOT given because you don't know it yet. Find something that %(expression4)% can represent in the problem statement.  "	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation '%(problem_function)%'. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation '%(problem_function)%'. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation '%(problem_function)%'. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation '%(problem_function)%'. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation '%(problem_function)%'. What part of the equation does the given definition describe?
%(input4_hint2)%	"Look at the expression '%(expression5)%', and remember that '%(expression2)%' is %(defAns2)%. If it makes sense to add '%(expression2)%' to X in this situation what would X represent?"	"Look at the expression '%(expression5)%', and remember that '%(expression2)%' is %(defAns2)%. If it makes sense to add '%(expression2)%' to X in this situation what would X represent?"	"Look at the expression '%(expression5)%', and remember that '%(expression2)%' is %(defAns2)%. If it makes sense to add '%(expression2)%' to X in this situation what would X represent?"	"Look at the expression '%(expression5)%', and remember that '%(expression2)%' is %(defAns2)%. If it makes sense to subtract '%(expression2)%' from X in this situation what would X represent?"	"Look at the expression '%(expression5)%', and remember that '%(expression2)%' is %(defAns2)%. If it makes sense to add '%(expression2)%' to X in this situation what would X represent?"	"Look at the expression '%(expression5)%', and remember that '%(expression2)%' is %(defAns2)%. If it makes sense to add '%(expression2)%' to X in this situation what would X represent?"	"Look at the problem statement. Does it ever define ""%(definition4)%"" for you? If not, it may mean the expression is not a constant."	"Look at the problem statement. Does it ever define ""%(definition4)%"" for you? If not, it may mean the expression is not a constant."	"Look at the problem statement. Does it ever define ""%(definition4)%"" for you? If not, it may mean the expression is not a constant."	"Look at the problem statement. Does it ever define ""%(definition4)%"" for you? If not, it may mean the expression is not a constant."	"Look at the problem statement. Does it ever define ""%(definition4)%"" for you? If not, it may mean the expression is not a constant."
%(input4_hint3)%	You can only add amount of carpet with another amount of carpet.	You can only add amount of carpet with another amount of carpet.	You can only add number of CDs with another number of CDs.	You can only subtract number of stories with another number of stories.	You can only add amount in square feet with another amount in square feet. 	You can only add number of surfboards with another number of surfboards. 	"There is no given value for ""%(definition4)%"", therefore this is describing a variable term in the problem."	"There is no given value for ""%(definition4)%"", therefore this is describing a variable term in the problem."	"There is no given value for ""%(definition4)%"", therefore this is describing a variable term in the problem."	"There is no given value for ""%(definition4)%"", therefore this is describing a variable term in the problem."	"There is no given value for ""%(definition4)%"", therefore this is describing a variable term in the problem."
%(input4_hint4)%	"Try choosing ""%(defAns4)%"" from the list of definitions."	"Try choosing ""%(defAns4)%"" from the list of definitions."	"Try choosing ""%(defAns4)%"" from the list of definitions."	"Try choosing ""%(defAns4)%"" from the list of definitions."	"Try choosing ""%(defAns4)%"" from the list of definitions."	"Try choosing ""%(defAns4)%"" from the list of definitions."	Try entering '%(expression4)%' in the blank.	Try entering '%(expression4)%' in the blank.	Try entering '%(expression4)%' in the blank.	Try entering '%(expression4)%' in the blank.	Try entering '%(expression4)%' in the blank.
											
%(input5_hint1)%	You know what both '%(expression4)%' and '%(expression2)%' represent. What would the difference '%(expression5)%' represent? 	You know what both '%(expression4)%' and '%(expression2)%' represent. What would the difference '%(expression5)%' represent? 	You know what both '%(expression4)%' and '%(expression2)%' represent. What would the difference '%(expression5)%' represent? 	You know what both '%(expression4)%' and '%(expression2)%' represent. What would the difference '%(expression5)%' represent? 	You know what both '%(expression4)%' and '%(expression2)%' represent. What would the sum '%(expression5)%' represent? 	You know what both '%(expression4)%' and '%(expression2)%' represent. What would the sum '%(expression5)%' represent? 	"This description suggests a change on ""the hours of connect time"", which you defined as X. Think about what is different from ""%(definition4)%"" to ""%(definition5)%"". "	"This description suggests a change on ""the number of new cabins"", which you defined as X. Think about what is different from ""%(definition4)%"" to ""%(definition5)%"". "	"This description suggests a change on the ""tournament wins from April to December"", which you defined as X. Think about what is different from ""%(definition4)%"" to ""%(definition5)%"". "	"This description suggests a change on ""the total number of pizzas"", which you defined as X. Think about what is different from ""%(definition4)%"" to ""%(definition5)%"". "	"This description suggests a change on ""the number of wild butterfly eggs"", which you defined as X. Think about what is different from ""%(definition4)%"" to ""%(definition5)%"". "
%(input5_hint2)%	"Note that '%(expression4)%' represents %(defAns4)%, and '%(expression2)%' represents %(defAns2)%. What would the difference '%(expression5)%' represent?"	"Note that '%(expression4)%' represents %(defAns4)%, and '%(expression2)%' represents %(defAns2)%. What would the difference '%(expression5)%' represent?"	"Note that '%(expression4)%' represents %(defAns4)%, and '%(expression2)%' represents %(defAns2)%. What would the difference '%(expression5)%' represent?"	"Note that '%(expression4)%' represents %(defAns4)%, and '%(expression2)%' represents %(defAns2)%. What would the difference '%(expression5)%' represent?"	Note that '%(expression4)%' represents %(defAns4)% and '%(expression2)%' represents %(defAns2)%. What would the sum '%(expression5)%' represent?	Note that '%(expression4)%' represents %(defAns4)% and '%(expression2)%' represents %(defAns2)%. What would the sum '%(expression5)%' represent?	"You can make changes to a variable, X, in many ways; add, subtract, multiply or divide. But what kind of change will X have ""after the first connect time""?"	"You can make changes to a variable, X, in many ways; add, subtract, multiply or divide. But what kind of change will X need to have to become ""the total number of cabins""?"	"You can make changes to a variable, X, in many ways; add, subtract, multiply or divide. But what kind of change will X need to have to become the ""tournament wins from January to December""?"	"You can make changes to a variable, X, in many ways; add, subtract, multiply or divide. But what kind of change will X need to have to become ""the number of additional pizzas""? "	"You can make changes to a variable, X, in many ways; add, subtract, multiply or divide. But what kind of change will X need to have to become ""the total number of eggs""? "
%(input5_hint3)%	Try to think why you are subtracting %(defAns4)% with %(defAns2)% in the first place; the difference is total amount of what?	Try to think why you are subtracting %(defAns4)% with %(defAns2)% in the first place; the difference is total amount of what?	Try to think why you are subtracting %(defAns4)% with %(defAns2)% in the first place; the difference is total amount of what?	Try to think why you are subtracting %(defAns4)% with %(defAns2)% in the first place; the difference is total amount of what?	Try to think why Hilda and Vern are combining %(defAns4)% and %(defAns2)% in the first place; the sum is total amount of what?	Try to think why Chet is combining %(defAns4)% and %(defAns2)% in the first place; the sum is the total amount of what?	"Remember, Antoine will only pay for the connect times minus the amount of connect times that are free. So the variable, X, must be subtracted by the hours of free connect time!"	"Remember, resort is adding new cabins on top of already existing cabins. So the variable, X, must be added with the number of already existing cabins!"	"Remember, Marian had already won some number of tournaments from starting of this year. So the variable, X, must be added with the number of wins Marian already had!"	"Remember, Julie will only pay for the pizzas minus the number of pizzas that are already included in the fee. So the variable, X, must be subtracted by those pizzas that are already included!"	"Remember, you can only add the number of butterfly eggs planted by Lizzy with the number of wild butterfly eggs not planted by Lizzy.  So the variable, X, must be add to the number of butterfly eggs planted by Lizzy!"
%(input5_hint4)%	The difference '%(expression5)%' represents %(defAns5)%.	The difference '%(expression5)%' represents %(defAns5)%.	The difference '%(expression5)%' represents %(defAns5)%.	The difference '%(expression5)%' represents %(defAns5)%.	The sum '%(expression5)%' represents %(defAns5)%.	The sum '%(expression5)%' represents %(defAns5)%.	Try entering '%(expression5)%' in the blank.	Try entering '%(expression5)%' in the blank.	Try entering '%(expression5)%' in the blank.	Try entering '%(expression5)%' in the blank.	Try entering '%(expression5)%' in the blank.
											
%(input6_hint1)%	You know what both' %(expression3)%' and '%(expression5)%' represent. What would the product '%(expression6)%' represent?	You know what both' %(expression3)%' and '%(expression5)%' represent. What would the product '%(expression6)%' represent?	You know what both' %(expression3)%' and '%(expression5)%' represent. What would the product '%(expression6)%' represent?	You know what both' %(expression3)%' and '%(expression5)%' represent. What would the product '%(expression6)%' represent?	You know what both' %(expression3)%' and '%(expression5)%' represent. What would the product '%(expression6)%' represent?	You know what both' %(expression3)%' and '%(expression5)%' represent. What would the product '%(expression6)%' represent?	"It is important to note that this statement is describing ""total cost"" of something. You already defined total hours of connect time as an expression. Then, how could you write an expression for ""%(definition6)%""? "	"Look through your previous answers and think about how you would calculate the total number of guests in the cabins, then write expression for ""%(definition6)%""."	"It is important to note that this statement is describing ""total points"" of something. You already defined number of tornament wins for the entire year as an expression. Then, how could you write an expression for ""%(definition6)%""? "	"It is important to note that this statement is describing ""cost of the additional"" something. You already defined the number of additional pizzas as an expression. Then, how could you write an expression for ""%(definition6)%""? "	"It is important to note that this statement is describing ""the total number"" of something. You already defined the total number of eggs as an expression. Then, how could you write an expression for ""%(definition6)%""? "
%(input6_hint2)%	"Note that '%(expression3)%' represents %(defAns3)%, and '%(expression5)%' represents %(defAns5)%. What would the product '%(expression6)%' represent?"	"Note that '%(expression3)%' represents %(defAns3)%, and '%(expression5)%' represents %(defAns5)%. What would the product '%(expression6)%' represent?"	"Note that '%(expression3)%' represents %(defAns3)%, and '%(expression5)%' represents %(defAns5)%. What would the product '%(expression6)%' represent?"	"Note that '%(expression3)%' represents %(defAns3)%, and '%(expression5)%' represents %(defAns5)%. What would the product '%(expression6)%' represent?"	"Note that '%(expression3)%' represents %(defAns3)%, and '%(expression5)%' represents %(defAns5)%. What would the product '%(expression6)%' represent?"	"Note that '%(expression3)%' represents %(defAns3)%, and '%(expression5)%' represents %(defAns5)%. What would the product '%(expression6)%' represent?"	Think of a time when you bought several of the same items; you do (price for each) x (number of the items you buy) to get the total price. 	You know how many guests that each cabin holds. You also know the expression for the total number of cabins. What should you do with those two expressions to get the total number of guests?	Think of a time when you bought several of the same items; you do (price for each) x (number of the items you buy) to get the total price. 	Think of a time when you bought several of the same items; you do (price for each) x (number of the items you buy) to get the total price. 	"You know that only 2 out of 100 eggs become butterflies. If you had given a total number of eggs, what should you multiply to it in order to get the number of butterflies?"
%(input6_hint3)%	"Think of a time when you bought several of the same items; you do (price for each) x (number of the items you buy) to get the total price. Then, '%(expression6)%' represents the total price of what?"	"Think of a time when you bought several of the same items; you do (price for each) x (number of the items you buy) to get the total price. Then, '%(expression6)%' represents the total price of what?"	"Think of a time when you bought several of the same items; you do (price for each) x (number of the items you buy) to get the total price. Then, '%(expression6)%' represents the total price of what?"	"Think of a time when you bought several of the same items; you do (price for each) x (number of the items you buy) to get the total price. Then, '%(expression6)%' represents the total price of what?"	"Think of a time when you bought several of the same items; you do (price for each) x (number of the items you buy) to get the total price. Then, '%(expression6)%' represents the total price of what?"	"Think of a time when you bought several of the same items; you do (price for each) x (number of the items you buy) to get the total price. Then, '%(expression6)%' represents the total price of what?"	"The total cost can be obtained by multiplying '%(expression3)%', %(definition3)% by '%(expression5)%', %(definition5)%."	"The total number of guests can be obtained by multiplying '%(expression3)%', %(definition3)% by '%(expression5)%', %(definition5)%."	"The total points can be obtained by multiplying '%(expression3)%', %(definition3)% by '%(expression5)%', %(definition5)%."	"The total cost can be obtained by multiplying '%(expression3)%', %(definition3)% by '%(expression5)%', %(definition5)%."	"The total number of butterflies can be obtained by multiplying '%(expression3)%', %(definition3)% by '%(expression5)%', %(definition5)%."
%(input6_hint4)%	The product '%(expression6)%' represents %(defAns6)%.	The product '%(expression6)%' represents %(defAns6)%.	The product '%(expression6)%' represents %(defAns6)%.	The product '%(expression6)%' represents %(defAns6)%.	The product '%(expression6)%' represents %(defAns6)%.	The product '%(expression6)%' represents %(defAns6)%.	Try entering '%(expression6)%' in the blank.	Try entering '%(expression6)%' in the blank.	Try entering '%(expression6)%' in the blank.	Try entering '%(expression6)%' in the blank.	Try entering '%(expression6)%' in the blank.
											
%(input7_hint1)%	You know what both '%(expression1)%' and '%(expression6)%' represent. What would the sum '%(expression7)%' represent?	You know what both '%(expression1)%' and '%(expression6)%' represent. What would the sum '%(expression7)%' represent?	You know what both '%(expression1)%' and '%(expression6)%' represent. What would the sum '%(expression7)%' represent?	You know what both '%(expression1)%' and '%(expression6)%' represent. What would the sum '%(expression7)%' represent?	You know what both '%(expression1)%' and '%(expression6)%' represent. What would the sum '%(expression7)%' represent?	You know what both '%(expression1)%' and '%(expression6)%' represent. What would the difference '%(expression7)%' represent?	"This description suggests a change on the total cost. Think about what is different from ""%(definition6)%"" to""%(definition7)%"". "	"This description suggests a change on the total number of guests in the cabins. Think about what is different from ""%(definition6)%"" to ""%(definition7)%"". "	"This description suggests a change on the total points for the tournament wins. Think about what is different from ""%(definition6)%"" to ""%(definition7)%"". "	"This description suggests a change on the cost of additional pizzas. Think about what is different from ""%(definition6)%"" to ""%(definition7)%"". "	Note that this description matches Lizzy's goal. It was to find out how many of the 150 butterflies are foreign butterflies that were not originally born in Lizzy's park. 
%(input7_hint2)%	Note that '%(expression1)%' represents %(defAns1)% and '%(expression6)%' represents %(defAns6)%. What would the sum '%(expression7)%' represent?	Note that '%(expression1)%' represents %(defAns1)% and '%(expression6)%' represents %(defAns6)%. What would the sum '%(expression7)%' represent?	Note that '%(expression1)%' represents %(defAns1)% and '%(expression6)%' represents %(defAns6)%. What would the sum '%(expression7)%' represent?	Note that '%(expression1)%' represents %(defAns1)% and '%(expression6)%' represents %(defAns6)%. What would the sum '%(expression7)%' represent?	Note that '%(expression1)%' represents %(defAns1)% and '%(expression6)%' represents %(defAns6)%. What would the sum '%(expression7)%' represent?	Note that '%(expression1)%' represents %(defAns1)% and '%(expression6)%' represents %(defAns6)%. What would the difference '%(expression7)%' represent?	"You can make changes to an expression too! You can add, subtract, multiply or divide. But what kind of change would %(expression6)% need to  turn it into ""the actual monthly cost""? "	"You can make changes to an expression too! You can add, subtract, multiply or divide. But what kind of change would %(expression6)% need to turn it into ""the total guests that can be accommodated"" in the entire resort? "	"You can make changes to an expression too! You can add, subtract, multiply or divide. But what kind of change would %(expression6)% need to have to turn it into the ""total points by the end of the year""?"	"You can make changes to an expression too! You can add, subtract, multiply or divide. But what kind of change would %(expression6)% need to  turn it into ""the total bill""? "	"You know the number of butterflies that survived out of eggs in the park, and you know the total number of butterflies that are reported. Then how would you find out how many butterflies are NOT from the eggs in the park?"
%(input7_hint3)%	Try to think why you are combining %(defAns1)% and %(defAns6)% in first place; the sum is total amount of what?	Try to think why you are combining %(defAns1)% and %(defAns6)% in first place; the sum is total amount of what?	Try to think why you are combining %(defAns1)% and %(defAns6)% in first place; the sum is total amount of what?	Try to think why Pauline is combining %(defAns1)% and %(defAns6)% in the first place; the sum is the total amount of what?	Try to think why Hilda and Vern are combining %(defAns1)% and %(defAns6)% in the first place; the sum is the total amount of what?	Try to think why Chet is subtracting %(defAns1)% with %(defAns6)% in the first place; the difference is total amount of what?	"Remember, there is a certain fee that is added to Antoine's bill each month. So the total cost, %(expression6)%, must be added with this extra fee! "	"Remember, other than cabin, resort can hold more guests using the main lodge. So the total guests in only the cabin, %(expression6)%, must be added with this extra number of guests that can fit in the main lodge! "	"Remember, by the end of the year, Marian's score will be calculated with the points she earned this year AND last year. So this year's total points, %(expression6)%, must be added with the previous year's points!"	"Remember, there is a certain fee that was added to Julie's bill for catering the party. So total cost, %(expression6)%, must be added with this extra fee! "	"The number of foreign butterflies can be obtained by subtracting '%(expression1)%, %(definition1)% with '%(expression6)%', %(definition6)%."
%(input7_hint4)%	The sum '%(expression7)%' represents %(defAns7)%.	The sum '%(expression7)%' represents %(defAns7)%.	The sum '%(expression7)%' represents %(defAns7)%.	The sum '%(expression7)%' represents %(defAns7)%.	The sum '%(expression7)%' represents %(defAns7)%.	The difference '%(expression7)%' represents %(defAns7)%.	Try entering '%(expression7)%' in the blank.	Try entering '%(expression7)%' in the blank.	Try entering '%(expression7)%' in the blank.	Try entering '%(expression7)%' in the blank.	Try entering '%(expression7)%' in the blank.
											
%(skill_input1)%	Identify-constant-term	Identify-constant-term	Identify-constant-term	Identify-constant-term	Identify-constant-term	Identify-constant-term	Define-constant-term	Define-constant-term	Define-constant-term	Define-constant-term	Define-constant-term
%(skill_input2)%	Identify-constant-term	Identify-constant-term	Identify-constant-term	Identify-constant-term	Identify-constant-term	Identify-constant-term	Define-constant-term	Define-constant-term	Define-constant-term	Define-constant-term	Define-constant-term
%(skill_input3)%	Identify-coefficient	Identify-coefficient	Identify-coefficient	Identify-coefficient	Identify-coefficient	Identify-coefficient	Define-coefficient	Define-coefficient	Define-coefficient	Define-coefficient	Define-coefficient
%(skill_input4)%	Identify-variable	Identify-variable	Identify-variable	Identify-variable	Identify-variable	Identify-variable	Define-variable	Define-variable	Define-variable	Define-variable	Define-variable
%(skill_input5)%	Identify-variable-expression	Identify-variable-expression	Identify-variable-expression	Identify-variable-expression	Identify-variable-expression	Identify-variable-expression	Define-variable-expression	Define-variable-expression	Define-variable-expression	Define-variable-expression	Define-variable-expression
%(skill_input6)%	Identify-product-of-coefficient-and-variable-expression	Identify-product-of-coefficient-and-variable-expression	Identify-product-of-coefficient-and-variable-expression	Identify-product-of-coefficient-and-variable-expression	Identify-product-of-coefficient-and-variable-expression	Identify-product-of-coefficient-and-variable-expression	Define-product-of-coefficient-and-variable-expression	Define-product-of-coefficient-and-variable-expression	Define-product-of-coefficient-and-variable-expression	Define-product-of-coefficient-and-variable-expression	Define-product-of-coefficient-and-variable-expression
%(skill_input7)%	Identify-sum-of-two-terms	Identify-sum-of-two-terms	Identify-sum-of-two-terms	Identify-sum-of-two-terms	Identify-sum-of-two-terms	Identify-sum-of-two-terms	Define-sum-of-two-terms	Define-sum-of-two-terms	Define-sum-of-two-terms	Define-sum-of-two-terms	Define-sum-of-two-terms
											
%(skill_label1)%	Identify constant term	Identify constant term	Identify constant term	Identify constant term	Identify constant term	Identify constant term	Define constant term	Define constant term	Define constant term	Define constant term	Define constant term
%(skill_label2)%	Identify constant term	Identify constant term	Identify constant term	Identify constant term	Identify constant term	Identify constant term	Define constant term	Define constant term	Define constant term	Define constant term	Define constant term
%(skill_label3)%	Identify coefficient	Identify coefficient	Identify coefficient	Identify coefficient	Identify coefficient	Identify coefficient	Define coefficient	Define coefficient	Define coefficient	Define coefficient	Define coefficient
%(skill_label4)%	Identify variable	Identify variable	Identify variable	Identify variable	Identify variable	Identify variable	Define variable	Define variable	Define variable	Define variable	Define variable
%(skill_label5)%	Identify variable expression	Identify variable expression	Identify variable expression	Identify variable expression	Identify variable expression	Identify variable expression	Define variable expression	Define variable expression	Define variable expression	Define variable expression	Define variable expression
%(skill_label6)%	Identify product of coefficient and variable expression	Identify product of coefficient and variable expression	Identify product of coefficient and variable expression	Identify product of coefficient and variable expression	Identify product of coefficient and variable expression	Identify product of coefficient and variable expression	Define product of coefficient and variable expression	Define product of coefficient and variable expression	Define product of coefficient and variable expression	Define product of coefficient and variable expression	Define product of coefficient and variable expression
%(skill_label7)%	Identify sum of two terms	Identify sum of two terms	Identify sum of two terms	Identify sum of two terms	Identify sum of two terms	Identify sum of two terms	Define sum of two terms	Define sum of two terms	Define sum of two terms	Define sum of two terms	Define sum of two terms
