Problem Name	01vitamin	02marble	03sailfish	04pizza	05notebook	06car_trip	07defective	08bounce	09cookie	10sandwich	11basketball	12spring_carnival	13token	14widget	15nugget	00Bubble
%(fac-top)%	"<%=ifThen(hasValue(SF2),""You've already found the correct scaling factor for the cost. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF2),""You've already found the correct scaling factor for the cost. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF2),""You've already found the correct scaling factor for the seconds. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF2),""You've already found the correct scaling factor for the cost. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF2),""You've already found the correct scaling factor for the cost. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF2),""You've already found the correct scaling factor for the hours of the trip. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF2),""You've already found the correct scaling factor for the number of defective widgets. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF2),""You've already found the correct scaling factor for the bounced height of the ball. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF2),""You've already found the correct scaling factor for the number of cookies. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF2),""You've already found the correct scaling factor for the number of fifth graders that liked the PB&J sandwiches. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF2),""You've already found the correct scaling factor for the cost. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF2),""You've already found the correct scaling factor for the cost. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF2),""You've already found the correct scaling factor for the cost. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF2),""You've already found the correct scaling factor for the hours of work. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF2),""You've already found the correct scaling factor for the weight of the nuggets. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF2),""You've already found the correct scaling factor for the cost. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"
%(fac-bott)%	"<%=ifThen(hasValue(SF1),""You've already found the correct scaling factor for the container size. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF1),""You've already found the correct scaling factor for the number of marbles. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF1),""You've already found the correct scaling factor for the distance traveled. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF1),""You've already found the correct scaling factor for the number of pizzas. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF1),""You've already found the correct scaling factor for the number of notebooks. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF1),""You've already found the correct scaling factor for the distance in miles. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF1),""You've already found the correct scaling factor for the number of widgets produced. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF1),""You've already found the correct scaling factor for the dropped height of the ball. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF1),""You've already found the correct scaling factor for the number bags of cookies. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF1),""You've already found the correct scaling factor for the number of fifth graders interviewed. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF1),""You've already found the correct scaling factor for the number of basketballs. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF1),""You've already found the correct scaling factor for the number of prizes. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF1),""You've already found the correct scaling factor for the number of tokens. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF1),""You've already found the correct scaling factor for the number of widgets produced. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF1),""You've already found the correct scaling factor for the number of nuggets. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number? Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"	"<%=ifThen(hasValue(SF1),""You've already found the correct scaling factor for the number of marbles. Since you need to scale both numbers equally, you should use the same scaling factor here."",""Are you trying to scale to a bigger or a smaller number?Remember, multiplying by an integer will increase the original number while multiplying by a fraction will decrease the original number."")%>"
%(fac-h2)%	What do you have to divide 36 by to get 9? How would you express this division as a multiplication of a fraction?	What do you have to divide 20 by to get 10? How would you express this division as a multiplication of a fraction?	What do you have to multiply 3 by to get 60?	What do you have to divide 8 by to get 2? How would you express this division as a multiplication of a fraction?	What do you have to divide 20 by to get 4? How would you express this division as a multiplication of a fraction?	What do you have to multiply 50 by to get 400?	What do you have to divide 100 by to get 20? How would you express this division as a multiplication of a fraction?	What do you have to divide 35 by to get 3.5? How would you express this division as a multiplication of a fraction?	What do you have to multiply 30 by to get 90?	What do you have to divide 60 by to get 20? How would you express this division as a multiplication of a fraction?	What do you have to divide 75 by to get 15? How would you express this division as a multiplication of a fraction?	What do you have to multiply 30 by to get 90?	What do you have to divide 20 by to get 1? How would you express this division as a multiplication of a fraction?	What do you have to divide 24 by to get 8? How would you express this division as a multiplication of a fraction?	What do you have to divide 12 by to get 1? How would you express this division as a multiplication of a fraction?	What do you have to divide 39 by to get 13? How would you express this division as a multiplication of a fraction?
%(fac-h3)%	Try typing in '1/4' in the highlighted field.	Try typing in '1/2' in the highlighted field.	Try typing in '20' in the highlighted field.	Try typing in '1/4' in the highlighted field.	Try typing in '1/5' in the highlighted field.	Try typing in '8' in the highlighted field.	Try typing in '1/5' in the highlighted field.	Try typing in '1/10' in the highlighted field.	Try typing in '3' in the highlighted field.	Try typing in '1/3 ' in the highlighted field.	Try typing in '1/5 ' in the highlighted field.	Try typing in '3' in the highlighted field.	Try typing in '1/20' in the highlighted field.	Try typing in '1/3 ' in the highlighted field.	Try typing in '1/12' in the highlighted field.	Try typing in '1/3 ' in the highlighted field.

%(gvn3)%	9	10	60	2	4	400	20	3.5	90	20	15	90	1	8	1	13
%(gvn-b3)%	"Wrong! This number belongs to ""Larz"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""They sell"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Record"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""They sell"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""They sell"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Speed"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Recorded"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""I know"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Now, after two weeks"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Old interview"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Gym-Supplies INC sells"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""They sell"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""They sell"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""By day"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Total nuggets"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""They sell"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."
%(gvn3-h1)%	You want to know the cost of Joey's container, but first, you need to know the size of Joey's container.	You want to pay for the marbles you are buying, but first, you need to know how many marbles you are buying.	You want to know how far the sailfish can swim, but first, you need to know for how many seconds the sailfish has already swum.	You want to know how much the pizzas will cost, but first, you need to know how many pizzas you are buying.	You want to pay for the notebooks, but first, you need to know how many notebooks you are buying.	You want to know how long the trip will take, but first, you need to know how far New York City is from Pittsburgh.	You want to know how many defective widgets will be made this time, but first, you need to know how many widgets the company will be producing this time.	You want to know the height from which you dropped the ball, but first, you need to know how much the ball has bounced.	You want to know how many cookies were there 2 weeks ago, but first, you need to know how many bags were there 2 weeks ago.	You want to know how many new 5th graders like peanut butter and jelly sandwiches, but first, you need to know how many new students were interviewed.	You want to know how much the school is going to pay for the basketballs, but first, you need to know how many basketballs the school wants to buy.	You want to know the cost of the prizes you will be buying, but first, you need to know how many prizes you are buying.	You want to know how much each token costs. How would you express 'each' as a number?	You want to know how many widgets will be produced in a regular work shift, but first, you need to know how long a regular work shift is.	You want to know how much each gold nugget costs. How would you express 'each' as a number?	-
%(gvn3-h2)%	What is the last thing that is known? Do you remember the size of Joey's container?	What is the last thing that is known? Do you remember how many marbles the problem is asking for?	What is the last thing that is known? You are wondering how far the sailfish can swim in how many seconds?	What is the last thing that is known? Do you remember how many pizzas the problem is asking for?	What is the last thing that is known? Do you remember how many notesbooks you need?	What is the last thing that is known? Do you remember how far New York City is from Pittsburgh?	What is the last thing that is known? Do you remember how many widgets the company is going to produce this time?	What is the last thing that is known? Do you remember how high the ball bounced when you dropped it?	What is the last thing that is known? Do you remember how many bags of cookies were there 2 weeks ago?	What is the last thing that is known? Do you remember how many new 5th grades were interviewed?	What is the last thing that is known? Do you remember how many basketballs your school is going to buy?	What is the last thing that is known? Do you remember how many prizes the problem is asking for?	"Think about what ""each"" means."	What is the last thing that is known? How many hours are in a regular work shift?	"Think about what ""each"" means."	-
%(gvn3-h3)%	"Read this part of the statement carefully: ""Joey likes to buy his vitamins in 9 oz. containers."""	"Read this part of the statement carefully: ""How much would 10 marbles cost?"""	"Read this part of the statement carefully: ""How far could this fish go in 60 seconds?"""	"Read this part of the statement carefully: ""How much will 2 pizzas cost?"""	"Read this part of the statement carefully: ""You only need 4 notebooks."""	"Read this part of the statement carefully: ""Bill is driving 400 miles from Pittsburgh to New York City."""	"Read this part of the statement carefully: ""How many defective widgets are likely to be made if 20 widgets are produced?"""	"Read this part of the statement carefully: ""If the ball bounces 3.5m high ..."""	"Read this part of the statement carefully: ""The school cafeteria bought 90 bags of chocolate chip cookies."""	"Read this part of the statement carefully: ""If he interviewed 20 new fifth graders..."""	"Read this part of the statement carefully: ""How much will it cost your school to buy 15 basketballs?"""	"Read this part of the statement carefully: ""How much will it cost you to buy 90 prizes?"""	You are looking for cost of EACH token. This means you are looking for the cost of 1 token.	"Read this part of the statement carefully: ""If the typical work shift consist of 8 hours ..."""	You are looking for cost of EACH nugget. This means you are looking for the cost of 1 nugget.	-
%(gvn3-h4)%	Try typing '9' for the highlighted field.	Try typing '10' for the highlighted field.	Try typing '60' for the highlighted field.	Try typing '2' for the highlighted field.	Try typing '4' for the highlighted field.	Try typing '400' for the highlighted field.	Try typing '20' for the highlighted field.	Try typing '3.5' for the highlighted field.	Try typing '90' for the highlighted field.	Try typing '20' for the highlighted field.	Try typing '15' for the highlighted field.	Try typing '90' for the highlighted field.	Try typing '1' for the highlighted field.	Try typing '8' for the highlighted field.	Try typing '1' for the highlighted field.	Try typing '13' for the highlighted field.
%(gvn3-bh1)%	Please enter '36' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '300.5' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '50' in the highlighted field.	Please enter '100' in the highlighted field.	Please enter '100' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '60' in the highlighted field.	Please enter '75' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '300' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '39' in the highlighted field.

%(ans)%	2.20	2.50	6010	1.50	6	8	1	10	360	11	90	120	1.50	100	3	3.50
%(ans-h1)%	Use the scaling operation and scaling factor to scale down the original cost of the vitamin container to the cost of the 9 oz. container Joey wanted.	Use the scaling operation and scaling factor to scale down the original cost of the marbles.	Use the scaling operation and scaling factor to scale up the original distance traveled by the sailfish.	Use the scaling operation and scaling factor to scale down the original cost of the pizza.	Use the scaling operation and scaling factor to scale down the original cost of the notebooks.	Use the scaling operation and scaling factor to scale up the original time.	Use the scaling operation and scaling factor to scale down the original number of defects.	Use the scaling operation and scaling factor to scale down the original height from where the ball was dropped.	Use the scaling operation and scaling factor to scale up the original number of cookies.	Use the scaling operation and scaling factor to scale down the original number of students who like peanut butter and jelly sandwich.	Use the scaling operation and scaling factor to scale down the original cost of the basketballs.	Use the scaling operation and scaling factor to scale up the original cost of the spring carnival prizes.	Use the scaling operation and scaling factor to scale down the original cost of the tokens.	Use the scaling operation and scaling factor to scale down the original number of widgets produced.	Use the scaling operation and scaling factor to scale down the original weight of the nuggets.	Use the scaling operation and scaling factor to scale down the original cost of the marbles.
%(ans-h2)%	The cost of the 9 oz. container is the cost of the container that Larz bought multiplied by the scaling factor you found.	The cost of the marbles you want to buy is the selling cost of marbles multiplied by the scaling factor you found.	The distance of travel for 60 seconds is the recorded distance of the sailfish multiplied by the scaling factor you found.	The cost of pizzas you want to buy is the selling cost of the pizzas multiplied by the scaling factor you found.	The cost of notebooks you want to buy is the selling cost of the notebooks multiplied by the scaling factor you found.	The time of the trip from Pittsburgh to New York City is the speed of the trip multiplied by the scaling factor you found.	You can determine the number of defective widgets produced by multiplying the original number of defective widgets by the scaling factor you found.	The dropped height is the first, original dropped height multiplied by the scaling factor you found.	The number of cookies 2 weeks ago is the number of cookies left now multiplied by the scaling factor you found.	The new number of students expected to like the sandwich equals to 5th grade students who liked the sandwich in the old interview multiplied by the scaling factor you found.	The cost of the basketballs your school wants equals the selling cost of basketballs multiplied by the scaling factor you found.	The cost of prizes you want is the selling cost of prizes multiplied by the scaling factor you found.	The cost of 1 token is the selling cost of 20 tokens multiplied by the scaling factor you found.	The number of widgets produced during 8-hour shift equals number of widgets produced during 24-hour day multiplied by the scaling factor you found.	The weight of each nugget is the weight of total nuggets multiplied by the scaling factor you found.	The cost of the marbles you want to buy is the selling cost of marbles multiplied by the scaling factor you found.
%(ans-h3)%	"Not sure how to multiply a scaling factor that looks like a fraction, ""1/4""? Think of it this way; you are scaling DOWN 8.80 by factor of ""4""! To do this divide 8.80 by the factor, like this: 8.80 / 4."	"Not sure how to multiply a scaling factor that looks like a fraction, ""1/2""? Think of it this way; you are scaling DOWN 5 by factor of ""2""! To do this divide 5 by the factor, like this: 5 / 2."	"Scaling UP using factor of ""20"" is simple; just multiply 300.5 by the factor like this: 300.5 * 20."	"Not sure how to multiply a scaling factor that looks like a fraction, ""1/4""? Think of it this way; you are scaling DOWN 6 by factor of ""4""! To do this divide 6 by the factor, like this: 6 / 4."	"Not sure how to multiply a scaling factor that looks like a fraction, ""1/5""? Think of it this way; you are scaling DOWN 30 by factor of ""5""! To do this divide 30 by the factor, like this: 30 / 5."	"Scaling UP using factor of ""8"" is simple; just multiply 1 by the factor like this: 1 * 8."	"Not sure how to multiply a scaling factor that looks like a fraction, ""1/5""? Think of it this way; you are scaling DOWN 5 by factor of ""5""! To do this divide 5 by the factor, like this: 5 / 5."	"Not sure how to multiply a scaling factor that looks like a fraction, ""1/10""? Think of it this way; you are scaling DOWN 100 by factor of ""10""! To do this divide 100 by the factor, like this: 100 / 10."	"Scaling UP using factor of ""3"" is simple; just multiply 120 by the factor like this: 120 * 3."	"Not sure how to multiply a scaling factor that looks like a fraction, ""1/3""? Think of it this way; you are scaling DOWN 33 by factor of ""3""! To do this divide 33 by the factor, like this: 33 / 3."	"Not sure how to multiply a scaling factor that looks like a fraction, ""1/5 ""? Think of it this way; you are scaling DOWN 450 by factor of ""5""! To do this divide 450 by the factor, like this: 450 / 5."	"Scaling UP using factor of ""3"" is simple; just multiply 40 by the factor like this: 40 * 3."	"Not sure how to multiply a scaling factor that looks like a fraction, ""1/20""? Think of it this way; you are scaling DOWN 30 by factor of ""20""! To do this divide 30 by the factor, like this: 30 / 20."	"Not sure how to multiply a scaling factor that looks like a fraction, ""1/3 ""? Think of it this way; you are scaling DOWN 300 by factor of ""3""! To do this divide 300 by the factor, like this: 300 / 3."	"Not sure how to multiply a scaling factor that looks like a fraction, ""1/12""? Think of it this way; you are scaling DOWN 36 by factor of ""12""! To do this divide 36 by the factor, like this: 36 / 12."	"Not sure how to multiple a scaling factor that looks like a fraction, ""1/3 ""? Think of it this way; you are scaling DOWN 10.50 by factor of ""3""! To do this divide 10.50 by the factor, like this: 10.50 / 3."
%(ans-h4)%	Try typing in '2.20' in the highlighted field.	Try typing in '2.50' in the highlighted field.	Try typing in '6010' in the highlighted field.	Try typing in '1.50' in the highlighted field.	Try typing in '6' in the highlighted field.	Try typing in '8' in the highlighted field.	Try typing in '1' in the highlighted field.	Try typing in '10' in the highlighted field.	Try typing in '360' in the highlighted field.	Try typing in '11' in the highlighted field.	Try typing in '90' in the highlighted field.	Try typing in '120' in the highlighted field.	Try typing in '1.50' in the highlighted field.	Try typing in '100' in the highlighted field.	Try typing in '3' in the highlighted field.	Try typing in '3.50' in the highlighted field.
%(ans-bh1)%	Please enter '8.80' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '35' in the highlighted field.	Please enter '120' in the highlighted field.	Please enter '33' in the highlighted field.	Please enter '450' in the highlighted field.	Please enter '40' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '24' in the highlighted field.	Please enter '36' in the highlighted field.	Please enter '10.50' in the highlighted field.
%(ansF-h1)%	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?
%(ansF-h2)%	How much a does 9 oz. container of vitamins cost?	How much would 10 marbles cost?	How far can Mosmopolitan sailfish travel in 60 seconds?	How much will 2 pizzas cost?	How much will 4 notebooks cost?	How much time will the trip from Pittsburgh to New York City take?	How many defective widgets are likely to be produced?	From what height did you drop the ball if it bounced back 3.5m?	How many cookies were in the bag two weeks ago?	How many fifth graders are expected to like peanut butter & jelly sandwiches?	How much will your school have to pay for 15 basketballs?	How much will it cost you to buy 90 prizes?	How much is each token?	How many widgets are produced during the 8 hour shift?	How heavy are each of the gold nuggets?	How much are 13 marbles?
%(good-job)%	Good job! You helped Larz and Joey figure out how much the 9 oz. container would cost.	Great job! You figured out how much 10 marbles would cost.	Good job! You found out how far a cosmopolitan fish can travel in 60 seconds.	Good work! You figured out how much 2 pizzas would cost.	Great work! Now you can buy just 4 notebooks instead of 20 notebooks.	Great job! Now you know how long the trip will take from Pittsburgh to New York City.	Good job! You figured out how many widgets will be defective if the company makes 20 widgets.	Great work! You figured out the dropped height of the ball that bounced 3.5m.	Great job! You figured out how many cookies there were in the cafeteria 2 weeks ago.	Good job! You predicted how many students will say they like peanut butter & jelly sandwiches.	Great job! You helped your school figure out how much 15 basketballs would cost.	Good job! You figured out how much 90 prizes will cost you.	Great work! Now you know how much each of the tokens costs.	Good job! You figured out how many widgets are produced during an 8-hour shift.	Great job! Now you know how heavy each gold nugget is.	Great job! You figured out how much 10 marbles would cost.
%(done-h)%	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.

%(operation)%	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing
%(factor)%	Scaling Factor	Scaling Factor	Scaling Factor	Scaling Factor	Scaling Factor	Scaling Factor	Scaling Factor	Scaling Factor	Scaling Factor	Scaling Factor	Scaling Factor	Scaling Factor	Scaling Factor	Scaling Factor	Scaling Factor	Scaling Factor
%(skillset)%	6-27-factors-and-scaling	6-27-factors-and-scaling	6-27-factors-and-scaling	6-27-factors-and-scaling	6-27-factors-and-scaling	6-27-factors-and-scaling	6-27-factors-and-scaling	6-27-factors-and-scaling	6-27-factors-and-scaling	6-27-factors-and-scaling	6-27-factors-and-scaling	6-27-factors-and-scaling	6-27-factors-and-scaling	6-27-factors-and-scaling	6-27-factors-and-scaling	6-27-factors-and-scaling
%(gvn2-entered)%	enter-given-from	enter-given-from	enter-given-from	enter-given-from	enter-given-from	enter-per1	enter-given-from	enter-given-from	enter-given-from	enter-given-from	enter-given-from	enter-given-from	enter-given-from	enter-given-from	enter-given-from	enter-given-from
%(gvn2-skill-label)%	Enter given (from)	Enter given (from)	Enter given (from)	Enter given (from)	Enter given (from)	Recognize unit rate	Enter given (from)	Enter given (from)	Enter given (from)	Enter given (from)	Enter given (from)	Enter given (from)	Enter given (from)	Enter given (from)	Enter given (from)	Enter given (from)
