Problem Name	01Garden	02Water	03Cookies	04Bicyclist	05Map	06Lemonade	07Driving	08Saturn	09Donation	10Haircuts	11Lemonade-2	12Eggs	13Running	14Snail	15Lemonade-3	16Clock	17Balloons	00Bubble
%(fac-h2)%	What do you have to multiply 3 by to get 27?	What do you have to multiply 12 by to get 24?	What do you have to divide 60 by to get 15?	What do you have to multiply 50 by to get 100?	What do you have to multiply 2 by to get 8?	What do you have to multiply 25 by to get 75?	What do you have to multiply 50 by to get 400?	What do you have to divide 24 by to get 12?	What do you have to multiply 2 by to get 8?	What do you have to multiply 6 by to get 24?	What do you have to multiply 5 by to get 30?	What do you have to multiply 3 by to get 27?	What do you have to multiply 12.5 by to get 37.5?	What do you have to divide 6 by to get 2?	What do you have to multiply 3 by to get 300?	What do you have to multiply 20 by to get 120?	What do you have to multiply 12 by to get 36?	What do you have to divide 39 by to get 13? How would you express this division as a multiplication of a fraction? 
%(gvn3)%	27	24	15	100	8	75	400	12	8	24	30	27	37.5	2	300	120	36	13
%(gvn3-h1)%	You are looking for the number of tomatos this year, but first, you need to know the number of tomato plants planted this year.	You are looking for the cost of water bottles you bought today, but first, you need to know how many water bottles you bought today.	Henry wants to know how many gingerbread cookies he should bake this year, but first, he needs to now how many people are coming this year.	The bicyclist wants to know how far she will be traveling in the actual race, but first, she needs to know how long she is racing.	Bill wants to know how much distance he must drive for his trip, but first, he needs to know how much distance the the map tells him.	You are looking for how much money your sister has earned in total, but first, you need to know how many cups of lemonade she sold so far.	Bill wants to know how long he must drive to get to New York City, but first, he needs to know how far New York City is from Pittsburgh.	You are trying to figure out how long your Saturnian friend can stay on Earth, but first, you need to know how much time in Saturn days your friend has.	The radio station wants to know how many cans of pet food have been donated, but first, they need to know how many bags of dog food they have given out.	You are looking for the number of shampoo bottles Mandy's mother will receive, but first, you need to know how many haircuts Mandy's mother paid for.	You are trying to figure out how many cups of sugar Billy and Suzy used, but first, you need to know how many pitchers of lemonade they have made.	You are looking for number of pink eggs Jenny needs to get the Nokemop cards, but first, you need to know how many Nokemop cards Jenny wants. 	Amelia wants to know how many laps she ran in her challenge, but first, she needs to know how long she have been running.	You are looking for how far the snail would travel while you are watching it, but first, you need to know for how long you would be watching the snail. 	You are trying to figure out how many ice chips Andrew needs so that he won't run out of ice today, but first, you need to know how many cups of lemonade Andrew must sell.	You are looking for the number of loops Uncle Sam's weird clock has made so far, but first, you need to know for how long the clock has been running.	Salma wants to know how much money she must spend on the balloons, but first, she needs to know how many balloons she must buy.	-
%(gvn3-h2)%	What is the one last thing that is known? Do you remember how many tomato plants you have this year?	What is the one last thing that is known? Do you remember how many bottles you bought today?	What is the one last thing that is known? Do you remember how many people are coming this year to Henry's party?	What is the one last thing that is known? Read this part of the statement carefully: On the day of the race, she must ride at the same speed but for 1 hour and 40 minutes.	What is the one last thing that is known? Do you remember the distance Bill measured on the map for his trip?	What is the one last thing that is known? Do you remember how many glasses of lemonade she sold just now?	What is the one last thing that is known? Do you remember how far New York City is from Pittsburgh?	What is the one last thing that is known? What did your friend say about how long he can stay?	What is the one last thing that is known? Do you remember how many bags of dog food the radio station gave to the shelter?	What is the one last thing that is known? Do you remember how many hair cuts Mandy's family got for the year?	What is the one last thing that is known? Do you remember how many pitchers of lemonade Billy and Suzzy sold?	What is the one last thing that is known? Do you remember how many Nokemop cards Jenny wanted to win?	What is the one last thing that is known? Do you remember how long Amelia ran for her challenge?	What is the one last thing that is known? Do you remember for how long you will be watching the snail?	What is the one last thing that is known? Do you remember how many glasses of lemonade the owner of the stand wants to sell?	What is the one last thing that is known? Do you remember how many minutes Uncle Sam's clock had been running?	What is the one last thing that is known? Do you remember what Salma wanted to buy?	-
%(gvn3-h3)%	Read this part of the statement carefully: If you have 27 tomato plants this year...	Read this part of the statement carefully: ...and you purchased 24 bottles of water today...	Read this part of the statement carefully: If 15 people are going to attend Henry's party this year...	Make sure you convert the hour into minutes; 1 hour and 40 minutes is equal to 60 minutes and 40 minutes. How many minutes is it in total?	Read this part of the statement carefully: If he measures the distance of his trip to be 200 inches on the map...	Read this part of the statement carefully: If she has now sold a total of 75 glasses of lemonade...	Read this part of the statement carefully: Bill is driving 400 miles from Pittsburgh to New York City.	Read this part of the statement carefully: ...but he must come back before 12 Saturn days have passed.	Read this part of the statement carefully: If the radio station has given the shelter a total of 8 small bags of dog food...	Read this part of the statement carefully: If Mandy's mom pays for her family to receive a total of 24 haircuts...	Read this part of the statement carefully: If they have followed the recipe and have sold 30 pitchers of lemonade...	Read this part of the statement carefully: If Jenny wants to win 27 Nokemop cards at the Easter Egg Hunt...	Read this part of the statement carefully: One day, she decided to give herself a challenge and ran at the same speed for total of 37.5 minutes.	Read this part of the statement carefully: If you could watch this snail for just 2 minutes...	Read this part of the statement carefully: If the owner of the stand wants to sell a total of 300 glasses of lemonade...	Read this part of the statement carefully: If the clock has been running for 120 minutes...	Read this part of the statement carefully: ...and she needs to buy 36 balloons.	- 
%(ans)%	180	12	30	60	202	6.75	8	5	28	8	48	90	9	13.2	900	18	12.75	3.50
%(ans-h1)%	Use the operation and operator to convert the original number of tomatoes that grew last year into the number of tomatoes that will grow this year.	Use the operation and operator to convert the cost of the water bottles from last week into the cost of water bottles today.	Use the operation and operator to convert number of cookies Henry baked last year into number of cookies he must bake this year.	Use the operation and operator to convert the miles of distance for the practice into miles of distance for the race.	Use the operation and operator to convert the inches of distance on the map into the miles of trip.	Use the operation and operator to convert the amount of earnings at the beginning into the amount of earning at the end.	Use the operation and operator to convert the speed of Bill's driving into the hours of Bill's trip	Use the operation and operator to convert the original number of Earth days.	Use the operation and operator to convert the original number of bags of dog food.	Use the operation and operator to convert the number of offered bottles of shampoo into the number of bottles of shampoo Mandy's mother will receive.	Use the operation and operator to convert the number of cups of sugar in the recipe into then number of cups of sugar that was actually used.	Use the operation and operator to convert the offered number of pink eggs into the number of pink eggs Jenny needs.	Use the operation and operator to convert the original number of laps into number of laps Amelia did for the challenge.	Use the operation and operator to convert the speed of the snail into the inches of trip while you watched.	Use the operation and operator to convert the planned number of ice chips into the total number of ice chips Andrew must provide.	Use the operation and operator to convert the original number of loops into the total number of loops.	Use the operation and operator to convert the cost of the balloons the store sells into the amount of money Salma must spend.	Use the scaling operation and scaling factor to scale down the original cost of the marbles.
%(ans-h2)%	The number of tomatoes expected is the number of tomatoes from last year multiplied by the operator you found.	The money you spent on the water bottles is the cost of water bottles from yesterday multiplied by the operator you found.	The number of cookies Henry must bake for this year's party is the number cookies baked last year divided by the operator you found.	The miles of distance the bicyclist must travel during the race is distance she traveled for practice multiplied by the operator you found.	The number of miles Bill must travel for his trip is miles represented by the scale on the map multiplied by the operator you found.	The amount of earning is amount of money your little sister earned in the beginning multiplied by the operator you found.	The number of hours of Bill's trip is one times the operator. One is from the number of hours in his driving speed.	The number of Earth days your friend can spend with you is number of Saturn days he can stay divided by the operator you found.	The number of cans of pet food donated to shelter is the original number of cans of pet food that must be donated for the offer from the radio station multiplied by the operator you found.	The number of free bottles of shampoo received is the original number of bottles of shampoo offered by the salon multiplied by the operator you found.	The number of cups of sugar used is the recipe's number of cups of sugar multiplied by the operator you found.	The number of pink eggs Jenny needs is the original number of pink eggs multiplied by the operator you found.	The number of laps Amelia did for challenge is the number of practice laps multiplied by the operator you found.	The distance the snail would travel in 2 minutes is inches of travel from the record divided by the operator you found.	The number of ice chips Andrew must provide to the owner is planned number of ice chips multiplied by the operator you found.	The number of loops Uncle Sam's clock made in 120 minutes is original number of loops multiplied by the operator you found.	The amont of money Salma must spend is the cost of the balloons sold in the store multiplied by the operator you found.	The cost of the marbles you want to buy is the selling cost of marbles multiplied by the scaling factor you found.
%(ans-h3)%	You are scaling the number of tomatoes from last year UP using the operator, 9, like this: 20 * 9 = ?	You are scaling the cost of water bottles from yesterday UP using the operator, 2, like this: 6 * 2 = ?	You are scaling the number of cookies baked from last year DOWN using the operator, 4, like this: 120 / 4 = ?	You are scaling the distance the bicyclist traveled for practice UP using the operator, 2, like this: 30 * 2 = ?	You are scaling the distance measured on the map UP using the operator, 4, like this: 50.5 * 4 = ?	You are scaling the amount of money your sister earned in the beginning UP using the operator, 3, like this: 2.25 * 3 = ?	You are scaling the number of hours of travel UP using the operator, 8, like this: 1 * 8 = ?	You are scaling the number of Earth days DOWN using the operator, 2, like this: 10 / 2 = ?	You are scaling the number of bags of dog food UP using the operator, 4, like this: 7 * 4 = ?	You are scaling the number of bottles of shampoo UP using the operator, 4, like this: 2 * 4 = ?	You are scaling the number of cups of sugar UP using the operator, 6, like this: 8 * 6 = ?	You are scaling the number of pink eggs UP using the operator, 9, like this: 10 * 9 = ?	You are scaling the number of practice laps UP using the operator, 3, like this: 3 * 3 = ?	You are scaling the distance of travel in the record DOWN using the operator, 3, like this: 39.6 / 3 = ?	You are scaling the number of ice chips for each cups of lemonade UP using the operator, 100, like this: 9 * 100 = ?	You are scaling the original number of loops UP using the operator, 6, like this: 3 * 6 = ?	You are scaling the store's cost of balloons UP using the operator, 3, like this: 4.25 * 3 = ?	-
%(ansF-h)%	How many tomatoes do you have this year?	How much money did you spend on water today?	How many gingerbread cookies does Henry need to make this year?	How many total miles can the bicyclist ride?	How many miles does Bill drive on his trip?	How much money has your little sister made?	How many hours does Bill have to drive?	How many days can your friend stay on Earth?	How many bags of dog food did the shelter receive?	How many free bottles of shampoo does Mandy's mom receive?	How many cups of sugar do Billy and Suzzy use?	How many pink colored eggs does Jenny need to find?	How many laps can Amelia run?	How many inches does the snail travel?	How many ice chips does Andrew need to provide?	How many times has the minute hand looped around the clock?	How much money will Salma spend on her balloons?	How much are 13 marbles?
%(good_job)%	Great job! You predicted how many tomatoes you would get this year. 	Good job! You figured out how much 24 water bottles would cost.	Great job! You helped Henry figure out how many cookies he must bake this year.	Great work! You found out the distance the bicyclist must race.	Great job! You helped Bill figure out how far he will be travelling on his trip.	Good job! You helped your little sister calculate the earnings she made from selling 75 glasses of lemonade.	Great work! Now you know how much time it would take for Bill to drive from Pittsburgh to New York City.	Great job! Now you can tell your friend how long he can stay on Earth. 	Good job! You figured out how many cans of pet food were donated to the shelter.	Great job! You helped Mandy's mom figure out how many free bottles of shampoo her family will receive this year. 	Good job! You helped Billy and Suzzy figure out how many cups of sugar they used to make the 30 pitchers of lemonade.	Great work! You helped Jenny figure out how many pink eggs she needs in order to get 27 Nokemop cards. 	Good job! Now you know how many laps Amelia ran for her challenge.	Great job! You found out how much distance the fastest snail would travel in 2 minutes. 	Good work! You figured out how many ice chips Andrew needs for 300 glasses of lemonade.	Great job! You figured out how many loops Uncle Sam's strange clock would make in 120 minutes.	Good job! You helped Salma figure out how much 36 balloons would cost.	Great job! You figured out how much 10 marbles would cost. 
%(operation)%	Operation	Operation	Operation	Operation	Operation	Operation	Operation	Operation	Operation	Operation	Operation	Operation	Operation	Operation	Operation	Operation	Operation	Operation
%(factor)%	Operator	Operator	Operator	Operator	Operator	Operator	Operator	Operator	Operator	Operator	Operator	Operator	Operator	Operator	Operator	Operator	Operator	Operator
%(skillset)%	7-12-conversion-factors	7-12-conversion-factors	7-12-conversion-factors	7-12-conversion-factors	7-12-conversion-factors	7-12-conversion-factors	7-12-conversion-factors	7-12-conversion-factors	7-12-conversion-factors	7-12-conversion-factors	7-12-conversion-factors	7-12-conversion-factors	7-12-conversion-factors	7-12-conversion-factors	7-12-conversion-factors	7-12-conversion-factors	7-12-conversion-factors	7-12-conversion-factors
%(gvn2-entered)%	enter-given-from	enter-given-from	enter-given-from	enter-given-from	enter-given-from	enter-given-from	enter-per1	enter-given-from	enter-given-from	enter-given-from	enter-given-from	enter-given-from	enter-given-from	enter-given-from	enter-given-from	enter-given-from	enter-given-from	enter-given-from
%(gvn2-skill-label)%	Enter given (from)	Enter given (from)	Enter given (from)	Enter given (from)	Enter given (from)	Enter given (from)	Recognize unit rate	Enter given (from)	Enter given (from)	Enter given (from)	Enter given (from)	Enter given (from)	Enter given (from)	Enter given (from)	Enter given (from)	Enter given (from)	Enter given (from)	Enter given (from) 
%(-8126396755689529665)%	Read this part of the statement carefully: Last year, you had 3 tomato plants, which produced a total of 20 tomatoes.	Read this part of the statement carefully: Last week you purchased 12 bottles of water, on which you spent $6.00.	Read this part of the statement carefully: Last year, 60 people attended Henry's New Year's Eve party, for which Henry baked 120 gingerbread cookies.	Read this part of the statement carefully: A bicyclist likes to practice for a race by riding a distance of 30 miles in 50 minutes every morning.	Read this part of the statement carefully: ...there is a 2 inch-long scale that represents 50.5 miles.	Read this part of the statement carefully: The day that she started the stand, she sold 25 glasses of lemonade and made $2.25.	50 miles per hour means Bill can travel 50 miles in one hour. 	Read this part of the statement carefully: After 24 days passed on Saturn, you returned home to find that only 10 days had passed on Earth.	Read this part of the statement carefully: The people at the radio station offered to give the shelter 2 small bags of dog food...	Read this part of the statement carefully: ...for every 6 haircuts that a customer pays for at the salon, the customer will receive 2 free bottles of shampoo.	Read this part of the statement carefully: The recipe that they are using to make the lemonade requires 8 cups of sugar for every 5 pitchers of lemonade that is made.	Read this part of the statement carefully: One of the town's special prize offers states that for every 10 pink colored eggs a resident finds, he or she can win 3 Nokemop cards.	Read this part of the statement carefully: Amelia can run around her school's track at a speed of 3 laps every 12.5 minutes.	Read this part of the statement carefully: The fastest snail ever recorded could travel at a speed of 39.6 inches in 6 minutes.	Read this part of the statement carefully: Andrew has planned to give 9 ice chips for every 3 glasses of lemonade...	Read this part of the statement carefully: The clock's minute hand loops around the clock at a rate of 3 loops every 20 minutes.	Read this part of the statement carefully: ...each pack of 12 balloons costs $4.25.	-
%(-6411276830810430815)%	Do you remember what you planted last year and how many tomatoes grew? What was the number of tomatoes that were produced?	Do you remember what you purchased last week? What was the cost of the water bottles you bought?	Do you remember what Henry did for his New Year's Eve part last year? How many people attended Henry's party last year?	Do you remember what the bicyclist likes to do when she practices for a race? How far does she bike every morning when practicing for a race?	Do you remember what the scale on the map is supposed to represent? How many inches long is the scale?	Do you remember how well she was doing the day she started running her lemonade stand? How much money did she earn during that time?	Can you write the speed (miles per hour) as the distance traveled in a given amount of time? Think about what 'per hour' means.	Do you remember how much time passed on Earth while you visited your friend in Saturn?	Do you remember what the radio station offered? What was the number of cans of pet food they wanted for the offer?	Do you remember what Hair-Be-Gone Hair Salon's special offer was? What was the number of free bottles of shampoo the salon will give for the offer?	Do you remember the recipe Billy and Suzzy followed? How many cups of sugar is needed to make 5 pitchers of lemonade?	Do you remember what the special prize offer was? How many cards do you receive for 10 pink colored eggs?	Do you remember how fast Amelia can run? How many laps can she run in 12.5 minutes?	Do you remember the speed recorded for the fastest snail? What was the distance the snail travelled in 6 minutes?	Do you remember what Andrew planned to do? How many glasses of lemonade was Andrew planning to provide for 9 chips of ice?	Do you remember how many loops Uncle Sam's clock makes in 20 minutes?	Do you remember what the store sells? What was the cost of balloons they sell?	Do you remember what the store sells? What was the cost of marbles they sell?
%(-2130351708502667082)%	Great job! You predicted how many tomatoes you would get this year. 	Good job! You figured out how much 24 water bottles would cost.	Great job! You helped Henry figure out how many cookies he must bake this year.	Great work! You found out the distance the bicyclist must race.	Great job! You helped Bill figure out how far he will be travelling on his trip.	Good job! You helped your little sister calculate the earnings she made from selling 75 glasses of lemonade.	Great work! Now you know how much time it would take for Bill to drive from Pittsburgh to New York City.	Great job! Now you can tell your friend how long he can stay on Earth. 	Good job! You figured out how many cans of pet food were donated to the shelter.	Great job! You helped Mandy's mom figure out how many free bottles of shampoo her family will receive this year. 	Good job! You helped Billy and Suzzy figure out how many cups of sugar they used to make the 30 pitchers of lemonade.	Great work! You helped Jenny figure out how many pink eggs she needs in order to get 27 Nokemop cards. 	Good job! Now you know how many laps Amelia ran for her challenge.	Great job! You found out how much distance the fastest snail would travel in 2 minutes. 	Good work! You figured out how many ice chips Andrew needs for 300 glasses of lemonade.	Great job! You figured out how many loops Uncle Sam's strange clock would make in 120 minutes.	Good job! You helped Salma figure out how much 36 balloons would cost.	Great job! You figured out how much 10 marbles would cost. 
%(-1934125337180675039)%	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.
%(5828329217989614366)%	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the number of tomatoes. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%> 	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the cost of bottles. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the number of people. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the distance in miles. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the miles of the trip. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the amount of earnings. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the hours of the trip. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the number of Earth days. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the number of cans of pet food. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the number of bottle of shampoo. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the cups of sugar. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the pink eggs. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the number of laps. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the inches traveled. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the number of glasses of lemonade. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the number of number of loops. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the cost of balloons. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%> 	<%=ifThen(hasValue(SO2),You've already chosen a correct scaling operation for the cost. Since you need to scale both numbers equally, you should use the same operation here.,Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%> 
%(-5166532556208710060)%	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.
%(2294776620999457305)%	"Wrong! This number belongs to ""Last Year"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Last Week"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Last Year"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Practice"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Scale"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Start"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Speed"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Your visit"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Offer"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Offer"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Recipe"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Prize Offer"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Speed"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Speed"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Plan"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""Rate"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""They sell"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."	"Wrong! This number belongs to ""They sell"" side of the boxes. For this side of the box, try finding the number that can be obtained after scaling."
%(4071997692195234919)%	Use the operation and operator to convert the original number of tomatoes that grew last year into the number of tomatoes that will grow this year.	Use the operation and operator to convert the cost of the water bottles from last week into the cost of water bottles today.	Use the operation and operator to convert number of cookies Henry baked last year into number of cookies he must bake this year.	Use the operation and operator to convert the miles of distance for the practice into miles of distance for the race.	Use the operation and operator to convert the inches of distance on the map into the miles of trip.	Use the operation and operator to convert the amount of earnings at the beginning into the amount of earning at the end.	Use the operation and operator to convert the speed of Bill's driving into the hours of Bill's trip	Use the operation and operator to convert the original number of Earth days.	Use the operation and operator to convert the original number of bags of dog food.	Use the operation and operator to convert the number of offered bottles of shampoo into the number of bottles of shampoo Mandy's mother will receive.	Use the operation and operator to convert the number of cups of sugar in the recipe into then number of cups of sugar that was actually used.	Use the operation and operator to convert the offered number of pink eggs into the number of pink eggs Jenny needs.	Use the operation and operator to convert the original number of laps into number of laps Amelia did for the challenge.	Use the operation and operator to convert the speed of the snail into the inches of trip while you watched.	Use the operation and operator to convert the planned number of ice chips into the total number of ice chips Andrew must provide.	Use the operation and operator to convert the original number of loops into the total number of loops.	Use the operation and operator to convert the cost of the balloons the store sells into the amount of money Salma must spend.	Use the scaling operation and scaling factor to scale down the original cost of the marbles.
%(77047411939768651)%	How do you get from 3 plants to 27 plants?	How do you get from 12 bottles to 24 bottles?	How do you get from 60 people to 15 people?	How do you get from 50 minutes to 100 minutes?	How do you get from 2 inches to 200 inches?	How do you get from 25 glasses to 75 glasses of lemonade?	How do you get from 50 miles to 400 miles?	How do you get from 24 Saturn days to 12 Saturn days?	How do you get from 2 bags to 8 bags of dog food?	How do you get from 6 haircus to 24 haircuts?	How do you get from 5 pitchers to 30 pitchers of lemonade?	How do you convert from 3 cards to 27 cards?	How do you get from 12.5 minutes to 37.5 minutes?	How do you get from 6 minutes to 2 minutes?	How do you get from 3 glasses to 300 glasses of lemonade?	How do you get from 20 minutes to 120 minutes?	How do you get from 12 balloons to 36 balloons?	How do you get from 20 marbles to 10 marbles?
%(-7538229578606087202)%	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.
