Problem Name	00intro	01circleArea	02circleCirc	03square	04circle	05circle	06circle	07circle	08circle	09fence	10pool	11semicircle	12add	13add	14subtract	15subtract	16quarterCircle	17star	18shaded	19shaded	20pill	21mix	22mix	23shaded	24tail	25shaded	26icecream
%(q1c-h4)%	-	-	"<%=ifThen(hasValue(q1b),""R^2 * pi&nbsp;= 100 * 3.14. Enter the expression into the highlighted box to calculate the area of the circle."","""")%>"	"<%=ifThen(hasValue(q1a),""A side of the square ABCD is 10 cm long. Therefore, ABCD's perimeter is '10+10+10+10' or '4*10' long. Enter either of the expression into the highlighted box."",""Uh oh! We cannot give you more hints because you have either not entered the value for the side of the square yet, or entered it incorrectly."")%>"	"<%=ifThen(hasValue(q1b),""R^2 * pi&nbsp;= 9 * 3.14. Enter the expression into the highlighted box to calculate the area of the circle."","""")%>"	"<%=ifThen(hasValue(q1b),""2R * pi&nbsp;= 14 * 3.14. Enter the expression into the highlighted box to calculate the circumference of the circle."","""")%>"	-	-	-	-		-	-	"<%=ifThen(hasValue(q1a,q1b),""Area of the complex shape is 'semicircle' + square'&nbsp;= 39.25 + 100. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because you have not found the areas of the semicircle and the square."")%>"	-	"<%=ifThen(hasValue(q1a,q1b),""Area of the complex shape is 'rectangle' - circle'&nbsp;= 252 - 113.04. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because you have not found the areas of the circle and the rectangle."")%>"	"<%=ifThen(hasValue(q1b),""The circumference of the full circle is 43.96 cm. 1/4 of the circumference gives you the length of arc CD on the the quarter-circle: 43.96 / 4. Enter the expression into the highlighted box."","""")%>"	-	-	"<%=ifThen(hasValue(q1a,q1b),""Area of the circle is '6^2 * pi', and the area of the square is '12^2'. Therefore, the shaded area is found by: 'square' - circle'&nbsp;= 12^2 - (6^2 * pi). Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints. Enter the length of the circle's radius and the square's side and then come back to this box."")%>"	"<%=ifThen(hasValue(q1b),""To square a value, simply multiply the number by itself. Area(A)&nbsp;= R^2 * pi&nbsp;= R * R * pi, which is 3*3 * pi. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	-		-	"The rectangle's base is 12 in, and the height is 7 in. Find the rectangle's area by multiplying the base and the height: 12 * 7. Enter the expression into the highlighted box."	"<%=ifThen(hasValue(q1a),""The diameter is 8 in long. Therefore, the radius is 8/2&nbsp;= 4 in long. Now, the area of the semicircle is: Area(A)&nbsp;= (R^2 * pi) / 2&nbsp;= (R * R * pi) / 2&nbsp;= (4*4 * pi) / 2."",""Uh oh! We cannot give you more hints because either you have not entered the length of the diameter, or entered it incorrectly."")%>"	"<%=ifThen(hasValue(q1b),""Find the area of the semicircle: Area(A)&nbsp;= (R^2 * pi) / 2&nbsp;= (R * R * pi) /2 , which is (1*1 * pi) / 2. Make sure you replace 'pi' with its approximate value of 3.14 when entering the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"
%(q1d-h1)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	A perimeter is the sum of the lengths of all sides of a figure.	-	-	-	Enter area of the rectangle here. 	-	The complex shape is made by addition of 3 semicircles and a square.	-	"Enter the area of the wooden tail here. There are no simple formulas for finding areas of complex shapes, but think about what shapes make up the wooden tail. "	Enter area of the rectangle here. 	"Enter the area of the ice cream poster here. There are no simple formulas for finding areas of complex shapes, but think about what shapes make up the ice cream shape."
%(q1d-h2)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	What are the sides (or curves) on the quarter-circle?	-	-	-		-	"<%=ifThen(hasValue(q1c),""You have correctly found the areas of 3 semicircles. Add it with the area of the square to find the area of the complex shape!"",""What are the areas of 3 semicircles and the square?"")%> "	-	The complex shape is made by subtracting two triangles from a rectangle.		The complex shape is made by addition of a semicircle and a triangle.
%(q1d-h3)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"The quarter-circle has, segment CO, segment DO, and arc CD. If you add the lengths of all these sides (or curves), you will get the length of the perimeter."	-	-	-	"Find the area of the rectangle using this formula: area(A)&nbsp;= b * h, where ""b"" represents the base, and ""h"" represents the height. What is the length of the rectangles base and height? Are they given in the problem statement?"	-	"<%=ifThen(hasValue(q1c),""Now, add it with the area of the 3 semicircles."",""Uh oh! We cannot give you more hints because you have not found the areas of 3 semicircles."")%>"	-	"<%=ifThen(hasValue(q1a,q1b,q1c),""You have correctly found the areas of triangle #1, triangle #2 and the rectangle! Subtract triangle #1 and triangle #2 from the rectangle to find the area of the wooden-tail!"",""What are the areas of two triangle pieces to be cut off, and the rectangular wooden piece?"")%> "	"Find the area of the rectangle using this formula: area(A)&nbsp;= b * h, where ""b"" represents the base, and ""h"" represents the height. What is the length of the rectangles base and height? Are they given in the problem statement?"	"<%=ifThen(hasValue(q1a,q1c),""You have correctly found the areas of the semicircle and the triangle! Add them together to find the area of the complex shape!"",""What are the areas of the semicircle and the triangle?"")%> "
%(q1d-h4)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(q1c),""Arc CD is 10.99 cm, Segment CO and segment DO has the length of the radius. Add them all up, and you get the perimeter!: 10.99 + 7 + 7."",""Uh oh! We cannot give you more hints because either you have entered the length of arc CD, or you entered it incorrectly."")%>"	-	-	-	"The rectangle's base is 13 cm, and the height is 6 cm. Find the rectangle's area by multiplying the base and the height: 13 * 6. Enter the expression into the highlighted box."	-	"<%=ifThen(hasValue(q1c),""The area of the complex shape is '3 semicircles' + 'square'&nbsp;= 117.75 + 10*10. Enter the expression into the highlighted box."","""")%>"	-	"<%=ifThen(hasValue(q1a,q1b,q1c),""Area of the complex shape is 'rectangle' - triangle #1' - 'triangle #2'&nbsp;= 84 - 10.5 - 21. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because you have not found the areas of the triangle #1, triangle #2, and the rectangle."")%>"	"The rectangle's base is 8 in, and the height is 10 in. Find the rectangle's area by multiplying the base and the height: 8 * 10. Enter the expression into the highlighted box."	"<%=ifThen(hasValue(q1a,q1c),""Area of the complex shape is 'semicircle' + triangle'&nbsp;= 4.5 + 1.57. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because you have not found the areas of the semicircle and the triangle."")%>"
%(q1e-h1)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"Enter the area of the complex shape here. There are no simple formulas for finding areas of complex shapes, but think about what shapes make up the complex shape."	-	-	-	-	"Enter the area of the complex shape here. There are no simple formulas for finding areas of complex shapes, but think about what shapes make up the complex shape."	-
%(q1e-h2)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	The complex shape is made by addition of 2 semicircles and a rectangle.	-	-	-	-	The complex shape is made by subtracting the semicircle from the rectangle.	-
%(q1e-h3)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(q1c,q1d),""You have correctly found the areas of 2 semicircles and the rectangle! Add them together to find the area of the complex shape!"",""What are the areas of 2 semicircles and the rectangle?"")%> "	-	-	-	-	"<%=ifThen(hasValue(q1c,q1d),""You have correctly found the areas of the semicircle and the rectangle! Subtract the semicircle from the rectangle to find the area of the complex shape!"",""What are the areas of the semicircle and the rectangle?"")%> "	-
%(q1e-h4)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(q1c,q1d),""Area of the complex shape is '2 semicircles' + rectangle'&nbsp;= 28.26 + 78. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because you have not found the areas of the semicircles and the rectangle."")%>"	-	-	-	-	"<%=ifThen(hasValue(q1c,q1d),""Area of the complex shape is 'rectangle' - semicircle'&nbsp;= 80 - 25.12. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because you have not found the areas of the semicircle and the rectangle."")%>"	-
%(q1f-h1)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	A perimeter is the sum of the lengths of all sides of a figure.	-
%(q1f-h2)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	What are the sides (or curves) on the purple region?	
%(q1f-h3)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"The purple region has arc AB, segment AD, segment DC, and segment CB. If you add the lengths of all these sides (or curves), you will get the length of the perimeter."	-
%(q1f-h4)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(q1a),""Arc AB = 12.56 in. Rest of the segments are simply either the height or the width of the rectangle. Add them all up, and you get the perimeter!: 12.56 + 10 + 10 + 8. Enter the expression into the highlighted area."",""Uh oh! We cannot give you anymore hints because you have not correctly entered the length of arc AB."")%>"	-
%(q2a-h1)%	Enter the length of the circle's radius here. 	This is step 1 of finding the area of the circle. Enter the length of the circle's radius here. 	-	"<%=ifThen(hasValue(q2b),""Solve for the length of the side (S) from the value of the area (S^2). You can do this by calculating backwards from the value of the area. Think of it as 'undoing' a move. How did you find the area of ABCD in question 1?"",""Solve for the length of the side from the value of the area."")%>"	-	-	Enter the length of the circle's radius here. 	Enter the length of the circle's radius here. 	Enter the length of the circle's radius here. 	Enter the length of the circle's radius here. 	-	Enter the length of the semicircle's radius here. 	Enter the length of the semicircle's diameter here. What information is given in this question?	-	Enter area of the square here. 	-	-	Enter the length of a side of the square here.	Enter the length of the circle's diameter here. What information is given in this question?	Enter the length of the circle's radius here. What information is given in this question?	-	"Which segments can be the triangle's base? Either BC or EC can be the triangle's base, but in this problem, lets use BC as the base."	-	"Which segment can be the triangle's base? Either FC or CE can be the triangle's base, but in this problem, lets use FC as the base."	-	-	-
%(q2a-h2)%	What is given in question 1? The 'Diagram Labels' row shows that segment BO is the radius. See if this segment's length is given. 	Radius is a segment that connects the circle's center to its circumference. 	-	"<%=ifThen(hasValue(q2b),""You found the area of ABCD by squaring the length of one of its sides. To 'undo' this, you must apply the inverse operation of 'squaring'. Inverse operation of 'squaring' is 'square root'!"",""The length of a side the square is not given. This means you must solve for it!"")%>"	-	-	What is given in question 1? The 'Diagram Labels' row shows that segment CO is the radius. See if this segment's length is given. 	What is given in question 1? The 'Diagram Labels' row shows that segment AO is the radius. See if this segment's length is given. 	What is given in question 1? The 'Diagram Labels' row shows that segment XQ is the radius. See if this segment's length is given. 	What is given in the question? The 'Diagram Labels' row shows that segment OD is the radius. See if this segment's length is given. 	-	What is given in the question? The 'Diagram Labels' row shows that segment OD is the radius. See if this segment's length is given. 	The problem statement gave you the length of a side of the square instead. Does this side have have any relationship with the diameter?	-		-	-	"ABCD is a square, so all 4 sides have the equal length. "	Either diameter or radius is given in the problem statement. Read the problem statement again to find out what it is.	Either diameter or radius is given in the problem statement. Read the problem statement again to find out what it is.	-	Take a look at what is given in the problem: segment CD and segment EC are given. Do either of them have any relationship with the triangle's base (BC)?	-	Take a look at what is given in the problem: a side of the square is given. Does this side have any relationship with the triangle's base (FC)?	-	-	-
%(q2a-h3)%	"If the radius is not given in the question, see if the diameter is given; 1/2 of a diameter makes 1 radius!"	What information is given in this question? Read question 1 again carefully.	-	"<%=ifThen(hasValue(q2b),""Not sure what a square root is? Look at this example: '3*3=9'. 9 is the square of 3, and 3 is the square root of 9!  What is the square root of the area, 25?"",""You can solve for the length of a side from the value of the square's area."")%>"	-	-	"If the radius is not given in the question, see if the diameter is given; 1/2 of a diameter makes 1 radius!"	"If the radius is not given in the question, see if the diameter is given; 1/2 of a diameter makes 1 radius!"	"If the radius is not given in the question, see if the diameter is given; 1/2 of a diameter makes 1 radius!"	"If the radius is not given in the question, see if the diameter is given; 1/2 of a diameter makes 1 radius!"	-	"If the radius is not given in the question, see if the diameter is given; 1/2 of a diameter makes 1 radius!"	Yes it does! Review the diagram again; notice how the semicircle's diameter fits perfectly onto one of the square's sides. This means the semicircle's diameter and the square's side have the same length.	-		-	-	What information is given in this question? Read the question again carefully.	Remember: 1 diameter is made of 2 radii!	Remember: a radius is 1/2 of a diameter!	-	"Yes it does! Notice how the triangle's base (BC) fits perfectly onto a side of ABCD, a square. This means the triangle's base and a side of the square has the same length."	-	"Yes it does! Review this part of the problem statement again: ""Point F and E are the midpoints of the sides of the square."" This means segment FC is half as long as DC."	-	-	-
%(q2a-h4)%	"The radius is given, and it is 3 cm long. Enter it into the highlighted box."	The radius is 2 inches long. Enter it into the highlighted box. 	-	"<%=ifThen(hasValue(q2b),""Take the square root of the area (25 sq. cm) by entering this expression into the highlighted box: |25. (The box will calculate for you.)"",""Uh oh! We cannot give you more hints because you have either not entered the value for the area of the square, or entered it incorrectly."")%>"	-	-	"The radius is given, and it is 12 cm long. Enter it into the highlighted box."	"The diameter is given instead, and it is 12 in long. Get the length of the radius from it by dividing it by 2."	"The diameter is given instead, and it is 22 mm long. Get the length of the radius from it by dividing it by 2."	"The radius is given, and it is 10 ft long. Enter it into the highlighted box."	-	"The diameter is given instead, and it is 20 cm long. Get the length of the radius from it by dividing it by 2."	"A side of the square is 6 in. Therefore, the semicircle's diameter is also 6 in."	-	"Find the area of the square using this formula: area(A)&nbsp;= S*S, where ""S"" represents the length of one of the sides of the square. A side of the square is 9 ft long. Therefore: area(A)&nbsp;= 9 * 9. Enter the expression into the highlighted box."	-	-	The length of one of the sides of ABCD is 20 centimeters long. Enter it into the highlighted box.	The diameter is 3 in long.	The radius is 2.5 in long.	-	"Since one of ABCD is a square, all 4 of its sides have the same length. Therefore, if CD is 9 cm, BC is also 9 cm, and look! BC is the triangle's base!"	-	"The length of the base of the yellow triangle, FC, is half of the length of a side of the square: 10 / 2&nbsp;= 5 cm."	-	-	-
%(q2b-h1)%	Enter the length of the circle's diameter here.	This is step 2 of finding the area of the circle. Enter the square of the length of the radius here. 	-	Enter the area of the square here. 	-	-	Enter the length of the circle's diameter here. 	Enter the length of the circle's diameter here. 	Enter the length of the circle's diameter here. 	Enter the value of the circle's area here. 	-	Imagine a full circle before it became the semicircle you see in this problem What would be its area? 	Enter the length of the semicircle's radius here. What information is given in this question?	-	Enter the length of the circle's radius here. What information is given in this question?	-	-	Enter area of the square here. 	Enter the length of the circle's radius here. What information is given in this question?	"Enter the length of a side of the square here. The length of a side of ABCD is not given, but see what information is given in this question. "	-	"Which segments can be the triangle's height? Either EC or BC can be the triangle's height, but in this problem, lets use EC as the height."	-	"Which segment can be the triangle's height? Either FC or CE can be the triangle's height, but in this problem, lets use CE as the height."	-	-	-
%(q2b-h2)%	"Remember, 2 radii make 1 diameter on a circle. <%=ifThen(hasValue(q2a),""And looks like you do know the length of the radius. Simply double the length of the radius's length, and you will have the length of the diameter."",""But you are missing the correct value for the radius."")%>"	"Do you know how to square a value? To square a value, simply multiply the number by itself! For example, '3 squared' is 9, because 3*3&nbsp;= 9. "	-	What information is given in this question? Read question 2 again carefully.	-	-	What is given in question 1? The 'Diagram Labels' row shows that segment CD is the diameter. See if this segment's length is given. 	What is given in question 1? The 'Diagram Labels' row shows that segment AB is the diameter. See if this segment's length is given. 	What is given in question 1? The 'Diagram Labels' row shows that segment XY is the diameter. See if this segment's length is given. 		-		The problem statement gave you the length of a side of the square instead. Does this side have any relationship with the radius?	-	Either diameter or radius is given in the problem statement. Read the problem statement again to find out what it is.	-	-		Either diameter or radius is given in the problem statement. Read the problem statement again to find out what it is.	The problem statement gave you the length of the radius from the circle instead. Does the radius have any relationship with the side of the square?	-	What information is given in this question? Read the question again carefully.	-	Take a look at what is given in the problem: a side of the square is given. Does this side have any relationship with the triangle's height (CE)?	-	-	-
%(q2b-h3)%	"<%=ifThen(hasValue(q2a),""The radius of the circle is 3 cm. Therefore, the diameter is: 3 * 2&nbsp;= 6 cm."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	"Now, square the value of the radius by multiplying it by itself."	-	The area of the square ABCD is given as 25 square centimeters.	-	-	"If the diameter is not given in the question, see if the radius is given; 2 radii make 1 diameter!"	"If the diameter is not given in the question, see if the radius is given; 2 radii make 1 diameter!"	"If the diameter is not given in the question, see if the radius is given; 2 radii makes 1 diameter!"	You can find the area of the circle by: A&nbsp;= R^2 * pi. 'R^2' means 'square the radius'. Do you remember how to square a value?	-	You can find the area of the circle by: A&nbsp;= R^2 * pi. 'R^2' means 'square the radius'. Do you remember how to square a value?	"Yes it does! Review the diagram again; notice how the semicircle's diameter fits perfectly onto one of the square's sides. This means the semicircle's diameter and the square's side have the same length, and remember: a radius is 1/2 of a diameter!"	-	Remember: a radius is 1/2 of a diameter!	-	-		Remember: a radius is 1/2 of a diameter!	Yes it does! Review the diagram again; notice how the circle fits tightly into the square. This means the diameter of the circle has the same length as the square's length or width.	-	"The length the triangle's height (EC) is given, and it is 3 centimeters long. Enter it into the highlighted box."	-	"Yes it does! Review this part of the problem statement again: ""Point F and E are the midpoints of the sides of the square."" This means segment CE is half as long as CB."	-	-	-
%(q2b-h4)%		"<%=ifThen(hasValue(q2a),""The square of the radius is 2^2&nbsp;= 2 * 2&nbsp;= 4."",""Uh oh! We cannot give you more hints because you have either not entered the value for the radius yet, or entered it incorrectly."")%>"	-		-	-	"The radius is given instead, and it is 12 cm. Get the length of the diameter from it by multiplying it by 2."	"The diameter is given, and it is 12 in long. Enter it into the highlighted box."	"The diameter is given, and it is 22 mm long. Enter it into the highlighted box."	"<%=ifThen(hasValue(q2a),""To square a value, simply multiply the number by itself. Area(A)&nbsp;= R^2 * pi&nbsp;= R * R * pi, which is 10*10 * pi. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	-	"<%=ifThen(hasValue(q2a),""To square a value, simply multiply the number by itself. Area(A)&nbsp;= R^2 * pi&nbsp;= R * R * pi, which is 10*10 * pi. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	"A side of the square is 6 in. Therefore, the semicircle's diameter is also 6 in, which makes the semicircle's radius: 6 / 2&nbsp;= 3 in."	-	The radius is 2 ft long.	-	-	"Find the area of the square using this formula: area(A)&nbsp;= S*S, where ""S"" represents the length of one of the sides of the square. A side of the square is 20 cm long. Therefore: area(A)&nbsp;= 20 * 20. Enter the expression into the highlighted box."	The radius is 1.5 in long.	"The diameter of the circle is twice as long as is radius (2.5 in). Therefore the diameter is 5 in long. Since the diameter and a side of the square have the same length, a side of ABCD is also 5 in long."	-		-	"The length of the height of the yellow triangle, CE, is half of the length of a side of the square: 10 / 2&nbsp;= 5 cm."	-	-	-
%(q2c-h1)%	Enter the value of the circle's area here. 	"This is step 3, the last step, of finding the area of the circle. Enter the value of the circle's area here."	-	Enter the perimeter of the square here. 	-	-	Enter the square of the radius's length here. 	Enter the value of the circle's area here. 	Enter the value of the circle's area here. 	Enter the value of the circle's circumference here. 	-	Enter the semicircle's area here. 	"Enter the semicircle's area here. Semicircle is a half of a full circle. This means, you can find the area of a semicircle by dividing an area of a full circle in half! "	-	Enter the value of the circle's area here. 	-	-	Enter the length of the quarter-circle's radius here. What information is given in this question?	Enter the value of the circle's area here. 	"Enter the area of the complex shape here. There are no simple formulas for finding areas of complex shapes, but think about what shapes make up the complex shape."	-	Enter area of the triangle here. 	-	Enter area of the triangle here. 	-	-	-
%(q2c-h2)%		"<%=ifThen(hasValue(q2b),""You've correctly entered the square of the radius. What is the last thing you must multiply to 4 in order to get the area?"",""Uh oh! We cannot give you more hints because you have either not squared the radius yet, or squared it incorrectly."")%>"	-	A perimeter is the sum of the lengths of all the sides of a geometry. Find the perimeter of ABCD by adding up the length of all of its 4 sides.	-	-	"Do you know how to square a value? To square a value, simply multiply the number by itself! For example, '3 squared' is 9, because 3*3&nbsp;= 9. "			" You can find the circumference using either the radius or the diameter. If you only have the length of the radius, just multiply it by 2 to get the diameter."	-	"Semicircle is a half of a full circle. This means, you can find the area of a semicircle by dividing an area of a full circle in half! "	" Once you have the expression for finding the area of the full circle, simply add division of 2 to get the area of the semicircle. "	-		-	-	The problem statement gave you the length of a side of the square instead. Does this side have any relationship with the radius?		The complex shape is made by subtracting the circle from the square.	-		-		-	-	-
%(q2c-h3)%	You can find the area of the circle by: A&nbsp;= R^2 * pi. 'R^2' means 'square the radius'. Do you remember how to square a value?	"<%=ifThen(hasValue(q2b),""Take a look at the formula for finding the area (A) of the circle: it is 'R^2 * pi' (radius squared times pi). So all you have to do is multiply your value of R^2 by pi."","""")%>"	-	"<%=ifThen(hasValue(q2a),""To get the perimeter of the square, add the lengths of all 4 sides together, or use the quicker way; multiply the length of one of the side by 4."",""You have not correctly entered the length of a side of the square. How will you find the perimeter without knowing the length of any of the side of the square?"")%>"	-	-	"Now, square the value of the radius by multiplying it by itself."	You can find the area of the circle by: A&nbsp;= R^2 * pi. 'R^2' means 'square the radius'. Do you remember how to square a value?	You can find the area of the circle by: A&nbsp;= R^2 * pi. 'R^2' means 'square the radius'. Do you remember how to square a value?	"Find the circumference with a diameter(D) : C&nbsp;= D*pi. Or, with a radius(R), C&nbsp;= 2R*pi. Remember, the only thing you really need to figure out is the length of '2R' or 'D'!"	-	"<%=ifThen(hasValue(q2b),""You found the area of the full circle correctly. Now, all you have to do is divide it by half to get the area of a semicircle."",""Uh oh! We cannot give you more hints because either you have not entered the value of the full-circle's area, or you entered it incorrectly."")%>"	"To find an area of a semicircle, take the area-formula for a full circle, 'A&nbsp;= R^2 * pi', and divide by 2: '(R^2 * pi) / 2'. Do you still remember how to calculate 'R^2'? It means 'radius squared'. "	-	You can find the area of the circle by: A&nbsp;= R^2 * pi. 'R^2' means 'square the radius'. Do you remember how to square a value?	-	-	Yes it does! Review the diagram again; notice how radii of 2 quarter-circles fits perfectly onto a side of the square! This means 2 radii of the quarter-circle and the side of the square have the same length.	You can find the area of the circle by: A&nbsp;= R^2 * pi. 'R^2' means 'square the radius'. Do you remember how to square a value?	Subtract circle from square to find the area of the complex shape. What are the areas of the circle and the square?  	-	"Find the area of the triangle using this formula: area(A)&nbsp;= (b * h)/2, where ""b"" represents the base, and ""h"" represents the height. What is the triangle's base? What about the height?"	-	"Find the area of the triangle using this formula: area(A)&nbsp;= (b * h)/2, where ""b"" represents the base, and ""h"" represents the height. What is the triangle's base? What about the height?"	-	-	-
%(q2c-h4)%	"<%=ifThen(hasValue(q2a),""To square a value, simply multiply the number by itself. Area(A)&nbsp;= R^2 * pi&nbsp;= R * R * pi, which is 3 * 3 * pi. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	"<%=ifThen(hasValue(q2b),""R^2 * pi&nbsp;= 4 * 3.14. Enter the expression into the highlighted box to calculate the area of the circle."","""")%>"	-	"<%=ifThen(hasValue(q2a),""A side of the square ABCD is 5 cm long. Therefore, ABCD's perimeter is '5+5+5+5' or '4*5' long. Enter either of the expression into the highlighted box."",""Uh oh! We cannot give you more hints because you have either not entered the value for the side of the square yet, or entered it incorrectly."")%>"	-	-	"<%=ifThen(hasValue(q2a),""The square of the radius is 12^2&nbsp;= 12 * 12&nbsp;= 144."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	"<%=ifThen(hasValue(q2a),""To square a value, simply multiply the number by itself. Area(A)&nbsp;= R^2 * pi&nbsp;= R * R * pi, which is 6 * 6 * pi. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	"<%=ifThen(hasValue(q2a),""To square a value, simply multiply the number by itself. Area(A)&nbsp;= R^2 * pi&nbsp;= R * R * pi, which is 11 * 11 * pi. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	"<%=ifThen(hasValue(q2a),""Looks like you don't know the length of the diameter, but you can still use the radius to find the circumference: 2R * pi&nbsp;= 2*10 * 3.14. Enter the expression into the highlighted box."",""Uh oh! We cannot give you anymore hints. You have not entered something that is needed for calculating the circumference in this row."")%>"	-	"<%=ifThen(hasValue(q2b),""The area of the full circle is 314 sq. cm. Half of the area gives you the area of the semicircle: 314 / 2. Enter the expression into the highlighted area."","""")%>"	"<%=ifThen(hasValue(q2b),""Find the area of the semicircle: Area(A)&nbsp;= (R^2 * pi) / 2&nbsp;= (R * R * pi) /2 , which is (3 * 3 * pi) / 2. Make sure you replace 'pi' with its approximate value of 3.14 when entering the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	-	"<%=ifThen(hasValue(q2b),""To square a value, simply multiply the number by itself. Area(A)&nbsp;= R^2 * pi&nbsp;= R * R * pi, which is 2 * 2 * pi. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	-	-	"A side of the square is 20 cm. Since 2 radii fits perfectly into a side of the square, half of the length of the side is the length of the radius: 20 / 2&nbsp;= 10 cm."	"<%=ifThen(hasValue(q2b),""To square a value, simply multiply the number by itself. Area(A)&nbsp;= R^2 * pi&nbsp;= R * R * pi, which is 1.5 * 1.5 * pi. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	"<%=ifThen(hasValue(q2a,q2b),""Area of the circle is '2.5^2 * pi', and the area of the square is '5^2'. Therefore, the shaded area is found by: 'square' - circle'&nbsp;= 5^2 - (2.5^2 * pi). Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints. Enter the length of the circle's radius and the square's side and then come back to this box."")%>"	-	"<%=ifThen(hasValue(q2a,q2b),""The triangle's base is 9 cm, and the height is 3 cm. Find the triangle's area: (9 * 3)/2. Enter the expression into the highlighted box."",""Uh oh! We cannot give you anymore hints. Make sure you entered the lengths for both the base and the height of the triangle before coming back to this box."")%>"	-	"<%=ifThen(hasValue(q2a,q2b),""The triangle's base is 5 cm, and the height is 5 cm. Find the triangle's area: (5 * 5)/2. Enter the expression into the highlighted box."",""Uh oh! We cannot give you anymore hints. Make sure you entered the lengths for both the base and the height of the triangle before coming back to this box."")%>"	-	-	-
%(q2d-h1)%	Enter the value of the circle's circumference here. 	-	-	-	-	-	Enter the value of the circle's area here.	Enter the value of the circle's circumference here. 	Enter the value of the circle's circumference here. 	-	-	Imagine a full circle before it became the semicircle you see in this problem. What would be its circumference? 	Enter area of the square here. 	-	"Enter the area of the complex shape here. There are no simple formulas for finding areas of complex shapes, but think about what shapes make up the complex shape."	-	-	How would you find the total area of 4 quarter-circles combined? Think about what shape it makes if you arrange 4 quarter-circles together.	Enter area of the square here. 	-	-	Enter area of the square here. 	-	Enter area of the square here. 	-	-	-
%(q2d-h2)%	" You can find the circumference using either the radius or the diameter. If you only have the length of the radius, just multiply it by 2 to get the diameter."	-	-	-	-	-	"<%=ifThen(hasValue(q2c),""You've correctly entered the square of the radius. What is the last thing you must multiply to 144 in order to get the area?"",""Uh oh! We cannot give you more hints because either you have not squared the radius, or squared it incorrectly."")%>"	" You can find the circumference using either the radius or the diameter. If you only have the length of the radius, just multiply it by 2 to get the diameter."	" You can find the circumference using either the radius or the diameter. If you only have the length of the radius, just multiply it by 2 to get the diameter."	-	-	" You can find the circumference using either the radius or the diameter. If you only have the length of the radius, just multiply it by 2 to get the diameter."		-	The complex shape is made by subtracting the circle from the square.	-	-	"Quarter-circles are 1/4 of a full circle. That means, if you have 4 quarter-circles, you go back to a full circle! "		-	-		-		-	-	-
