Problem Name	00intro	01circleArea	02circleCirc	03square	04circle	05circle	06circle	07circle	08circle	09fence	10pool	11semicircle	12add	13add	14subtract	15subtract	16quarterCircle	17star	18shaded	19shaded	20pill	21mix	22mix	23shaded	24tail	25shaded	26icecream
%(q1a-h4)%	-	-	The radius is %(ansQ1a)% %(unit1word)% long. Enter it into the highlighted box. 	The length of one of the sides of ABCD is %(ansQ1a)% %(unit1word)% long. Enter it into the highlighted box.	The radius is %(ansQ1a)% %(unit1word)% long. Enter it into the highlighted box. 	Divide the diameter in half to get the length of the radius: %(calc-diameter)% / 2&nbsp;= %(ansQ1a)% %(unit1word)%. Enter it into the highlighted box. 	-	-	-	-	"<%=""""%>"	-	-	"Since the diameter is %(calc-diameter)% %(unt1)%, the radius is half of that length, %(calc-radius)% %(unt1)%. Find the area of the semicircle: Area(A)&nbsp;= (R^2 * pi) / 2&nbsp;= (R * R * pi) /2 , which is (%(calc-radius)%*%(calc-radius)% * pi) / 2."	-	"The rectangle's base is %(calc-base)% %(unt1)%, and the height is %(calc-height)% %(unt1)%. Find the rectangle's area by multiplying the base and the height: %(calc-base)% * %(calc-height)%. Enter the expression into the highlighted box."	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""A side of ABCD is %(ansQ1a)% %(unt1)%. Therefore, the %(shape1)%'s diameter is also %(ansQ1a)% %(unt1)%, which makes the %(shape1)%'s radius: %(ansQ1a)% / 2&nbsp;= %(ansQ1b)% %(unt1)%."",""The radius is %(ansQ1a)% %(unt1)% long."")%>"	-	-	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""A side of ABCD is %(ansQ1b)% %(unt1)%. Therefore, the %(shape1)%'s diameter is also %(ansQ1b)% %(unt1)%, which makes the %(shape1)%'s radius: %(ansQ1b)% / 2&nbsp;= %(ansQ1a)% %(unt1)%."",""The radius is %(ansQ1a)% %(unt1)% long."")%>"	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""The height of the %(shape2)% is %(ansQ1a)% %(unt1)%. Therefore, the %(shape1)%'s diameter is also %(ansQ1a)% %(unt1)%."",""The diameter is %(ansQ1a)% %(unt1)% long."")%>"	-	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""A side of the %(shape2)% is %(calc-diameter)% %(unt1)%. Therefore, the %(shape1)%'s diameter is also %(calc-diameter)% %(unt1)%, which makes the %(shape1)%'s radius: %(calc-diameter)% / 2&nbsp;= %(ansQ1a)% %(unt1)%."",""The radius is %(ansQ1a)% %(unt1)% long."")%>"	-	"Triangle 1's height is %(calc-height)% %(unt1)%, and the base %(calc-radius)% %(unt1)%.  Find the area of triangle 1: (base * height) / 2&nbsp;= (%(calc-radius)% * %(calc-height)%) / 2. Enter the expression into the highlighted box."	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""The base of the %(shape2)% is %(ansQ1a)% %(unt1)%. Therefore, the %(shape1)%'s diameter is also %(ansQ1a)% %(unt1)%."",""The diameter is %(ansQ1a)% %(unt1)% long."")%>"	"The triangle 's height is %(calc-height)% %(unt1)%, and the base %(calc-base)% %(unt1)%.  Substitute them into the formula to calculate the area: (base * height) / 2&nbsp;= (%(calc-base)% * %(calc-height)%) / 2. Enter the expression into the highlighted box."
%(q1b-h1)%	-	-	This is step 2 of finding the area of the circle. Enter the square of the length of the radius here. 	Enter the area of the square here. 	This is step 2 of finding the area of the circle. Enter the square of the length of the radius here. 	This is step 2 of finding the circumference of the circle. Enter the length of the diameter (2 radii) here. 	-	-	-	-	"You can solve for the radius (R) from the value of area (A) if you use inverse operations to ""undo"" the step you take finding the area: 1. squaring the radius, and 2. multiplying the result by pi."	-	-	Enter area of the square here. 	-	Enter the circle's area here. %(gloss-area-h1)%	Imagine a full circle before it became the %(shape1)% you see in this problem. What would be its circumference? %(gloss-cir-h1)%	-	-	Enter the length of a side of the square here.	Enter the length of the %(shape1)%'s radius here. What information is given in this question?	-	"Enter the semicircle's area here. Semicircle is a half of a full circle. This means, you can find the area of the semicircle by dividing an area of a full circle in half! "	-	Enter the area of triangle 2 here. %(gloss-area-h1)% %(gloss-area-h2)%	Enter the length of arc AB here. Arcs are not straight segments! Arcs are obtained by taking a piece from a full circle's circumference. 	Enter the length of the %(shape1)%'s radius here. What information is given in this question?
%(q1b-h2)%	-	-	"Do you know how to square a value? To square a value, simply multiply the number by itself! For example, '3 squared' is 9, because 3*3&nbsp;= 9. "	Think about how you find an area of a regular rectangle; it is 'base' * 'height'. What is the square's base and height?	"Do you know how to square a value? To square a value, simply multiply the number by itself! For example, '3 squared' is 9, because 3*3&nbsp;= 9. "	"If you know the length of the radius, you can easily find the length of the diameter; simply multiply the length of the radius by 2."	-	-	-	-	"<%=ifThen(hasValue(col1.q1a),""'Undo' the multiplication of pi by dividing pi away from the area: %(ansQ1a)%/pi. What next? What is left to 'undo'?"",""Uh oh! We cannot give you more hints because either you have not entered the value of the circle's area, or you entered it incorrectly."")%>"	-	-	%(gloss-box-h1)%	-	Having trouble substituting the length of the radius into the formula? Read the problem statement again to see what is given.	"%(gloss-cir-h2)% You can find the circumference using either the radius or the diameter. If you only have the length of the radius, just multiply it by 2 to get the diameter."	-	-	"ABCD is a square, so all 4 sides have the equal length. "	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""),""The problem statement gave you the lengths sides of the %(shape2)% instead. Do any of these sides have any relationship with the radius?"",""Either diameter or radius is given in the problem statement. Read the problem statement again to find out what it is."")%>"	-	"%(gloss-area-h1)% Once you have the expression for finding the area of the full circle, divide it by 2 to get the area of the semicircle. "	-	"Having trouble finding triangle 2's base (BC) and height (CD)? The triangle's height is the rectangle's height. Since the rectangle's height is %(calc-height)% %(unt1)%, the triangle's height is also %(calc-height)% %(unt1)%."	"Arcs are obtained by taking a piece from a full circle's circumference. Since Arc AB belongs to the %(shape1)% (1/2 of a circle), arc AB is the 1/2-piece of the full circle's circumference."	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""),""The problem statement gave you the lengths dimensions of the %(shape2)% instead. Do any of these sides have any relationship with the radius?"",""Either diameter or radius is given in the problem statement. Read the problem statement again to find out what it is."")%>"
%(q1b-h3)%	-	-	"Now, square the value of the radius by multiplying it by itself."	"<%=ifThen(hasValue(col1.q1a),""You have correctly entered the length of a side of ABCD as %(ansQ1a)% %(unt1)%. The square's base and height have the same length, so square '%(ansQ1a)%' to get the area of ABCD."",""Uh oh! We cannot give you more hints because you have either not entered the value for the side of the square yet, or entered it incorrectly."")%>"	"Now, square the value of the radius by multiplying it by itself."	"<%=ifThen(hasValue(col1.q1a),""The radii of the circle is %(ansQ1a)% %(unt1)% long. Therefore, the diameter (2 radii) is %(ansQ1b)% %(unt1)% long. Enter it into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	-	-	-	-	"<%=ifThen(hasValue(col1.q1a),""You still need to 'undo' the squaring. 'Undo' the squaring by taking the square root of '%(ansQ1a)%/pi'."","""")%>"	-	-	%(gloss-box-h2)%	-	"The radius is given as %(calc-radius)% %(unt1)%. Now, you can find the area of the circle by: A&nbsp;= R^2 * pi. 'R^2' means 'square the radius'. Do you remember how to square a value?"	"Find the circumference with a diameter(D) : C&nbsp;= D*pi. Or, with a radius(R), C&nbsp;= 2R*pi. Remember, the only thing you really need to figure out is the length of '2R' or 'D'!"	-	-	What information is given in this question? Read the question again carefully.	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""Yes it does! Notice how the %(shape1)%'s diameter fits perfectly onto the %(shape2)%'s height. This means the %(shape1)%'s diameter and the rectangle's height have the same length, and remember: a radius is 1/2 of a diameter!"",""Remember: a radius is 1/2 of a diameter!"")%>"	-	"To find an area of a semicircle, take the area-formula for a full circle, 'A&nbsp;= R^2 * pi', and divide by 2: '(R^2 * pi) / 2'. Do you still remember how to calculate 'R^2'? It means 'radius squared'. "	-	"For the triangle's base, review this part of the problem statement: ""The length of segment AB is the half of the width."" Get the length of the triangle's base by finding 1/2 of the length of the the rectangle's width: %(calc-base)% / 2&nbsp;= %(calc-diameter)% %(unt1)%."	"To get the 1/2-piece of the circumference of the full circle, think about the formula for finding the circumference, and then divide it by 2. %(gloss-cir-h1)%"	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""Yes it does! Review the diagram again; notice how the %(shape1)%'s diameter fits perfectly onto the %(shape2)%'s side. This means the %(shape1)%'s diameter and a square's side have the same length, and remember: a radius is 1/2 of a diameter!"",""Remember: a radius is 1/2 of a diameter!"")%>"
%(q1b-h4)%	-	-	"<%=ifThen(hasValue(col1.q1a),""The square of the radius is %(ansQ1a)%^2&nbsp;= %(ansQ1a)% * %(ansQ1a)%&nbsp;= %(ansQ1b)%."",""Uh oh! We cannot give you more hints because you have either not entered the value for the radius yet, or entered it incorrectly."")%>"	"<%=ifThen(hasValue(col1.q1a),""Square '%(ansQ1a)%' to get the area of ABCD: %(ansQ1a)%^2&nbsp;= %(ansQ1a)%*%(ansQ1a)%&nbsp;= %(ansQ1b)% %(unt2)%."","""")%>"	"<%=ifThen(hasValue(col1.q1a),""The square of the radius is %(ansQ1a)%^2&nbsp;= %(ansQ1a)% * %(ansQ1a)%&nbsp;= %(ansQ1b)%."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	"<%=""""%>"	-	-	-	-	"<%=ifThen(hasValue(col1.q1a),""Take the square root of the expression '%(ansQ1a)%/pi' by entering this expression into the highlighted box: |(%(ansQ1a)%/pi). (Make sure you replace 'pi' with its approximated value of 3.14)."","""")%>"	-	-	"Find the area of the square using this formula: area(A)&nbsp;= S*S, where ""S"" represents the length of one of the sides of the square. A side of the square is %(calc-height)% %(unt1)% long. Therefore: area(A)&nbsp;= %(calc-height)% * %(calc-height)%. Enter the expression into the highlighted box."	-	"To square a value, simply multiply the number by itself. Area(A)&nbsp;= R^2 * pi&nbsp;= R * R * pi, which is %(calc-radius)%*%(calc-radius)% * pi. Make sure you replace 'pi' with its approximate value of 3.14 when entering the expression into the highlighted box."	"<%=ifThen(hasValue(col1.q1a),ifThen(regExMatch(""%(gvntype1)%"",""diameter""),""Looks like you know the length of the diameter. Use it to find the circumference: D * pi&nbsp;= %(calc-diameter)% * 3.14. Enter the expression into the highlighted box."",""Looks like you don't know the length of the diameter, but you can still use the radius to find the circumference: 2R * pi&nbsp;= (2*%(calc-radius)%) * 3.14. Enter the expression into the highlighted box.""),""Uh oh! We cannot give you anymore hints. You have not entered something that is needed for calculating the circumference in this row."")%>"	-	-	The length of one of the sides of ABCD is %(ansQ1b)% %(unit1word)% long. Enter it into the highlighted box.	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""The height of the %(shape2)% is %(ansQ1a)% %(unt1)%. Therefore, the %(shape1)%'s diameter is also %(ansQ1a)% %(unt1)%, which makes the %(shape1)%'s radius: %(ansQ1a)% / 2&nbsp;= %(ansQ1b)% %(unt1)%."",""The radius is %(ansQ1b)% %(unt1)% long."")%>"	-	"<%=ifThen(hasValue(col1.q1a),""Find the area of the semicircle: Area(A)&nbsp;= (R^2 * pi) / 2&nbsp;= (R * R * pi) /2 , which is (%(calc-radius)%*%(calc-radius)% * pi) / 2. Make sure you replace 'pi' with its approximate value of 3.14 when entering the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	-	"Triangle 2's height is %(calc-height)% %(unt1)%, and the base %(calc-diameter)% %(unt1)%.  Find the area of triangle 2: (base * height) / 2&nbsp;= (%(calc-diameter)% * %(calc-height)%) / 2. Enter the expression into the highlighted box."	"<%=ifThen(hasValue(col1.q1a),""The length of arc AB is found by dividing the circumference of a full circle ( %(ansQ1a)%*pi ), and divide it by 2 like this: '(%(ansQ1a)%*pi) / 2'. Enter the expression into the highlighted box."",""Uh oh! We cannot give you anymore hints because either you have not entered the semicircle's diameter, or you entered it incorrectly."")%>"	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""A side of the %(shape2)% is %(calc-diameter)% %(unt1)%. Therefore, the %(shape1)%'s diameter is also %(calc-diameter)% %(unt1)%, which makes the %(shape1)%'s radius: %(calc-diameter)% / 2&nbsp;= %(ansQ1a)% %(unt1)%."",""The radius is %(ansQ1b)% %(unt1)% long."")%>"
%(q1c-h1)%	-	-	"This is step 3, the last step, of finding the area of the circle. Enter the value of the circle's area here."	Enter the perimeter of the square here. 	"This is step 3, the last step, of finding the area of the circle. Enter the value of the circle's area here."	"This is step 3, the last step, of finding the circumference of the circle. Enter the value of the circle's circumference here."	-	-	-	-	Enter the length of the circle's diameter here.	-	-	"Enter the area of the complex shape here. There are no simple formulas for finding areas of complex shapes, but think about what shapes make up the complex shape."	-	"Enter the area of the complex shape here. There are no simple formulas for finding areas of complex shapes, but think about what shapes make up the complex shape."	Enter the length of arc CD here. Arcs are not straight segments! Arcs are obtained by taking a piece from a full circle's circumference. 	-	-	"Enter the area of the complex shape here. There are no simple formulas for finding areas of complex shapes, but think about what shapes make up the complex shape."	How would you find the total area of 2 %(shape1)%s combined? Think about what shape it makes if you arrange 2 %(shape1)%s together.	-	How would you find the total area of 3 %(shape1)%s combined?	-	Enter area of the rectangle here. %(gloss-box-h1)%	"Enter the semicircle's area here. Semicircle is a half of a full circle. This means, you can find the area of the semicircle by dividing the area of a full circle in half! "	"Enter the semicircle's area here. Semicircle is a half of a full circle. This means, you can find the area of the semicircle by dividing the area of a full circle in half! "
%(q1c-h2)%	-	-	"<%=ifThen(hasValue(col2.q1b),""You've correctly entered the square of the radius. What is the last thing you must multiply to %(ansQ1b)% in order to get the area?"",""Uh oh! We cannot give you more hints because you have either not squared the radius yet, or squared it incorrectly."")%>"	A perimeter is the sum of the lengths of all the sides of a geometry. Find the perimeter of ABCD by adding up the length of all of its 4 sides.	"<%=ifThen(hasValue(col2.q1b),""You've correctly entered the square of the radius. What is the last thing you must multiply to %(ansQ1b)% in order to get the area?"",""Uh oh! We cannot give you more hints because either you have not squared the radius, or squared it incorrectly."")%>"	"<%=ifThen(hasValue(col2.q1b),""You've correctly entered the length of the diameter (2 radii). What is the last thing you must multiply to %(ansQ1b)% in order to get the circumference?"",""Uh oh! We cannot give you more hints because either you have not entered the length of the diameter, or entered it incorrectly."")%>"	-	-	-	-	"Remember, 2 radii make 1 diameter on a circle. <%=ifThen(hasValue(col2.q1b),""And looks like you do know the length of the radius. Simply double the length of the radius's length, and you will have the length of the diameter."",""But you are missing the correct value for the radius."")%>"	-	-	The complex shape is made by addition of a %(shape1)% and a %(shape2)%.	-	The complex shape is made by subtracting the %(shape1)% from the %(shape2)%.	"Arcs are obtained by taking a piece from a full circle's circumference. Since Arc CD belongs to the %(shape1)%, arc CD is the 1/4-piece of the circumference if the %(shape1)% was a full circle."	-	-	The complex shape is made by subtraction between a %(shape1)% and a %(shape2)%.	"%(shape1)%s are 1/2 of a full circle. That means, if you have 2 %(shape1)%s, you go back to a full circle! %(gloss-area-h1)%"	-	Don't think too hard! The area of 3 %(shape1)%s is found by multiplying  the area of one semicircle by 3.	-	%(gloss-box-h2)%	"%(gloss-area-h1)% Once you have the expression for finding the area of the full circle, divide it by 2 to get the area of the semicircle. "	"%(gloss-area-h1)% Once you have the expression for finding the area of the full circle, divide it by 2 to get the area of the semicircle. "
%(q1c-h3)%	-	-	"<%=ifThen(hasValue(col2.q1b),""Take a look at the formula for finding the area (A) of the circle: it is 'R^2 * pi' (radius squared times pi). So all you have to do is multiply your value of R^2 by pi."","""")%>"	"<%=ifThen(hasValue(col1.q1a),""To get the perimeter of the square, add the lengths of all 4 sides together, or use the quicker way: multiply the length of one of the side by 4."",""You have not correctly entered the length of a side of the square. How will you find the perimeter without knowing the length of any of the side of the square?"")%>"	"<%=ifThen(hasValue(col2.q1b),""Take a look at the formula for finding the area (A) of the circle: it is 'R^2 * pi' (radius squared times pi). So all you have to do is multiply your value of R^2 by pi."","""")%>"	"<%=ifThen(hasValue(col2.q1b),""Take a look at the formula for finding the circumference (C) of the circle: it is '2R * pi' (diameter times pi). So all you have to do is multiply 2R by pi."","""")%>"	-	-	-	-	"<%=ifThen(hasValue(col2.q1b),""The radius of the circle is %(ansQ1b)% %(unt1)%. Therefore, the diameter is: %(ansQ1b)% * 2&nbsp;= %(ansQ1c)% %(unt1)%."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	-	-	"<%=ifThen(hasValue(col1.q1a,col2.q1b),""You have correctly found the areas of the %(shape1)% and the %(shape2)%! Add them together to find the areas of the complex shape!"",""What are the areas of the %(shape1)% and the %(shape2)%?"")%> "	-	"<%=ifThen(hasValue(col1.q1a,col2.q1b),""You have correctly found the areas of the %(shape1)% and the %(shape2)%! Subtract the %(shape1)% from the %(shape2)% to find the area of the complex shape!"",""What are the areas of the %(shape1)% and the %(shape2)%?"")%> "	"<%=ifThen(hasValue(col2.q1b),""You found the circumference of the full circle correctly. Divide it by 4 to get the length of arc CD."",""Uh oh! We cannot give you more hints because either you have not entered the value of the full-circle's circumference, or you entered it incorrectly."")%>"	-	-	Subtract %(shape1)% from %(shape2)% to find the area of the complex shape. What is the area of the %(shape1)% and the %(shape2)%? %(gloss-area-h1)% 	You can find the area of the circle by: A&nbsp;= R^2 * pi. 'R^2' means 'square the radius'. Do you remember how to square a value?	-	"<%=ifThen(hasValue(col2.q1b),""You found the area of 1 semicircle correctly! Simple multiply it by 3 to get the total area of 3 semicircles combined: %(ansQ1b)% * 3. Enter the expression into the highlighted area."",""Uh oh! We cannot give you more hints because either you have not entered the value of the area for 1 semicircle, or you entered it incorrectly.."")%>"	-	"Find the area of the rectangle using this formula: area(A)&nbsp;= b * h, where ""b"" represents the base, and ""h"" represents the height. What is the length of the rectangles base and height? Are they given in the problem statement?"	"To find an area of a semicircle, take the area-formula for a full circle, 'A&nbsp;= R^2 * pi', and divide by 2: '(R^2 * pi) / 2'. If you only know the length the diameter, divide it by 2 to get the length of the radius."	"To find an area of a semicircle, take the area-formula for a full circle, 'A&nbsp;= R^2 * pi', and divide by 2: '(R^2 * pi) / 2'. Do you still remember how to calculate 'R^2'? It means 'radius squared'. "
%(q1c-h4)%	-	-	"<%=ifThen(hasValue(col2.q1b),""R^2 * pi&nbsp;= %(ansQ1b)% * 3.14. Enter the expression into the highlighted box to calculate the area of the circle."","""")%>"	"<%=ifThen(hasValue(col1.q1a),""A side of the square ABCD is %(ansQ1a)% %(unt1)% long. Therefore, ABCD's perimeter is '%(ansQ1a)%+%(ansQ1a)%+%(ansQ1a)%+%(ansQ1a)%' or '4*%(ansQ1a)%' long. Enter either of the expression into the highlighted box."",""Uh oh! We cannot give you more hints because you have either not entered the value for the side of the square yet, or entered it incorrectly."")%>"	"<%=ifThen(hasValue(col2.q1b),""R^2 * pi&nbsp;= %(ansQ1b)% * 3.14. Enter the expression into the highlighted box to calculate the area of the circle."","""")%>"	"<%=ifThen(hasValue(col2.q1b),""2R * pi&nbsp;= %(ansQ1b)% * 3.14. Enter the expression into the highlighted box to calculate the circumference of the circle."","""")%>"	-	-	-	-	"<%=""""%>"	-	-	"<%=ifThen(hasValue(col1.q1a,col2.q1b),""Area of the complex shape is '%(shape1)%' + %(shape2)%'&nbsp;= %(ansQ1a)% + %(ansQ1b)%. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because you have not found the areas of the %(shape1)% and the %(shape2)%."")%>"	-	"<%=ifThen(hasValue(col1.q1a,col2.q1b),""Area of the complex shape is '%(shape2)%' - %(shape1)%'&nbsp;= %(ansQ1a)% - %(ansQ1b)%. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because you have not found the areas of the %(shape1)% and the %(shape2)%."")%>"	"<%=ifThen(hasValue(col2.q1b),""The circumference of the full circle is %(ansQ1b)% %(unt1)%. 1/4 of the circumference gives you the length of arc CD on the the %(shape1)%: %(ansQ1b)% / 4. Enter the expression into the highlighted box."","""")%>"	-	-	"<%=ifThen(hasValue(col1.q1a,col2.q1b),""Area of the %(shape1)% is '%(ansQ1a)%^2 * pi', and the area of the %(shape2)% is '%(ansQ1b)%^2'. Therefore, the shaded area is found by: '%(shape2)%' - %(shape1)%'&nbsp;= %(ansQ1b)%^2 - (%(ansQ1a)%^2 * pi). Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints. Enter the length of the circle's radius and the square's side and then come back to this box."")%>"	"<%=ifThen(hasValue(col2.q1b),""To square a value, simply multiply the number by itself. Area(A)&nbsp;= R^2 * pi&nbsp;= R * R * pi, which is %(ansQ1b)%*%(ansQ1b)% * pi. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	-	"<%=""""%>"	-	"The rectangle's base is %(calc-base)% %(unt1)%, and the height is %(calc-height)% %(unt1)%. Find the rectangle's area by multiplying the base and the height: %(calc-base)% * %(calc-height)%. Enter the expression into the highlighted box."	"<%=ifThen(hasValue(col1.q1a),""The diameter is %(ansQ1a)% %(unt1)% long. Therefore, the radius is %(ansQ1a)%/2&nbsp;= %(calc-radius)% %(unt1)% long. Now, the area of the semicircle is: Area(A)&nbsp;= (R^2 * pi) / 2&nbsp;= (R * R * pi) / 2&nbsp;= (%(calc-radius)%*%(calc-radius)% * pi) / 2."",""Uh oh! We cannot give you more hints because either you have not entered the length of the diameter, or entered it incorrectly."")%>"	"<%=ifThen(hasValue(col2.q1b),""Find the area of the semicircle: Area(A)&nbsp;= (R^2 * pi) / 2&nbsp;= (R * R * pi) /2 , which is (%(calc-radius)%*%(calc-radius)% * pi) / 2. Make sure you replace 'pi' with its approximate value of 3.14 when entering the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"
%(q1d-h1)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	A perimeter is the sum of the lengths of all sides of a figure.	-	-	-	Enter area of the rectangle here. %(gloss-box-h1)%	-	The complex shape is made by addition of 3 %(shape1)%s and a %(shape2)%.	-	"Enter the area of the wooden tail here. There are no simple formulas for finding areas of complex shapes, but think about what shapes make up the wooden tail. "	Enter area of the rectangle here. %(gloss-box-h1)%	"Enter the area of the ice cream poster here. There are no simple formulas for finding areas of complex shapes, but think about what shapes make up the ice cream shape. "
%(q1d-h2)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	What are the sides (or curves) on the quarter-circle?	-	-	-	%(gloss-box-h2)%	-	"<%=ifThen(hasValue(col3.q1c),""You have correctly found the areas of 3 %(shape1)%s. Add it with the area of the square to find the area of the complex shape!"",""What are the areas of 3 %(shape1)%s and the %(shape2)%?"")%> "	-	The complex shape is made by subtracting two triangles from a %(shape3)%.	%(gloss-box-h2)%	The complex shape is made by addition of a %(shape1)% and a %(shape2)%.
%(q1d-h3)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"The quarter-circle has, segment CO, segment DO, and arc CD. If you add the lengths of all these sides (or curves), you will get the length of the perimeter."	-	-	-	"Find the area of the rectangle using this formula: area(A)&nbsp;= b * h, where ""b"" represents the base, and ""h"" represents the height. What is the length of the rectangles base and height? Are they given in the problem statement?"	-	"<%=ifThen(hasValue(col3.q1c),""%(gloss-box-h1)% %(gloss-box-h2)% Now, add it with the area of the 3 semicircles."",""Uh oh! We cannot give you more hints because you have not found the areas of 3 %(shape1)%s."")%>"	-	"<%=ifThen(hasValue(col1.q1a,col2.q1b,col3.q1c),""You have correctly found the areas of %(shape1)%, %(shape2)% and the %(shape3)%! Subtract %(shape1)% and %(shape2)% from the %(shape3)% to find the area of the wooden-tail!"",""What are the areas of two triangle pieces to be cut off, and the rectangular wooden piece?"")%> "	"Find the area of the rectangle using this formula: area(A)&nbsp;= b * h, where ""b"" represents the base, and ""h"" represents the height. What is the length of the rectangles base and height? Are they given in the problem statement?"	"<%=ifThen(hasValue(col1.q1a,col3.q1c),""You have correctly found the areas of the %(shape1)% and the %(shape2)%! Add them together to find the area of the complex shape!"",""What are the areas of the %(shape1)% and the %(shape2)%?"")%> "
%(q1d-h4)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(col3.q1c),""Arc CD is %(ansQ1c)% %(unt1)%, Segment CO and segment DO has the length of the radius. Add them all up, and you get the perimeter!: %(ansQ1c)% + %(calc-radius)% + %(calc-radius)%."",""Uh oh! We cannot give you more hints because either you have entered the length of arc CD, or you entered it incorrectly."")%>"	-	-	-	"The rectangle's base is %(calc-base)% %(unt1)%, and the height is %(calc-height)% %(unt1)%. Find the rectangle's area by multiplying the base and the height: %(calc-base)% * %(calc-height)%. Enter the expression into the highlighted box."	-	"<%=ifThen(hasValue(col3.q1c),""The area of the complex shape is '3 %(shape1)%s' + '%(shape2)%'&nbsp;= %(ansQ1c)% + %(calc-height)%*%(calc-height)%. Enter the expression into the highlighted box."","""")%>"	-	"<%=ifThen(hasValue(col1.q1a,col2.q1b,col3.q1c),""Area of the complex shape is '%(shape3)%' - %(shape1)%' - '%(shape2)%'&nbsp;= %(ansQ1c)% - %(ansQ1a)% - %(ansQ1b)%. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because you have not found the areas of the %(shape1)%, %(shape2)%, and the %(shape3)%."")%>"	"The rectangle's base is %(calc-base)% %(unt1)%, and the height is %(calc-height)% %(unt1)%. Find the rectangle's area by multiplying the base and the height: %(calc-base)% * %(calc-height)%. Enter the expression into the highlighted box."	"<%=ifThen(hasValue(col1.q1a,col3.q1c),""Area of the complex shape is '%(shape1)%' + %(shape2)%'&nbsp;= %(ansQ1a)% + %(ansQ1c)%. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because you have not found the areas of the %(shape1)% and the %(shape2)%."")%>"
%(q1e-h1)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"Enter the area of the complex shape here. There are no simple formulas for finding areas of complex shapes, but think about what shapes make up the complex shape."	-	-	-	-	"Enter the area of the complex shape here. There are no simple formulas for finding areas of complex shapes, but think about what shapes make up the complex shape."	-
%(q1e-h2)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	The complex shape is made by addition of 2 %(shape1)%s and a %(shape2)%.	-	-	-	-	The complex shape is made by subtracting the %(shape1)% from the %(shape2)%.	-
%(q1e-h3)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(col3.q1c,col4.q1d),""You have correctly found the areas of 2 %(shape1)%s and the %(shape2)%! Add them together to find the area of the complex shape!"",""What are the areas of 2 %(shape1)%s and the %(shape2)%?"")%> "	-	-	-	-	"<%=ifThen(hasValue(col3.q1c,col4.q1d),""You have correctly found the areas of the %(shape1)% and the %(shape2)%! Subtract the %(shape1)% from the %(shape2)% to find the area of the complex shape!"",""What are the areas of the %(shape1)% and the %(shape2)%?"")%> "	-
%(q1e-h4)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(col3.q1c,col4.q1d),""Area of the complex shape is '2 %(shape1)%s' + %(shape2)%'&nbsp;= %(ansQ1c)% + %(ansQ1d)%. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because you have not found the areas of the %(shape1)%s and the %(shape2)%."")%>"	-	-	-	-	"<%=ifThen(hasValue(col3.q1c,col4.q1d),""Area of the complex shape is '%(shape2)%' - %(shape1)%'&nbsp;= %(ansQ1d)% - %(ansQ1c)%. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because you have not found the areas of the %(shape1)% and the %(shape2)%."")%>"	-
%(q1f-h1)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	A perimeter is the sum of the lengths of all sides of a figure.	-
