Problem Name	8.6.1	8.6.2	8.6.3	8.6.4	8.6.5	8.6.6	8.6.7	8.6.8
%(-9076630315400485826)%	Please enter '0' in the highlighted field.	Please enter '40' in the highlighted field.	Please enter '96000' in the highlighted field.	Please enter '950.25' in the highlighted field.	Please enter '95' in the highlighted field.	Please enter '19' in the highlighted field.	Please enter '105.50' in the highlighted field.	Please enter '23500' in the highlighted field.
%(7782579366504075681)%	Please enter '0' in the highlighted field.	Please enter '0' in the highlighted field.	Please enter '0' in the highlighted field.	Please enter '0' in the highlighted field.	Please enter '0' in the highlighted field.	Please enter '0' in the highlighted field.	Please enter '0' in the highlighted field.	Please enter '0' in the highlighted field.
%(792790084441510227)%	A given value in this question represents the number of CDs the band makes. Please type this given value into the correct place in the table.	A given value in the question represents the number of additional fires Marcus makes this winter. Please type this given value into the correct place in the table.	A given value in this question represents the number of new books Cindy writes. Please type this given value into the correct place in the table.	A given value in the question rrepresents the number of people attending the dance. Please type this given value into the correct place in the table.	A given value in this question represents the number of new deliveries. Please type this given value into the correct place in the table.	A given value in this question represents the number of hours he rents the umbrella. Please type this given value into the correct place in the table.	A given value in this question represents the number of books you bought in the last year. Please type this given value into the correct place in the table.	A given value in this question represents total numbers of months of work. Please type this given value into the correct place in the table.
%(-5525545716246350564)%	Please enter '250' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '16' in the highlighted field.	Please enter '100' in the highlighted field.	Please enter '7' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '6' in the highlighted field.
%(-375576272847040642)%	The variable C stands for the number of CDs the band makes. Please substitute 385 for the variable C in the algebra expression 1000-2.50(C+15).	The variable C stands for the number of CDs the band makes. Please substitute 385 for the variable C in the algebra expression 1000-2.50(C+15).	The variable C stands for the number of CDs the band makes. Please substitute 385 for the variable C in the algebra expression 1000-2.50(C+15).	The variable C stands for the number of CDs the band makes. Please substitute 385 for the variable C in the algebra expression 1000-2.50(C+15).	The variable C stands for the number of CDs the band makes. Please substitute 385 for the variable C in the algebra expression 1000-2.50(C+15).	The variable C stands for the number of CDs the band makes. Please substitute 385 for the variable C in the algebra expression 1000-2.50(C+15).	The variable C stands for the number of CDs the band makes. Please substitute 385 for the variable C in the algebra expression 1000-2.50(C+15).	The variable C stands for the number of CDs the band makes. Please substitute 385 for the variable C in the algebra expression 1000-2.50(C+15).
%(-5878947089585845315)%	The variable C stands for the number of CDs the band makes. Please substitute 385 for the variable C in the algebraic expression 1000-2.5(C+15).	The variable F stands for the number of additional fires Marcus makes this summer. Please substitute 30 for the variable F in the algebraic expression 200 - 4 (F + 10)	The variable B stands for the number of new books Cindy writes. Please substitute 18 for the variable B in the algebraic expression 50000 + 2000 (B + 5).	The variable B stands for the number of people attending the dance. Please substitute 200 for the variable B in the algebraic expression 5.25(B - 15) - 21	The variable N stands for the number of new deliveries. Please substitute 12 for the variable N in the algebraic expression 20 + 5(N + 3).	The variable H stands for the number of hours he rents the umbrella. Please substitute 5 for the variable H in the algebraic expression 10 + 3(H - 2).	The variable B stands for the number of books you bought in the last year. Please substitute 8 for the variable B in the algebraic expression 6.75(B - 8) + 24.50.	The variable M stands for total number of months of work. Please substitute 12 for the variable M in the algebraic expression 1500 + 2000(M - 1).
%(-4309025559520414675)%	A given value in this question represents the number of CDs the band makes. Please type this given value into the correct place in the table.	A given value in the question represents the number of additional fires Marcus makes this winter. Please type this given value into the correct place in the table.	A given value in this question represents the number of new books Cindy writes. Please type this given value into the correct place in the table.	A given value in the question rrepresents the number of people attending the dance. Please type this given value into the correct place in the table.	A given value in this question represents the number of new deliveries. Please type this given value into the correct place in the table.	A given value in this question represents the number of hours he rents the umbrella. Please type this given value into the correct place in the table.	A given value in this question represents the number of books you bought in the last year. Please type this given value into the correct place in the table.	A given value in this question represents total numbers of months of work. Please type this given value into the correct place in the table.
%(8994503027754699052)%	The number of CDs the band makes in question 2 is 125. Please substitute the number 125 into the algebraic expression 1000 - 2.5 (C + 15) to solve the total amount of money they spent on CDs.	The number of additional fires Marcus makes this summer in question 2 is 10. Please substitute the number 10 into the algebraic expression 200 - 4 (F + 10) to solve total amount of wood used.	The number of new books Cindy writes in question 2 is 12. Please substitute the number 12 into the algebraic expression 50000 + 2000  (B + 5) to solve total charity donation.	The number of people attending the dance in question 2 is 50. Please substitute the number 50 into the algebraic expression 5.25(B - 15) - 21 to solve the total amount the committee spends.	The number of new deliveries in question 2 is 4. Please substitute the number 4 into the algebraic expression 20+ 5(N + 3) to solve total time.	The number of hours he rents the umbrella in question 2 is 3. Please substitute the number 3 into the algebraic expression 10 + 3(H - 2) to solve the total amount spent on the umbrella rental.	The number of books you bought in the last year in question 2 is 9. Please substitute the number 9 into the algebraic expression 6.75(B - 8) + 24.50 to solve the total amount of money you spent on books.	Total number of months of work in question 2 is 3. Please substitute the number 3 into the algebraic expression 1500 + 2000(M - 1).
%(8796590289808407104)%	The variable C stands for the number of CDs the band makes. Please substitute 85 for the variable C in the algebraic expression 1000 - 2.5 (C + 15).	The variable F stands for the number of additional fires Marcus makes this winter. Please substitute 0 for the variable F in the algebraic expression 200 - 4 (F + 10)	The variable B stands for the number of new books Cindy writes. Please substitute 9 for the variable B in the algebraic expression 50000 + 2000 (B + 5).	The variable B stands for the number of people attending the dance. Please substitute 20 for the variable B in the algebraic expression 5.25(B - 15) - 21.	The variable N stands for the number of new deliveries. Please substitute 0 for the variable N in the algebraic expression 20 + 5(N + 3).	The variable H stands for the number of hours he rents the umbrella. Please substitute 2 for the variable H in the algebraic expression 10 + 3(H - 2).	The variable B stands for the number of books you bought in the last year. Please substitute 8 for the variable B in the algebraic expression 6.75(B - 8) + 24.50.	The variable M stands for total number of months of work. Please substitute 1 for the variable M in the algebraic expression 1500 + 2000(M - 1).
%(-6341707987623058908)%	A given value in this question represents the number of CDs the band makes. Please type this given value into the correct place in the table.	A given value in the question represents the number of additional fires Marcus makes this winter. Please type this given value into the correct place in the table.	A given value in this question represents the number of new books Cindy writes. Please type this given value into the correct place in the table.	A given value in the question rrepresents the number of people attending the dance. Please type this given value into the correct place in the table.	A given value in this question represents the number of new deliveries. Please type this given value into the correct place in the table.	A given value in this question represents the number of hours he rents the umbrella. Please type this given value into the correct place in the table.	A given value in this question represents the number of books you bought in the last year. Please type this given value into the correct place in the table.	A given value in this question represents total numbers of months of work. Please type this given value into the correct place in the table.
%(8994500027658698711)%	The variable C stands for the number of CDs the band makes. Please substitute 125 for the variable C in the algebraic expression 1000 - 2.5 (C + 15)	The variable F stands for the number of additional fires Marcus makes this summer. Please substitute 10 for the variable F in the algebraic expression 200 - 4 (F + 10)	The variable B stands for the number of new books Cindy writes. Please substitute 12 for the variable B in the algebraic expression 50000 + 2000 (B + 5).	The variable B stands for the number of people attending the dance. Please substitute 50 for the variable B in the algebraic expression 5.25(B - 15) - 21	The variable N stands for the number of new deliveries. Please substitute 4 for the variable N in the algebraic expression 20 + 5(N + 3).	The variable H stands for the number of hours he rents the umbrella. Please substitute 3 for the variable H in the algebraic expression 10 + 3(H - 2).	The variable B stands for the number of books you bought in the last year. Please substitute 9 for the variable B in the algebraic expression 6.75(B - 8) + 24.50.	The variable M stands for total number of months of work. Please substitute 3 for the variable M in the algebraic expression 1500 + 2000(M - 1).
%(-6550299484725880890)%	A given value in this question represents the number of CDs the band makes. Please type this given value into the correct place in the table.	A given value in the question represents the number of additional fires Marcus makes this winter. Please type this given value into the correct place in the table.	A given value in this question represents the number of new books Cindy writes. Please type this given value into the correct place in the table.	A given value in the question rrepresents the number of people attending the dance. Please type this given value into the correct place in the table.	A given value in this question represents the number of new deliveries. Please type this given value into the correct place in the table.	A given value in this question represents the number of hours he rents the umbrella. Please type this given value into the correct place in the table.	A given value in this question represents the number of books you bought in the last year. Please type this given value into the correct place in the table.	A given value in this question represents total numbers of months of work. Please type this given value into the correct place in the table.
%(-1626753558730997953)%	Please enter '750' in the highlighted field.	Please enter '160' in the highlighted field.	Please enter '78000' in the highlighted field.	Please enter '5.25' in the highlighted field.	Please enter '35' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '24.50' in the highlighted field.	Please enter '1500' in the highlighted field.
%(6662676508735564506)%	Please enter '650' in the highlighted field.	Please enter '120' in the highlighted field.	Please enter '84000' in the highlighted field.	Please enter '162.75' in the highlighted field.	Please enter '55' in the highlighted field.	Please enter '13' in the highlighted field.	Please enter '31.25' in the highlighted field.	Please enter '5500' in the highlighted field.
%(-6341710987623058929)%	For question 2, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 2, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 2, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 2, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 2, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 2, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 2, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 2, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?
%(-455936427217879698)%	The number of CDs the band makes in question 4 is 385. Please substitute the number 385 into the algebra equation 1000-2.50(C+15) to solve the total amount of money they spent on CDs.	The number of CDs the band makes in question 4 is 385. Please substitute the number 385 into the algebra equation 1000-2.50(C+15) to solve the total amount of money they spent on CDs.	The number of CDs the band makes in question 4 is 385. Please substitute the number 385 into the algebra equation 1000-2.50(C+15) to solve the total amount of money they spent on CDs.	The number of CDs the band makes in question 4 is 385. Please substitute the number 385 into the algebra equation 1000-2.50(C+15) to solve the total amount of money they spent on CDs.	The number of CDs the band makes in question 4 is 385. Please substitute the number 385 into the algebra equation 1000-2.50(C+15) to solve the total amount of money they spent on CDs.	The number of CDs the band makes in question 4 is 385. Please substitute the number 385 into the algebra equation 1000-2.50(C+15) to solve the total amount of money they spent on CDs.	The number of CDs the band makes in question 4 is 385. Please substitute the number 385 into the algebra equation 1000-2.50(C+15) to solve the total amount of money they spent on CDs.	The number of CDs the band makes in question 4 is 385. Please substitute the number 385 into the algebra equation 1000-2.50(C+15) to solve the total amount of money they spent on CDs.
%(-3164313582417621337)%	When you substitute 385 the variable C in the algebra expression 1000-2.50(C+15), you get 1000-2.50(85+15).	When you substitute 385 the variable C in the algebra expression 1000-2.50(C+15), you get 1000-2.50(85+15).	When you substitute 385 the variable C in the algebra expression 1000-2.50(C+15), you get 1000-2.50(85+15).	When you substitute 385 the variable C in the algebra expression 1000-2.50(C+15), you get 1000-2.50(85+15).	When you substitute 385 the variable C in the algebra expression 1000-2.50(C+15), you get 1000-2.50(85+15).	When you substitute 385 the variable C in the algebra expression 1000-2.50(C+15), you get 1000-2.50(85+15).	When you substitute 385 the variable C in the algebra expression 1000-2.50(C+15), you get 1000-2.50(85+15).	When you substitute 385 the variable C in the algebra expression 1000-2.50(C+15), you get 1000-2.50(85+15).
