Problem Name	p1	p4	p5	p6	p7	p8	p9	p10	p11	p12	p23
%(a7_missed_carry_msg)%			"You've added the two numbers correctly, but you've forgotten about the number in the carry box."	"You've added the two numbers correctly, but you've forgotten about the number in the carry box."							"You've added the two numbers correctly, but you've forgotten about the number in the carry box."
%(a6_missed_carry)%	1				5	3					
%(a6_missed_carry_msg)%	"You've added the two numbers correctly, but you've forgotten about the number in the carry box."				"You've added the two numbers correctly, but you've forgotten about the number in the carry box."	"You've added the two numbers correctly, but you've forgotten about the number in the carry box."					
%(a5_missed_carry)%			5	8	2				7	9	
%(a5_missed_carry_msg)%			"You've added the two numbers correctly, but you've forgotten about the number in the carry box."	"You've added the two numbers correctly, but you've forgotten about the number in the carry box."	"You've added the two numbers correctly, but you've forgotten about the number in the carry box."				"You've added the two numbers correctly, but you've forgotten about the number in the carry box."	"You've added the two numbers correctly, but you've forgotten about the number in the carry box."	
%(a4_missed_carry)%	8				5	1			0	0	
%(a4_missed_carry_msg)%	"You've added the two numbers correctly, but you've forgotten about the number in the carry box."				"You've added the two numbers correctly, but you've forgotten about the number in the carry box."	"You've added the two numbers correctly, but you've forgotten about the number in the carry box."			"You've added the two numbers correctly, but you've forgotten about the number in the carry box."	"You've added the two numbers correctly, but you've forgotten about the number in the carry box."	
%(a3_missed_carry)%						3					
%(a3_missed_carry_msg)%						"You've added the two numbers correctly, but you've forgotten about the number in the carry box."					
%(a2_missed_carry)%		1						0			
%(a2_missed_carry_msg)%		"You've added the two numbers correctly, but you've forgotten about the number in the carry box."						"You've added the two numbers correctly, but you've forgotten about the number in the carry box."			
%(a1_missed_carry)%								0			
%(a1_missed_carry_msg)%								"You've added the two numbers correctly, but you've forgotten about the number in the carry box."			
											
%(n1d1_skill)%	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero
%(n1d2_skill)%	Enter-leading-or-trailing-zero	Enter-addends	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-addends	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero
%(n1d3_skill)%	Enter-addends	Enter-addends	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-addends	Enter-leading-or-trailing-zero	Enter-addends	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero
%(n1d4_skill)%	Enter-addends	Align-decimals	Enter-addends	Enter-leading-or-trailing-zero	Enter-addends	Enter-addends	Enter-leading-or-trailing-zero	Enter-addends	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-addends
%(n1d5_skill)%	Align-decimals	Enter-addends	Enter-addends	Enter-addends	Enter-addends	Align-decimals	Enter-addends	Align-decimals	Enter-addends	Enter-addends	Enter-addends
%(n1d6_skill)%	Enter-addends	Enter-addends	Align-decimals	Align-decimals	Enter-addends	Enter-addends	Align-decimals	Enter-addends	Align-decimals	Align-decimals	Align-decimals
%(n1d7_skill)%	Enter-addends	Enter-leading-or-trailing-zero	Enter-addends	Enter-addends	Align-decimals	Enter-addends	Enter-addends	Enter-leading-or-trailing-zero	Enter-addends	Enter-addends	Enter-addends
%(n1d8_skill)%	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-addends	Enter-addends	Enter-addends	Enter-leading-or-trailing-zero	Enter-addends	Enter-leading-or-trailing-zero	Enter-addends	Enter-leading-or-trailing-zero	Enter-addends
%(n1d9_skill)%	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-addends	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero
											
%(n2d1_skill)%	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero
%(n2d2_skill)%	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-addends	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero
%(n2d3_skill)%	Enter-leading-or-trailing-zero	Enter-addends	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-addends	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero
%(n2d4_skill)%	Enter-addends	Align-decimals	Enter-addends	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-addends	Enter-leading-or-trailing-zero	Enter-addends	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero
%(n2d5_skill)%	Align-decimals	Enter-addends	Enter-addends	Enter-addends	Enter-addends	Align-decimals	Enter-addends	Align-decimals	Enter-addends	Enter-addends	Enter-addends
%(n2d6_skill)%	Enter-addends	Enter-addends	Align-decimals	Align-decimals	Enter-addends	Enter-addends	Align-decimals	Enter-addends	Align-decimals	Align-decimals	Align-decimals
%(n2d7_skill)%	Enter-addends	Enter-leading-or-trailing-zero	Enter-addends	Enter-addends	Align-decimals	Enter-addends	Enter-addends	Enter-leading-or-trailing-zero	Enter-addends	Enter-addends	Enter-addends
%(n2d8_skill)%	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-addends	Enter-addends	Enter-addends	Enter-leading-or-trailing-zero	Enter-addends	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-addends	Enter-addends
%(n2d9_skill)%	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero
											
%(a1_skill)%	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Add-column-with-carry-in	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero
%(a2_skill1)%	Enter-leading-or-trailing-zero	Add-column-with-carry-in	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Add-column-with-carry-out	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero
%(a2_skill2)%	Enter-leading-or-trailing-zero	Generic-skill	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Add-column-with-carry-in	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero
%(a3_skill)%	Add-column-no-carry	Add-column-with-carry-out	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Add-column-with-carry-in	Enter-leading-or-trailing-zero	Add-column-with-carry-out	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero
%(a4_skill1)%	Add-column-with-carry-in	Align-decimals	Add-column-no-carry	Enter-leading-or-trailing-zero	Add-column-with-carry-in	Add-column-with-carry-out	Add-column-with-carry-in	Add-column-no-carry	Add-column-with-carry-in	Add-column-with-carry-in	Add-column-no-carry
%(a4_skill2)%	Generic-skill	Generic-skill	Generic-skill	Generic-skill	Generic-skill	Add-column-with-carry-in	Generic-skill	Generic-skill	Generic-skill	Generic-skill	Generic-skill
%(a5_skill1)%	Align-decimals	Add-column-no-carry	Add-column-with-carry-in	Add-column-with-carry-in	Add-column-with-carry-out	Align-decimals	Add-column-with-carry-out	Align-decimals	Add-column-with-carry-out	Add-column-with-carry-out	Add-column-no-carry
%(a5_skill2)%	Generic-skill	Generic-skill	Generic-skill	Generic-skill	Add-column-with-carry-in	Generic-skill	Generic-skill	Generic-skill	Add-column-with-carry-in	Add-column-with-carry-in	Generic-skill
%(a6_skill1)%	Add-column-with-carry-out	Add-column-no-carry	Align-decimals	Align-decimals	Add-column-with-carry-out	Add-column-with-carry-out	Align-decimals	Add-column-no-carry	Align-decimals	Align-decimals	Align-decimals
%(a6_skill2)%	Add-column-with-carry-in	Generic-skill	Generic-skill	Generic-skill	Add-column-with-carry-in	Add-column-with-carry-in	Generic-skill	Generic-skill	Generic-skill	Generic-skill	Generic-skill
%(a7_skill1)%	Add-column-with-carry-out	Enter-leading-or-trailing-zero	Add-column-with-carry-out	Add-column-with-carry-out	Align-decimals	Add-column-with-carry-out	Add-column-no-carry	Enter-leading-or-trailing-zero	Add-column-with-carry-out	Add-column-with-carry-out	Add-column-with-carry-in
%(a7_skill2)%	Generic-skill	Generic-skill	Add-column-with-carry-in	Add-column-with-carry-in	Generic-skill	Generic-skill	Generic-skill	Generic-skill	Generic-skill	Generic-skill	Generic-skill
%(a8_skill)%	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Add-column-with-carry-out	Add-column-with-carry-out	Add-column-with-carry-out	Enter-leading-or-trailing-zero	Add-column-no-carry	Enter-leading-or-trailing-zero	Add-column-no-carry	Add-column-no-carry	Add-column-with-carry-out
%(a9_skill)%	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Add-column-no-carry	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero
%(1270617690788562020)%	"One unit was carried over from the addition of 5 tenths, 6 tenths, and a carried tenth. Please enter 1."				"One hundred was carried over from the addition of 9 tens, 3 tens, and one carried ten. Please enter 1."	"One unit was carried over from the addition of 8 tenths, 7 tenths, and 1 carried tenth. Please enter 1."	One ten was carried over from the addition of 9 ones and 8 ones. Please enter 1.		"One ten was carried over from the addition of 9 ones, 8 ones, and 1 carried one. Please enter 1."	"One ten was carried over from the addition of 3 ones, 6 ones, and 1 carried one. Please enter 1."	
%(6793406834378098584)%											
%(4122547966151021001)%											
%(-3680528304229549849)%								"One thousand was carried over from the addition of 9 hundreds, 1 hundreds, and 1 carried hundredn. Please enter 1."			
%(5939726124832416050)%											
%(-8618717357535436169)%	Think about where the second number needs to be placed in for you to be able to solve this problem.	Think about where the second number needs to be placed in for you to be able to solve this problem.	Think about where the second number needs to be placed in for you to be able to solve this problem.	Think about where the second number needs to be placed in for you to be able to solve this problem.	Think about where the second number needs to be placed in for you to be able to solve this problem.	Think about where the second number needs to be placed in for you to be able to solve this problem.	Think about where the second number needs to be placed in for you to be able to solve this problem.	Think about where the second number needs to be placed in for you to be able to solve this problem.	Think about where the second number needs to be placed in for you to be able to solve this problem.	Think about where the second number needs to be placed in for you to be able to solve this problem.	Think about where the second number needs to be placed in for you to be able to solve this problem.
%(-6907532864849400112)%	The digit in the hundredths place of 4.66 is 6. Please enter 6.		The digit in the tenths place of 50.48 is 4. Please enter 4.	The digit in the tenths place of 6.95 is 9. Please enter 9.		The digit in the hundredths place of 2.55 is 5. Please enter 5.	The digit in the tenths place of 9.51 is 5. Please enter 5.		The digit in the tenths place of 8.4 is 4. Please enter 4.	The digit in the tenths place of 6.97 is 9. Please enter 9.	The digit in the tenths place of 5.06 is 0. Please enter 0.
%(1953684789227255040)%	Add the digits in the tens places and enter the sum here. Don't forget to add any values carried!	Add the digits in the ones places and enter the sum here. Don't forget to add any values carried!				Add the digits in the tens places and enter the sum here. Don't forget to add any values carried!		Add the digits in the tens places and enter the sum here. Don't forget to add any values carried!			
%(4352543352198365568)%								"You've added the two numbers correctly, but you've forgotten about the number in the carry box."			
%(-103575905657380754)%	"The digits in the ones places are 4 and 4, and 1 one was carried from the sum of the tenths column. 4+4+1=9, so please enter 9 here."		"The digits in the tens places are 5 and 1, and nothing was carried over from addition in the ones column. 5+1=6, so please enter 6 here."		"The digits in the hundreds places are 5 and 0, and 1 hundred was carried over from addition in the tens column. 5+0+1=6, so please enter 6 here."	"The digits in the ones places are 9 and 2, and nothing was carried from the sum of the tenths column. 9+2=11, so please enter a 1 here and carry a 1 over to the tens place (10 ones = 1 ten)."	"There are no digits in the tens places except for 1 ten that was carried over from addition in the ones column, so please enter 1 here."	"The digits in the ones places are 0 and 3, and nothing was carried from the sum of the tenths column. 0+3=3, so please enter a 3 here."	"There are no digits in the tens places except for 1 ten that was carried over from addition in the ones column, so please enter 1 here."	"There are no digits in the tens places except for 1 ten that was carried over from addition in the ones column, so please enter 1 here."	"The digits in the tens places are 2 and 0, and nothing was carried over from addition in the ones column. 2+0=2, so please enter 2 here."
%(2011383615763894068)%			"You've added the two numbers correctly, but you've forgotten about the number in the carry box."	"You've added the two numbers correctly, but you've forgotten about the number in the carry box."	"You've added the two numbers correctly, but you've forgotten about the number in the carry box."				"You've added the two numbers correctly, but you've forgotten about the number in the carry box."	"You've added the two numbers correctly, but you've forgotten about the number in the carry box."	
%(4119033553413564137)%		"You've added the two numbers correctly, but you've forgotten about the number in the carry box."						"You've added the two numbers correctly, but you've forgotten about the number in the carry box."			
%(163251407906615009)%	"If you carry a value over from adding the hundredths values, please enter it here."				"If you carry a value over from adding the tenths values, please enter it here."	"If you carry a value over from adding the hundredths values, please enter it here."					
%(641188239247714409)%		Please enter the digit in the tens place of 13.25.						Please enter the digit in the hundreds place of 983.3.			
%(-6634764911781064177)%								The digit in the hundreds place of 140.6 is 1. Please enter 1.			
%(1953685789235255059)%	"The digits in the tens places are 2 and 0, and 2+0=2, so please enter 2 here."	"The digits in the ones places are 3 and 9, and nothing was carried from the sum of the tenths column. 3+9=12, so please enter a 2 here and carry a 1 over to the tens column (10 ones = 1 ten)."				"The digits in the tens places are 0 and 3, and 1 ten was carried over from addition in the ones column. 0+3+1=4, so please enter 4 here."		"The digits in the tens places are 8 and 4, and nothing was carried over from addition in the ones column. 8+4=12, so please enter 2 here and carry a 1 over to the hundreds column."			
%(4140092011089457802)%	Please enter '9' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '9' in the highlighted field.
%(1270618690780561927)%	"If you carry a value over from adding the tenths values, please enter it here."				"If you carry a value over from adding the tens values, please enter it here."	"If you carry a value over from adding the tenths values, please enter it here."	"If you carry a value over from adding the ones values, please enter it here."		"If you carry a value over from adding the ones values, please enter it here."	"If you carry a value over from adding the ones values, please enter it here."	
%(6213752517472455109)%			The digit in the hundredths place of 50.48 is 8. Please enter 8.	The digit in the hundredths place of 6.95 is 5. Please enter 5.	The digit in the tenths place of 37.4 is 4. Please enter 4.		The digit in the hundredths place of 9.51 is 1. Please enter 1.			The digit in the hundredths place of 6.97 is 7. Please enter 7.	The digit in the hundredths place of 5.06 is 6. Please enter 6.
%(-4733341091933527816)%	The digit in the ones place of 24.59 is 4. Please enter 4.		The digit in the tens place of 15.69 is 1. Please enter 1.		The digit in the hundreds place of 598.8 is 5. Please enter 5.	The digit in the ones place of 39.86 is 9. Please enter 9.		The digit in the ones place of 983.3 is 3. Please enter 3.			The digit in the tens place of 20.54 is 2. Please enter 2.
%(267630474009556348)%			The digit in the hundredths place of 15.69 is 9. Please enter 9.	The digit in the hundredths place of 2.48 is 8. Please enter 8.	The digit in the tenths place of 598.8 is 8. Please enter 8.		The digit in the hundredths place of 8.124 is 2. Please enter 2.		The digit in the hundredths place of 9.69 is 9. Please enter 9.		The digit in the hundredths place of 20.54 is 4. Please enter 4.
%(6382391196249600991)%		Add the digits in the tens places and enter the sum here. Don't forget to add any values carried!						Add the digits in the hundreds places and enter the sum here. Don't forget to add any values carried!			
%(-7538229578606087202)%	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.
%(8676312691321844538)%								Add the digits in the thousands places and enter the sum here. Don't forget to add any values carried!			
%(7703667018939561633)%											
%(267627473977556263)%			Please enter the digit in the hundredths place of 15.69.	Please enter the digit in the hundredths place of 2.48.	Please enter the digit in the tenths place of 598.8.		Please enter the digit in the hundredths place of 8.124.		Please enter the digit in the hundredths place of 9.69.		Please enter the digit in the hundredths place of 20.54.
%(6793407834386098667)%											
%(4457052840164545463)%		"The number you've entered is the sum of 9+3, however you need to carry 10 into the next column using the carryboxes."						"The number you've entered is the sum of 4+8, however you need to carry 10 into the next column using the carryboxes."			
%(641187239159714154)%		The digit in the tens place of 13.25 is 1. Please enter 1.						The digit in the hundreds place of 983.3 is 9. Please enter 9.			
%(3982482621457137133)%		"The digits in the tenths places are 2 and 2, and nothing was carried from the sum of the hundreths column. 2+2=4, so please enter 4 here."	"The digits in the ones places are 0 and 5, and 1 one was carried from the sum of the tenths column. 0+5+1=6, so please enter a 6 here."	"The digits in the ones places are 6 and 2, and 1 one was carried from the sum of the tenths column. 6+2+1=9, so please enter a 9 here."	"The digits in the tens places are 9 and 3, and 1 ten was carried over from addition in the ones column. 9+3+1=13, so please enter 3 here and carry a 1 over to the hundreds column."		"The digits in the ones places are 8 and 9, and nothing was carried from the sum of the tenths column. 8+9=17, so please enter a 7 here and carry a 1 over to the tens column (10 ones = 1 ten)."		"The digits in the ones places are 8 and 9, and 1 one was carried from the sum of the tenths column. 8+9+1=18, so please enter a 8 here and carry a 1 over to the tens place (10 ones = 1 ten)."	"The digits in the ones places are 6 and 3, and 1 one was carried from the sum of the tenths column. 6+3+1=10, so please enter a 0 here and carry a 1 over to the tens place (10 ones = 1 ten)."	"The digits in the ones places are 5 and 0, and 1 one was carried from the sum of the tenths column. 5+0+1=6, so please enter a 6 here."
%(-9117002631066219755)%						"One ten was carried over from the addition of 9 ones, 2 ones, and 1 carried one. Please enter 1."					
%(1951833195040611473)%			Add the digits in the hundredths places and enter the sum here.	Add the digits in the hundredths places and enter the sum here.	Add the digits in the tenths places and enter the sum here. 				Add the digits in the hundredths places and enter the sum here.	Add the digits in the hundredths places and enter the sum here.	
%(-9202527078397046537)%											
%(5475859671157392990)%	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '0' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '5' in the highlighted field.
%(4122546966191021130)%											
%(-5088804614345645648)%		Please enter the digit in the tenths place of 13.25.	Please enter the digit in the ones place of 15.69.	Please enter the digit in the ones place of 2.48.	Please enter the digit in the tens place of 598.8.		Please enter the digit in the ones place of 8.124.		Please enter the digit in the ones place of 9.69.	Please enter the digit in the ones place of 3.8.	Please enter the digit in the ones place of 20.54.
%(-103578905657380747)%	Add the digits in the ones places and enter the sum here. Don't forget to add any values carried!	Please enter a decimal point here.	Add the digits in the tens places and enter the sum here. Don't forget to add any values carried!		Add the digits in the hundreds places and enter the sum here. Don't forget to add any values carried!	Add the digits in the ones places and enter the sum here. Don't forget to add any values carried!	Add the digits in the tens places and enter the sum here. Don't forget to add any values carried!	Add the digits in the ones places and enter the sum here. Don't forget to add any values carried!	Add the digits in the tens places and enter the sum here. Don't forget to add any values carried!	Add the digits in the tens places and enter the sum here. Don't forget to add any values carried!	Add the digits in the tens places and enter the sum here. Don't forget to add any values carried!
%(-3012007946899168714)%	"The number you've entered is the sum of 6+5+1, however you need to carry 10 into the next column using the carryboxes."				"The number you've entered is the sum of 7+8+1, however you need to carry 10 into the next column using the carryboxes."	"The number you've entered is the sum of 8+5+1, however you need to carry 10 into the next column using the carryboxes."					
%(9041503051529695589)%	The digit in the tens place of 24.59 is 2. Please enter 2.	The digit in the ones place of 13.25 is 3. Please enter 3.				The digit in the tens place of 39.86 is 3. Please enter 3.		The digit in the tens place of 983.3 is 8. Please enter 8.			
%(-1431871633887445892)%	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.
%(-2825355576575072325)%			"One unit was carried over from the addition of 6 tenths, 4 tenths, and one carried tenth. Please enter 1."	"One unit was carried over from the addition of 9 tenths, 4 tenths, and one carried tenth. Please enter 1."	"One ten was carried over from the addition of 8 ones, 7 ones, and 1 carried one. Please enter 1."				One unit was carried over from the addition of 6 tenths and 4 tenths. Please enter 1.	One unit was carried over from the addition of 9 tenths and 8 tenths. Please enter 1.	
%(-1418468650008855376)%			"The number you've entered is the sum of 9+8, however you need to carry 10 into the next column using the carryboxes."	"The number you've entered is the sum of 5+8, however you need to carry 10 into the next column using the carryboxes."	"The number you've entered is the sum of 4+8, however you need to carry 10 into the next column using the carryboxes."						"The number you've entered is the sum of 6+4, however you need to carry 10 into the next column using the carryboxes."
%(-1289697314384453718)%	This means that the decimal points of both numbers should be aligned. Please enter a decimal point in the box below where it has been entered for you in the first number.	This means that the decimal points of both numbers should be aligned. Please enter a decimal point in the box below where it has been entered for you in the first number.	This means that the decimal points of both numbers should be aligned. Please enter a decimal point in the box below where it has been entered for you in the first number.	This means that the decimal points of both numbers should be aligned. Please enter a decimal point in the box below where it has been entered for you in the first number.	This means that the decimal points of both numbers should be aligned. Please enter a decimal point in the box below where it has been entered for you in the first number.	This means that the decimal points of both numbers should be aligned. Please enter a decimal point in the box below where it has been entered for you in the first number.	This means that the decimal points of both numbers should be aligned. Please enter a decimal point in the box below where it has been entered for you in the first number.	This means that the decimal points of both numbers should be aligned. Please enter a decimal point in the box below where it has been entered for you in the first number.	This means that the decimal points of both numbers should be aligned. Please enter a decimal point in the box below where it has been entered for you in the first number.	This means that the decimal points of both numbers should be aligned. Please enter a decimal point in the box below where it has been entered for you in the first number.	This means that the decimal points of both numbers should be aligned. Please enter a decimal point in the box below where it has been entered for you in the first number.
%(8185252744885425129)%					"The number you've entered is the sum of 3+9+1, however you need to carry 10 into the next column using the carryboxes."		"The number you've entered is the sum of 9+8, however you need to carry 10 into the next column using the carryboxes."		"The number you've entered is the sum of 9+8+1, however you need to carry 10 into the next column using the carryboxes."	"The number you've entered is the sum of 6+3+1, however you need to carry 10 into the next column using the carryboxes."	
%(-6058999401977538257)%							The digit in the thousandths place of 8.124 is 4. Please enter 4.				
%(-5667668291611333756)%						"The number you've entered is the sum of 9+2+1, however you need to carry 10 into the next column using the carryboxes."					
%(-1934125337180675039)%	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.
%(8676309691289844449)%								"There are no digits in the thousands places except for 1 thousand that was carried over from addition in the hundreds column, so please enter 1 here."			
%(-6724020093282192323)%		"If you carry a value over from adding the ones values, please enter it here."						"If you carry a value over from adding the tens values, please enter it here."			
%(3094705722605100522)%	Please enter the digit in the hundredths place of 24.59.		Please enter the digit in the tenths place of 15.69.	Please enter the digit in the tenths place of 2.48.		Please enter the digit in the hundredths place of 39.86.	Please enter the digit in the tenths place of 8.124.		Please enter the digit in the tenths place of 9.69.	Please enter the digit in the tenths place of 3.8.	Please enter the digit in the tenths place of 20.54.
%(-9202524078429046708)%											
%(-6451121139349854999)%			One tenth was carried over from the addition of 8 hundreths and 9 hundredths. Please enter 1.	One tenth was carried over from the addition of 8 hundreths and 5 hundredths. Please enter 1.							One tenth was carried over from the addition of 4 hundreths and 6 hundredths. Please enter 1.
%(6213751517464455158)%			Please enter the digit in the hundredths place of 50.48.	Please enter the digit in the hundredths place of 6.95.	Please enter the digit in the tenths place of 37.4.		Please enter the digit in the hundredths place of 9.51.			Please enter the digit in the hundredths place of 6.97.	Please enter the digit in the hundredths place of 5.06.
%(622241884408253971)%	"You've added the two numbers correctly, but you've forgotten about the number in the carry box."				"You've added the two numbers correctly, but you've forgotten about the number in the carry box."	"You've added the two numbers correctly, but you've forgotten about the number in the carry box."			"You've added the two numbers correctly, but you've forgotten about the number in the carry box."	"You've added the two numbers correctly, but you've forgotten about the number in the carry box."	
%(3982485621489137190)%	Please enter a decimal point here.	Add the digits in the tenths places and enter the sum here. Don't forget to add any values carried!	Add the digits in the ones places and enter the sum here. Don't forget to add any values carried!	Add the digits in the ones places and enter the sum here. Don't forget to add any values carried!	Add the digits in the tens places and enter the sum here. Don't forget to add any values carried!	Please enter a decimal point here.	Add the digits in the ones places and enter the sum here. Don't forget to add any values carried!	Please enter a decimal point here.	Add the digits in the ones places and enter the sum here. Don't forget to add any values carried!	Add the digits in the ones places and enter the sum here. Don't forget to add any values carried!	Add the digits in the ones places and enter the sum here. Don't forget to add any values carried!
%(-4936737373465204086)%								"The number you've entered is the sum of 9+1+1, however you need to carry 10 into the next column using the carryboxes."			
%(-4644522401360927443)%	Please enter the digit in the tenths place of 24.59.	Please enter the digit in the hundredths place of 13.25.			Please enter the digit in the ones place of 598.8.	Please enter the digit in the tenths place of 39.86.		Please enter the digit in the tenths place of 983.3.			
%(-6724017093314192458)%		One ten was carried over from the addition of 3 ones and 9 ones. Please enter 1.						One hundred was carried over from the addition of 8 tens and 4 tens. Please enter 1.			
%(-5166532556208710060)%	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."
%(-2567775295912293987)%	"You've added the two numbers correctly, but you've forgotten about the number in the carry box."				"You've added the two numbers correctly, but you've forgotten about the number in the carry box."	"You've added the two numbers correctly, but you've forgotten about the number in the carry box."					
%(7703666018947561602)%											
