Problem Name	test1	test2	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p24	p25	p26	p27
%(r2c7hint2)%	"After taking 1 tenth from 3 tenths, you have 2 tenths left. Please enter 2 in this box."		"After regrouping 1 tenth into 10 hundredths, add the 10 hundredths to the 5 hundredths you already have. Enter 15 in this box."	Regroup 1 one into 10 tenths. Enter 10 in this box.											You need to subtract 1 from the number of tenths. 2 minus 1 is 1. Enter 1 in the box.	
%(r2c8)%	17	0	0	14	0	0	0	0	0	0	0	0	0	0	11	0
%(r2c8hint1)%	You need to regroup to complete subtraction in the hundredths column. Borrow 1 tenth to do this. Remember that 1 tenth is equal to 10 hundredths.			You can use this box to regroup 1 tenth into 10 hundredths.											You need to regroup to complete subtraction in the hundredths column. Borrow 1 tenth to do this. Remember that 1 tenth is equal to 10 hundredths.	
%(r2c8hint2)%	"After regrouping 1 tenth into 10 hundredths, add it to the 7 hundreths you already have. Please enter 17 in this box."			"After regrouping 1 tenth into 10 hundredths, add it to the 4 hundredths you already have. Enter 14 in this box."											"After regrouping 1 tenth into 10 hundredths, add it to the 1 hundreth you already have. Please enter 11 in this box."	
%(r2c9)%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%(r2c9hint1)%																
%(r2c9hint2)%																
%(a1req)%	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
%(a1)%	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
%(a1hint1)%								"Since you did not need to regroup to complete subtraction in the ones column, you are subtracting 0 tens from 1 tens. Please use the boxes in the gray area above to help you regroup if necessary."					"Since you needed to regroup to complete subtraction in the ones column, you are subtracting 3 tens from 4 tens. Please use the boxes in the gray area above to help you regroup if necessary."			
%(a1hint2)%								"You do not need to borrow to complete this step, so you need to evaluate 1 tens - 0 tens."					"You do not need to borrow to complete this step, so you need to evaluate 4 tens - 3 tens."			
%(a1hint3)%								Please enter 1 in the highlighted box.					Please enter 1 in the highlighted box.			
%(a2req)%	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0
%(a2)%	0	0	0	0	0	0	0	1	0	0	3	0	7	0	0	0
%(a2hint1)%								"Since you did not need to regroup to complete subtraction in the tenths column, you are subtracting 1 ones from 2 ones. Please use the boxes in the gray area above to help you regroup if necessary."			"Since you did not need to regroup to complete subtraction in the ones column, you are subtracting 1 tens from 4 tens. Please use the boxes in the gray area above to help you regroup if necessary."		"Since you did not need to regroup to complete subtraction in the tenths column, you are subtracting 3 ones from 0 ones, and must borrow from the tens column to complete this step. Please use the boxes in the gray area above to help you regroup."			
%(a2hint2)%								"You do not need to borrow to complete this step, so you need to evaluate 2 ones - 1 ones."			"You do not need to borrow to complete this step, so you need to evaluate 4 tens - 1 tens."		"After borrowing, you need to evaluate 10 ones - 3 ones."			
%(a2hint3)%								Please enter 1 in the highlighted box.			Please enter 3 in the highlighted box.		Please enter 7 in the highlighted box.			
%(a3req)%	0	1	0	0	1	0	0	1	0	0	1	0	1	1	0	1
%(a3)%	0	4	0	0	1	0	0	.	0	0	2	0	.	8	0	5
%(a3hint1)%		"Since you needed to regroup to complete subtraction in the tenths column, you are subtracting 0 ones from 4 ones."			"Since you did not need to regroup to complete subtraction in the tenths column, you are subtracting 2 ones from 3 ones. Please use the boxes in the gray area above to help you regroup if necessary."			This is the position of the decimal point. Please enter a '.' in the box.			"Since you did not need to regroup to complete subtraction in the tenths column, you are subtracting 6 ones from 8 ones. Please use the boxes in the gray area above to help you regroup if necessary."		This is the position of the decimal point. Please enter a '.' in the box.	"Since you needed to regroup to complete subtraction in the tenths column, you are subtracting 5 ones from 9 ones, and must borrow from the tens column to complete this step. Please use the boxes in the gray area above to help you regroup."		"Since you did not need to regroup to complete subtraction in the ones column, you are subtracting 2 tens from 7 tens. Please use the boxes in the gray area above to help you regroup if necessary."
%(a3hint2)%		"You do not need to borrow to complete this step, so you need to evaluate 4 ones - 0 ones."			"You do not need to borrow to complete this step, so you need to evaluate 3 ones - 2 ones."						"You do not need to borrow to complete this step, so you need to evaluate 8 ones - 6 ones."			"After borrowing, you need to evaluate 13 ones - 5 ones."		"You do not need to borrow to complete this step, so you need to evaluate 7 tens - 2 tens."
%(a3hint3)%		Please enter 4 in the highlighted box.			Please enter 1 in the highlighted box.						Please enter 2 in the highlighted box.			Please enter 8 in the highlighted box.		Please enter 5 in the highlighted box.
%(a4req)%	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1
%(a4)%	1	.	0	0	.	0	4	0	0	1	.	3	7	.	4	3
%(a4hint1)%	"Since you did not need to regroup to complete subtraction in the ones column, you are subtracting 0 tens from 1 ten. Please use the boxes in the gray area above to help you regroup if necessary."	This is the position of the decimal point. Please enter a '.' in the box.			This is the position of the decimal point. Please enter a '.' in the box.		"Since you needed to regroup 1 one into 10 tenths, you need to enter the difference between 4 ones and 0 ones in this box."	"Since you did not need to regroup to complete subtraction in the hundredths column, you are subtracting 7 tenths from 7 tenths. Please use the boxes in the gray area above to help you regroup if necessary."		"Since you did not need to regroup to complete subtraction in the ones column, you are subtracting 2 tens from 3 tens. Please use the boxes in the gray area above to help you regroup if necessary."	This is the position of the decimal point. Please enter a '.' in the box.	"Since you needed to regroup to complete subtraction in the tenths column, you are subtracting 6 ones from 9 ones."	"Since you did not need to regroup to complete subtraction in the hundredths column, you are subtracting 0 tenths from 7 tenths. Please use the boxes in the gray area above to help you regroup if necessary."	This is the position of the decimal point. Please enter a '.' in the box.	"Since you did not need to regroup to complete subtraction in the ones column, you are subtracting 1 tens from 5 tens. Please use the boxes in the gray area above to help you regroup if necessary."	"Since you did not need to regroup to complete subtraction in the tenths column, you are subtracting 0 ones from 3 ones. Please use the boxes in the gray area above to help you regroup if necessary."
%(a4hint2)%	"You do not need to borrow to complete this step, so you need to evaluate 1 ten - 0 tens. "						"You do not need to regroup to complete this step, so you need to evaluate 4 ones - 0 ones."	"You do not need to borrow to complete this step, so you need to evaluate 7 tenths - 7 tenths."		"You do not need to borrow to complete this step, so you need to evaluate 3 tens - 2 tens."		"You do not need to borrow to complete this step, so you need to evaluate 9 ones - 6 ones."	"You do not need to borrow to complete this step, so you need to evaluate 7 tenths - 0 tenths."		"You do not need to borrow to complete this step, so you need to evaluate 5 tens - 1 tens."	"You do not need to borrow to complete this step, so you need to evaluate 3 ones - 0 ones."
%(a4hint3)%	Please enter 1 in the highlighted box.						Please enter 4 in the highlighted box.	Please enter 0 in the highlighted field.		Please enter 1 in the highlighted box.		Please enter 3 in the highlighted box.	Please enter 7 in the highlighted box.		Please enter 4 in the highlighted box.	Please enter 3 in the highlighted box.
%(a5req)%	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
%(a5)%	1	8	.	2	2	3	.	0	0	0	2	.	5	8	0	.
%(a5hint1)%	"Since you needed to regroup 1 one into 10 tenths, you need to enter the difference between 7 and 6 in this box."	You need to subtract 7 tenths from 5 tenths.	This is the position of the decimal point. Please enter a '.' in the box.	"Since you needed to regroup to complete subtraction in the tenths column, you are subtracting 0 ones from 2 ones. Please use the boxes in the gray area above to help you regroup if necessary."	"Since you did not need to regroup to complete subtraction in the hundredths column, you are subtracting 5 tenths from 7 tenths. Please use the boxes in the gray area above to help you regroup if necessary."	"Since you did not need to regroup to complete subtraction in the tenths column, you are subtracting 2 ones from 5 ones. Please use the boxes in the gray area above to help you regroup if necessary."	This is the position of the decimal point. Please enter a '.' in the box.	"Since you did not need to regroup to complete subtraction in the thousandths column, you are subtracting 4 hundredths from 4 hundredths. Please use the boxes in the gray area above to help you regroup if necessary."		"Since you did not need to regroup to complete subtraction in the tenths column, you are subtracting 0 ones from 0 ones. Please use the boxes in the gray area above to help you regroup if necessary."	"Since you did not need to regroup to complete subtraction in the hundredths column, you are subtracting 7 tenths from 9 tenths. Please use the boxes in the gray area above to help you regroup if necessary."	This is the position of the decimal point. Please enter a '.' in the box.	"In this column, you are subtracting 0 hundredths from 5 hundredths. Please use the boxes in the gray area above to help you regroup if necessary."	"Since you did not need to regroup to complete subtraction in the hundredths column, you are subtracting 3 tenths from 1 tenths, and must borrow from the ones column to complete this step. Please use the boxes in the gray area above to help you regroup."	"Since you needed to regroup to complete subtraction in the tenths column, you are subtracting 8 ones from 8 ones."	This is the position of the decimal point. Please enter a '.' in the box.
%(a5hint2)%	"You do not need to regroup to complete this step, so you need to evaluate 7 ones - 6 ones."	You will need to regroup to do the subtraction. Use the boxes above to regroup.		"You do not need to borrow to complete this step, so you need to evaluate 2 ones - 0 ones."	"You do not need to borrow to complete this step, so you need to evaluate 7 tenths - 5 tenths."	"You do not need to borrow to complete this step, so you need to evaluate 5 ones - 2 ones."		"You do not need to borrow to complete this step, so you need to evaluate 4 hundredths - 4 hundredths."		"You do not need to borrow to complete this step, so you need to evaluate 0 ones - 0 ones."	"You do not need to borrow to complete this step, so you need to evaluate 9 tenths - 7 tenths."		"You do not need to borrow to complete this step, so you need to evaluate 5 hundredths - 0 hundredths."	"After borrowing, you need to evaluate 11 tenths - 3 tenths."	"You do not need to borrow to complete this step, so you need to evaluate 8 ones - 8 ones."	
%(a5hint3)%	Please enter 1 in the highlighted box.	The difference between 15 and 7 is 8. Please enter 8 in the highlighted box.		Please enter 2 in the highlighted box.	Please enter 2 in the highlighted box.	Please enter 3 in the highlighted box.		Please enter 0 in the highlighted field.		Please enter 0 in the highlighted box.	Please enter 2 in the highlighted box.		Please enter 5 in the highlighted box.	Please enter 8 in the highlighted box.	Please enter 0 in the highlighted box.	
%(a6req)%	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1
%(a6)%	.	0	2	.	4	.	7	2	4	.	9	8	0	8	.	0
%(a6hint1)%	This is the position of the decimal point. Please enter a '.' in the box.		You need to subtract 7 tenths from 9 tenths.	This is the position of the decimal point. Please enter a '.' in the box.	"In this column, you are subtracting 0 hundredths from 4 hundredths. Please use the boxes in the gray area above to help you regroup if necessary."	This is the position of the decimal point. Please enter a '.' in the box.	You need to subtract 5 tenths from 2 tenths.	"In this column, you are subtracting 0 thousandths from 2 thousandths. Please use the boxes in the gray area above to help you regroup if necessary."	"Since you did not need to regroup to complete subtraction in the tenths column, you are subtracting 8 ones from 2 ones, and must borrow from the tens column to complete this step. Please use the boxes in the gray area above to help you regroup."	This is the position of the decimal point. Please enter a '.' in the box.	"In this column, you are subtracting 0 hundredths from 9 hundredths. Please use the boxes in the gray area above to help you regroup if necessary."	"Since you did not need to regroup to complete subtraction in the hundredths column, you are subtracting 2 tenths from 0 tenths. Now you must borrow from the ones column to complete this step. Please use the boxes in the gray area above to help you regroup."		"In this column, you are subtracting 0 hundredths from 8 hundredths. Please use the boxes in the gray area above to help you regroup if necessary."	This is the position of the decimal point. Please enter a '.' in the box.	"Since you did not need to regroup to complete subtraction in the hundredths column, you are subtracting 5 tenths from 5 tenths. Please use the boxes in the gray area above to help you regroup if necessary."
%(a6hint2)%			"You do not need to regroup to complete this step, so you need to evaluate 9 tenths - 7 tenths."		"You do not need to borrow to complete this step, so you need to evaluate 4 hundredths - 0 hundredths."		You will need to regroup to do the subtraction. Use the boxes above to regroup.	"You do not need to borrow to complete this step, so you need to evaluate 2 thousandths - 0 thousandths."	"After borrowing, you need to evaluate 12 ones - 8 ones."		"You do not need to borrow to complete this step, so you need to evaluate 9 hundredths - 0 hundredths."	"Since there are 0 ones, you need to convert 1 ten into 10 ones. Then, you can convert 1 one into 10 tenths. After this conversion, you need to evaluate 10 tenths - 2 tenths. "		"You do not need to borrow to complete this step, so you need to evaluate 8 hundredths - 0 hundredths."		"You do not need to borrow to complete this step, so you need to evaluate 5 tenths - 5 tenths."
%(a6hint3)%			Please enter 2 in the highlighted box.		Please enter 4 in the highlighted box.		The difference between 12 and 5 is 7. Please enter 7 in the highlighted box.	Please enter 2 in the highlighted box.	Please enter 4 in the highlighted box.		Please enter 9 in the highlighted box.	Please enter 8 in the highlighted box.		Please enter 8 in the highlighted box.		Please enter 0 in the highlighted box.
%(a7req)%	1	0	1	1	0	1	1	0	1	1	0	1	0	0	1	1
%(a7)%	8	0	9	3	0	1	3	0	.	8	0	2	0	0	3	3
%(a7hint1)%	"Since you needed to regroup to complete subtraction in the hundredths column, you are subtracting 4 tenths from 2 tenths, and must borrow from the ones column to complete this step. Please use the boxes in the gray area above to help you regroup."		"Since you did not need to regroup to complete subtraction in the thousandths column, you are subtracting 6 hundredths from 5 hundredths. Now you must borrow from the tenths column to complete this step. Please use the boxes in the gray area above to help you regroup."	"Since you needed to regroup to complete subtraction in the hundredths column, you are subtracting 6 tenths from 9 tenths. Please use the boxes in the gray area above to help you regroup if necessary."		"In this column, you are subtracting 3  tenths from 4 tenths. Please use the boxes in the gray area above to help you regroup if necessary."	"In this column, you are subtracting 0 hundredths from 3 hundredths. Please use the boxes in the gray area above to help you regroup if necessary."		This is the position of the decimal point. Please enter a '.' in the box.	"In this column, you are subtracting 1 tenths from 9 tenths. Please use the boxes in the gray area above to help you regroup if necessary."		"In this column, you are subtracting 7 hundredths from 9 hundredths. Please use the boxes in the gray area above to help you regroup if necessary."			"Since you needed to regroup to complete subtraction in the hundredths column, you are subtracting 8 tenths from 1 tenth, and must borrow from the ones column to complete this step. Please use the boxes in the gray area above to help you regroup."	"Since you did not need to regroup to complete subtraction in the thousandths column, you are subtracting 1 hundredths from 4 hundredths. Please use the boxes in the gray area above to help you regroup if necessary."
%(a7hint2)%	"After borrowing, you need to evaluate 12 tenths - 4 tenths."		"Since there are 0 tenths, you need to convert 1 one into 10 tenths. Then, you can convert 1 tenth into 10 hundredths. After this conversion, you need to evaluate 15 hundredths - 6 hundredths. "	"You do not need to borrow to complete this step, so you need to evaluate 9 tenths - 6 tenths."		"You do not need to borrow to complete this step, so you need to evaluate 4 tenths - 3 tenths."	"You do not need to borrow to complete this step, so you need to evaluate 3 hundredths - 0 hundredths."			"You do not need to borrow to complete this step, so you need to evaluate 9 tenths - 1 tenths."		"You do not need to borrow to complete this step, so you need to evaluate 9 hundredths - 7 hundredths."			"After borrowing, you need to evaluate 11 tenths - 8 tenths."	"You do not need to borrow to complete this step, so you need to evaluate 4 hundredths - 1 hundredths."
%(a7hint3)%	Please enter 8 in the highlighted box.		Please enter 9 in the highlighted box.	Please enter 3 in the highlighted box.		Please enter 1 in the highlighted box.	Please enter 3 in the highlighted box.			Please enter 8 in the highlighted box.		Please enter 2 in the highlighted box.			Please enter 3 in the highlighted box.	Please enter 3 in the highlighted box.
%(a8req)%	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1
%(a8)%	8	0	2	7	0	0	0	0	5	0	0	0	0	0	5	5
%(a8hint1)%	"In this column, you are subtracting 9 hundredths from 7 hundredths. Since 9 is larger than 7, you must borrow from the tenths column to complete this step. Please use the boxes in the gray area above to help you regroup."		"In this column, you are subtracting 0 thousandths from 2 thousandths. Please use the boxes in the gray area above to help you regroup if necessary."	"Since you did not need to regroup to complete subtraction in the thousandths column, you are subtracting 7 hundredths from 4 hundredths. Now you must borrow from the tenths column to complete this step. Please use the boxes in the gray area above to help you regroup."					"In this column, you are subtracting 4 tenths from 9 tenths. Please use the boxes in the gray area above to help you regroup if necessary."						"Since you did not need to regroup to complete subtraction in the thousandths column, you are subtracting 6 hundredths from 1 hundredths. Now you must borrow from the tenths column to complete this step. Please use the boxes in the gray area above to help you regroup."	"In this column, you are subtracting 0 thousandths from 5 thousandths. Please use the boxes in the gray area above to help you regroup if necessary."
%(a8hint2)%	"After borrowing, you need to evaluate 17 hundredths - 9 hundredths."		"You do not need to borrow to complete this step, so you need to evaluate 2 thousandths - 0 thousandths."	"Since there are 0 tenths, you need to convert 1 one into 10 tenths. Then, you can convert 1 tenth into 10 hundredths. After this conversion, you need to evaluate 14 hundredths - 7 hundredths. "					"You do not need to borrow to complete this step, so you need to evaluate 9 tenths - 5 tenths."						"After borrowing, you need to evaluate 11 hundredths - 6 hundredths."	"You do not need to borrow to complete this step, so you need to evaluate 5 thousandths - 0 thousandths."
%(a8hint3)%	Please enter 8 in the highlighted box.		Please enter 2 in the highlighted box.	Please enter 7 in the highlighted box.					Please enter 5 in the highlighted box.						Please enter 5 in the highlighted box.	Please enter 5 in the highlighted box.
%(a9req)%	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
%(a9)%	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	0
%(a9hint1)%				"In this column, you are subtracting 0 thousandths from 5 thousandths. Please use the boxes in the gray area above to help you regroup if necessary."											"In this column, you are subtracting 0 thousandths from 9 thousandths. Please use the boxes in the gray area above to help you regroup if necessary."	
%(a9hint2)%				"You do not need to borrow to complete this step, so you need to evaluate 5 thousandths - 0 thousandths."											"You do not need to borrow to complete this step, so you need to evaluate 9 thousandths - 0 thousandths."	
%(a9hint3)%				Please enter 5 in the highlighted box.											Please enter 9 in the highlighted box.	
																
%(small_number_error_location)%	n1d5	n1d3	n1d6	n1d5	n1d3	n1d5	n1d4	n1d2	n1d5	n1d4	n1d2	n1d3	n1d1	n1d2	n1d4	n1d3
%(small_number_error)%	6	0	6	0	2	2	0	1	1	2	1	4	3	4	1	2
%(subtraction_error_msg)%	"Since you are subtracting in this problem, you need to enter the larger number in the top row."	"Since you are subtracting in this problem, you need to enter the larger number in the top row."	"Since you are subtracting in this problem, you need to enter the larger number in the top row."	"Since you are subtracting in this problem, you need to enter the larger number in the top row."	"Since you are subtracting in this problem, you need to enter the larger number in the top row."	"Since you are subtracting in this problem, you need to enter the larger number in the top row."	"Since you are subtracting in this problem, you need to enter the larger number in the top row."	"Since you are subtracting in this problem, you need to enter the larger number in the top row."	"Since you are subtracting in this problem, you need to enter the larger number in the top row."	"Since you are subtracting in this problem, you need to enter the larger number in the top row."	"Since you are subtracting in this problem, you need to enter the larger number in the top row."	"Since you are subtracting in this problem, you need to enter the larger number in the top row."	"Since you are subtracting in this problem, you need to enter the larger number in the top row."	"Since you are subtracting in this problem, you need to enter the larger number in the top row."	"Since you are subtracting in this problem, you need to enter the larger number in the top row."	"Since you are subtracting in this problem, you need to enter the larger number in the top row."
																
																
%(n1d1_skill)%	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero
%(n1d2_skill)%	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero	Enter-givens	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero
%(n1d3_skill)%	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Align-decimals	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-givens	Enter-givens	Align-decimals	Enter-givens	Enter-leading-or-trailing-zero	Enter-givens
%(n1d4_skill)%	Enter-givens	Align-decimals	Enter-givens	Enter-leading-or-trailing-zero	Align-decimals	Enter-leading-or-trailing-zero	Enter-givens	Enter-givens	Enter-leading-or-trailing-zero	Enter-givens	Align-decimals	Enter-givens	Enter-givens	Align-decimals	Enter-givens	Enter-givens
%(n1d5_skill)%	Enter-givens	Enter-givens	Align-decimals	Enter-givens	Enter-givens	Enter-givens	Align-decimals	Enter-givens	Enter-givens	Enter-givens	Enter-givens	Align-decimals	Enter-givens	Enter-givens	Enter-givens	Align-decimals
%(n1d6_skill)%	Align-decimals	Enter-leading-or-trailing-zero	Enter-givens	Align-decimals	Enter-givens	Align-decimals	Enter-givens	Enter-givens	Align-decimals	Align-decimals	Enter-givens	Enter-givens	Enter-leading-or-trailing-zero	Enter-givens	Align-decimals	Enter-givens
%(n1d7_skill)%	Enter-givens	Enter-leading-or-trailing-zero	Enter-givens	Enter-givens	Enter-leading-or-trailing-zero	Enter-givens	Enter-givens	Enter-leading-or-trailing-zero	Enter-givens	Enter-givens	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-givens	Enter-givens
%(n1d8_skill)%	Enter-givens	Enter-leading-or-trailing-zero	Enter-givens	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-givens	Enter-givens
%(n1d9_skill)%	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero
%(n2d1_skill)%	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero
%(n2d2_skill)%	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero	Enter-givens	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero
%(n2d3_skill)%	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Align-decimals	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-givens	Enter-givens	Align-decimals	Enter-givens	Enter-leading-or-trailing-zero	Enter-givens
%(n2d4_skill)%	Enter-leading-or-trailing-zero	Align-decimals	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Align-decimals	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero	Enter-givens	Align-decimals	Enter-givens	Enter-givens	Align-decimals	Enter-givens	Enter-givens
%(n2d5_skill)%	Enter-givens	Enter-givens	Align-decimals	Enter-leading-or-trailing-zero	Enter-givens	Enter-givens	Align-decimals	Enter-givens	Enter-givens	Enter-givens	Enter-givens	Align-decimals	Enter-givens	Enter-givens	Enter-givens	Align-decimals
%(n2d6_skill)%	Align-decimals	Enter-leading-or-trailing-zero	Enter-givens	Align-decimals	Enter-leading-or-trailing-zero	Align-decimals	Enter-givens	Enter-leading-or-trailing-zero	Align-decimals	Align-decimals	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Align-decimals	Enter-givens
%(n2d7_skill)%	Enter-givens	Enter-leading-or-trailing-zero	Enter-givens	Enter-givens	Enter-leading-or-trailing-zero	Enter-givens	Enter-givens	Enter-leading-or-trailing-zero	Enter-givens	Enter-givens	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-givens	Enter-givens
%(n2d8_skill)%	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-givens	Enter-leading-or-trailing-zero
%(n2d9_skill)%	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero
																
%(a9_skill)%	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Subtract-no-borrow-or-lend	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Subtract-no-borrow-or-lend	Enter-leading-or-trailing-zero
%(a8_skill)%	Subtract-with-borrow	Enter-leading-or-trailing-zero	Subtract-no-borrow-or-lend	Subtract-with-borrow	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Subtract-no-borrow-or-lend	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Subtract-with-borrow	Subtract-no-borrow-or-lend
%(a7_skill)%	Subtract-with-borrow	Enter-leading-or-trailing-zero	Subtract-with-borrow	Subtract-with-borrow	Enter-leading-or-trailing-zero	Subtract-no-borrow-or-lend	Subtract-no-borrow-or-lend	Enter-leading-or-trailing-zero	Align-decimals	Subtract-no-borrow-or-lend	Enter-leading-or-trailing-zero	Subtract-no-borrow-or-lend	Enter-leading-or-trailing-zero	Enter-leading-or-trailing-zero	Subtract-with-borrow	Subtract-no-borrow-or-lend
%(a6_skill)%	Align-decimals	Enter-leading-or-trailing-zero	Subtract-with-borrow	Align-decimals	Subtract-no-borrow-or-lend	Align-decimals	Subtract-with-borrow	Subtract-no-borrow-or-lend	Subtract-with-borrow	Align-decimals	Subtract-no-borrow-or-lend	Subtract-with-borrow	Enter-leading-or-trailing-zero	Subtract-no-borrow-or-lend	Align-decimals	Subtract-no-borrow-or-lend
%(a5_skill)%	Subtract-with-lend	Subtract-with-borrow	Align-decimals	Subtract-with-lend	Subtract-with-borrow	Subtract-no-borrow-or-lend	Align-decimals	Subtract-no-borrow-or-lend	Subtract-with-lend	Subtract-no-borrow-or-lend	Subtract-no-borrow-or-lend	Align-decimals	Subtract-no-borrow-or-lend	Subtract-with-borrow	Subtract-with-lend	Align-decimals
