Problem Name	Problem14	Problem15	Problem16	Problem17	Problem18	Problem19	Problem20	Problem21	Problem22	Problem23	Problem24	Problem25
%(exp4)%	60-20	63/7	24/6	55+35	5*15	12/2	(48-24)/12	(27-15)/2	(160-100)/3	(10+20)/5	(200+50)/5	(360-120)/40
%(exp4alt)%												
%(hint4exp-2)%	"Please write a numerical expression that shows how to compute %(quan1)%, when %(quan2)% is %(given4)%."	"Please write a numerical expression that shows how to compute %(quan1)%, when %(quan2)% is %(given4)% cents."	"Please write a numerical expression that shows how to compute %(quan1)%, when %(quan2)% is %(given4)%."	"Please write a numerical expression that shows how to compute %(quan1)%, when %(quan2)% is %(given4)%."	"Please write a numerical expression that shows how to compute %(quan1)%, when %(quan2)% is %(given4)%."	"Please write a numerical expression that shows how to compute %(quan1)%, when %(quan2)% is %(given4)%."	Jana and Mats baked 48 cupcakes in total including the 24 cupcakes they baked earlier. Can you write down the numerical expression that shows the number of additional batches that they made?	"Wynton paid $27 in total to place his ad in the newspaper, including the one time fee of $15. Can you write down the numerical expression that shows how many lines long was his ad?"	"The Sunshine Cadet troop has $160 in its fund right now, which includes the $100 it had before the sale. Can you write down the numerical expression that shows how many boxes were sold?"	Andy had $10 left after repaying $20 back to his mother. Can you write down the numerical expression that shows how many dogs Andy walked?	Jenny put $200 in her savings account after she deducted $50 to go to the shopping mall. Can you write down the numerical expression that shows how many hours she worked that month?	Mario payed $360 in total which includes $120 for the PlayMaster machine. Can you write down the numerical expression that shows how many games he bought?
%(hint4exp-3)%	%(hint3final-3)%	%(hint3final-3)%	%(hint3final-3)%	%(hint3final-3)%	%(hint3final-3)%	%(hint3final-3)%	%(hint3final-3)%	%(hint3final-3)%	%(hint3final-3)%	%(hint3final-3)%	%(hint3final-3)%	%(hint3final-3)%
%(function)%	",constantsDollar(input)"	",constantsDollar(input)"						",constantsDollar(input)"	",constantsDollar(input)"	",constantsDollar(input)"	",constantsDollar(input)"	",constantsDollar(input)"
												
%(gvn_skill_x)%	Enter_a_given_X_value	Enter_a_given_X_value	Enter_a_given_X_value	Enter_a_given_X_value	Enter_a_given_X_value	Enter_a_given_X_value	Enter_a_given_X_value	Enter_a_given_X_value	Enter_a_given_X_value	Enter_a_given_X_value	Enter_a_given_X_value	Enter_a_given_X_value
%(gvn_skill_y)%	Enter_a_given_y_value	Enter_a_given_y_value	Enter_a_given_y_value	Enter_a_given_y_value	Enter_a_given_y_value	Enter_a_given_y_value	Enter_a_given_y_value	Enter_a_given_y_value	Enter_a_given_y_value	Enter_a_given_y_value	Enter_a_given_y_value	Enter_a_given_y_value
%(solve_skill_x)%	Calculate_an_x_value_from_a_y_value	Calculate_an_x_value_from_a_y_value	Calculate_an_x_value_from_a_y_value	Calculate_an_x_value_from_a_y_value	Calculate_an_x_value_from_a_y_value	Calculate_an_x_value_from_a_y_value	Calculate_an_x_value_from_a_y_value	Calculate_an_x_value_from_a_y_value	Calculate_an_x_value_from_a_y_value	Calculate_an_x_value_from_a_y_value	Calculate_an_x_value_from_a_y_value	Calculate_an_x_value_from_a_y_value
%(solve_skill_y)%	Calculate_a_Y_value_from_an_X_value	Calculate_a_Y_value_from_an_X_value	Calculate_a_Y_value_from_an_X_value	Calculate_a_Y_value_from_an_X_value	Calculate_a_Y_value_from_an_X_value	Calculate_a_Y_value_from_an_X_value	Calculate_a_Y_value_from_an_X_value	Calculate_a_Y_value_from_an_X_value	Calculate_a_Y_value_from_an_X_value	Calculate_a_Y_value_from_an_X_value	Calculate_a_Y_value_from_an_X_value	Calculate_a_Y_value_from_an_X_value
